name = gc
year = 2019
yname = dsc
sex = male
distribution = LMS
citation = weber2019
publication = Weber, A.M., M. Rubio-Codina, S.P. Walker, S. van Buuren, I. Eekhout, S. Grantham-McGregor, M.C. Araujo, et al. (2019). The D-Score: A Metric for Interpreting the Early Development of Infants and Toddlers Across Global Settings. BMJ Global Health 4: e001724.
[data]
x	M	S	L
0	5.86	0.6058	1
0.0417	9.7	0.359	1
0.0833	13.21	0.2592	1
0.125	16.44	0.2051	1
0.1667	19.41	0.1713	1
0.2083	22.15	0.1482	1
0.25	24.68	0.1316	1
0.2917	27.01	0.1191	1
0.3333	29.18	0.1093	1
0.375	31.18	0.1015	1
0.4167	33.03	0.0952	1
0.4583	34.73	0.09	1
0.5	36.32	0.0855	1
0.5417	37.78	0.0818	1
0.5833	39.14	0.0786	1
0.625	40.4	0.0758	1
0.6667	41.59	0.0733	1
0.7083	42.7	0.0712	1
0.75	43.76	0.0692	1
0.7917	44.76	0.0674	1
0.8333	45.71	0.0658	1
0.875	46.62	0.0644	1
0.9167	47.49	0.063	1
0.9583	48.31	0.0618	1
1	49.11	0.0607	1
1.0417	49.87	0.0596	1
1.0833	50.6	0.0586	1
1.125	51.31	0.0577	1
1.1667	52	0.0568	1
1.2083	52.66	0.0559	1
1.25	53.31	0.0551	1
1.2917	53.93	0.0544	1
1.3333	54.55	0.0536	1
1.375	55.15	0.0529	1
1.4167	55.73	0.0522	1
1.4583	56.31	0.0515	1
1.5	56.87	0.0509	1
1.5417	57.42	0.0502	1
1.5833	57.95	0.0496	1
1.625	58.48	0.049	1
1.6667	58.99	0.0484	1
1.7083	59.5	0.0478	1
1.75	59.99	0.0473	1
1.7917	60.47	0.0467	1
1.8333	60.93	0.0462	1
1.875	61.38	0.0457	1
1.9167	61.83	0.0452	1
1.9583	62.25	0.0447	1
2	62.67	0.0442	1
2.0417	63.07	0.0438	1
2.0833	63.46	0.0433	1
2.125	63.84	0.0429	1
2.1667	64.21	0.0425	1
2.2083	64.56	0.0421	1
2.25	64.91	0.0417	1
2.2917	65.24	0.0413	1
2.3333	65.56	0.0409	1
2.375	65.87	0.0406	1
2.4167	66.17	0.0402	1
2.4583	66.47	0.0399	1
2.5	66.75	0.0396	1
2.5417	67.03	0.0393	1
2.5833	67.29	0.039	1
2.625	67.55	0.0387	1
2.6667	67.8	0.0384	1
2.7083	68.05	0.0382	1
2.75	68.29	0.0379	1
2.7917	68.52	0.0377	1
2.8333	68.74	0.0375	1
2.875	68.96	0.0373	1
2.9167	69.17	0.037	1
2.9583	69.38	0.0368	1
3	69.58	0.0367	1
3.0417	69.78	0.0365	1
3.0833	69.97	0.0363	1
3.125	70.16	0.0361	1
3.1667	70.35	0.0359	1
3.2083	70.53	0.0358	1
3.25	70.7	0.0356	1
3.2917	70.87	0.0355	1
3.3333	71.04	0.0353	1
3.375	71.21	0.0352	1
3.4167	71.37	0.0351	1
3.4583	71.54	0.0349	1
3.5	71.69	0.0348	1
3.5417	71.85	0.0347	1
3.5833	72	0.0346	1
3.625	72.16	0.0345	1
3.6667	72.3	0.0343	1
3.7083	72.45	0.0342	1
3.75	72.6	0.0341	1
3.7917	72.74	0.034	1
3.8333	72.88	0.0339	1
3.875	73.02	0.0338	1
3.9167	73.16	0.0337	1
3.9583	73.3	0.0336	1
4	73.43	0.0335	1
4.0417	73.56	0.0334	1
4.0833	73.7	0.0333	1
4.125	73.83	0.0333	1
4.1667	73.96	0.0332	1
4.2083	74.08	0.0331	1
4.25	74.21	0.033	1
4.2917	74.34	0.0329	1
4.3333	74.46	0.0328	1
4.375	74.58	0.0327	1
4.4167	74.7	0.0327	1
4.4583	74.83	0.0326	1
4.5	74.95	0.0325	1
4.5417	75.06	0.0324	1
4.5833	75.18	0.0323	1
4.625	75.3	0.0323	1
4.6667	75.42	0.0322	1
4.7083	75.53	0.0321	1
4.75	75.64	0.032	1
4.7917	75.76	0.032	1
4.8333	75.87	0.0319	1
4.875	75.98	0.0318	1
4.9167	76.09	0.0318	1
4.9583	76.2	0.0317	1
5	76.31	0.0316	1
