name = ph
year = 2023
yname = dsc
sex = female
sub = 29
distribution = BCT
citation = vanbuuren2023
publication = S. van Buuren, et al. (2023). D-score: A scale to compare child development across ages, samples and instruments
[data]
x	mu	sigma	nu	tau
0.2491	13.68	0.2456	1.1731	15.422
0.2683	14.36	0.2324	1.2062	15.54
0.2875	15.02	0.2206	1.2375	15.652
0.3066	15.68	0.21	1.267	15.758
0.3258	16.35	0.2005	1.2951	15.86
0.345	17.03	0.1917	1.3218	15.957
0.3641	17.73	0.1838	1.3472	16.051
0.3833	18.45	0.1765	1.3715	16.141
0.4025	19.2	0.1698	1.3947	16.228
0.4216	19.97	0.1636	1.417	16.312
0.4408	20.76	0.1578	1.4383	16.393
0.46	21.55	0.1525	1.4588	16.471
0.4791	22.34	0.1475	1.4785	16.546
0.4983	23.11	0.1429	1.4975	16.619
0.5175	23.89	0.1386	1.5159	16.69
0.5366	24.68	0.1346	1.5336	16.759
0.5558	25.47	0.1308	1.5507	16.825
0.5749	26.27	0.1272	1.5672	16.89
0.5941	27.09	0.1239	1.5832	16.952
0.6133	27.92	0.1208	1.5987	17.013
0.6324	28.76	0.1179	1.6138	17.071
0.6516	29.62	0.1151	1.6284	17.128
0.6708	30.48	0.1125	1.6426	17.184
0.6899	31.34	0.1101	1.6564	17.237
0.7091	32.2	0.10780000000000001	1.6698	17.289
0.7283	33.05	0.1056	1.6829	17.34
0.7474	33.87	0.1035	1.6957	17.389
0.7666	34.67	0.1015	1.7082	17.436
0.7858	35.44	0.0997	1.7204	17.482
0.8049	36.17	0.0979	1.7323	17.527
0.8241	36.88	0.0962	1.744	17.57
0.8433	37.55	0.0946	1.7554	17.613
0.86240000000000006	38.2	0.093	1.7666	17.654
0.8816	38.83	0.0916	1.7776	17.694
0.9008	39.45	0.0901	1.7883	17.732
0.9199	40.05	0.0888	1.7988	17.77
0.9391	40.63	0.0875	1.8092	17.807
0.9582	41.21	0.0862	1.8193	17.843
0.9774	41.77	0.085	1.8292	17.877
0.9966	42.33	0.0839	1.839	17.911
1.0157	42.87	0.0828	1.8486	17.944
1.0349	43.4	0.0817	1.858	17.976
1.0541	43.93	0.0807	1.8672	18.007
1.0732	44.44	0.0797	1.8763	18.038
1.0924	44.95	0.0788	1.8853	18.067
1.1116	45.45	0.0778	1.894	18.096
1.1307	45.95	0.077	1.9027	18.124
1.1499	46.43	0.0761	1.9112	18.152
1.1691	46.91	0.0753	1.9196	18.178
1.1882	47.38	0.0745	1.9278	18.204
1.2074	47.85	0.0738	1.9359	18.23
1.2266	48.3	0.0731	1.9439	18.255
1.2457	48.75	0.0724	1.9518	18.279
1.2649	49.19	0.0717	1.9595	18.303
1.2841	49.62	0.0711	1.9672	18.326
1.3032	50.04	0.0704	1.9747	18.348
1.3224	50.45	0.0698	1.9822	18.37
1.3415	50.86	0.0693	1.9895	18.392
1.3607	51.25	0.0687	1.9968	18.413
1.3799	51.64	0.0682	2.0039	18.434
1.399	52.02	0.0676	2.011	18.454
1.4182	52.39	0.0671	2.018	18.474
1.4374	52.76	0.0666	2.0249	18.493
1.4565	53.11	0.0662	2.0317	18.512
1.4757	53.47	0.0657	2.0384	18.53
1.4949	53.82	0.0653	2.0451	18.549
1.514	54.16	0.0648	2.0516	18.566
1.5332	54.49	0.0644	2.0581	18.584
1.5524	54.82	0.064	2.0646	18.601
1.5715	55.15	0.0636	2.0709	18.618
1.5907	55.48	0.0632	2.0772	18.635
1.6099	55.8	0.0628	2.0834	18.651
1.629	56.11	0.0624	2.0896	18.667
1.6482	56.42	0.0621	2.0957	18.683
1.6674	56.74	0.0617	2.1017	18.698
1.6865	57.04	0.0614	2.1077	18.713
1.7057	57.35	0.061	2.1136	18.728
1.7248000000000001	57.65	0.0607	2.1194	18.743
1.744	57.95	0.0604	2.1252	18.757
1.7632	58.25	0.0601	2.1309	18.771
1.7823	58.54	0.0597	2.1366	18.785
1.8015	58.83	0.0594	2.1422	18.799
1.8207	59.12	0.0591	2.1477	18.813
1.8398	59.4	0.0588	2.1532	18.826
1.859	59.68	0.0585	2.1587	18.84
1.8782	59.96	0.0583	2.1641	18.853
1.8973	60.23	0.058	2.1694	18.865
1.9165	60.5	0.0577	2.1747	18.878
1.9357	60.77	0.0574	2.18	18.891
1.9548	61.04	0.0572	2.1852	18.903
1.974	61.3	0.0569	2.1903	18.915
1.9932	61.56	0.0566	2.1954	18.927
1.9999	61.65	0.0565	2.1972	18.931
2	64.3	0.053900000000000003	2.2504	19.052
2.0123	64.45	0.0538	2.2534	19.059
2.0315	64.67	0.0535	2.258	19.069
2.0507	64.89	0.0533	2.2625	19.079
2.0698	65.1	0.0531	2.267	19.089
2.089	65.32	0.0529	2.2715	19.099
2.1081	65.53	0.0527	2.2759	19.109
2.1273	65.73	0.0525	2.2803	19.118
2.1465	65.94	0.0523	2.2846	19.128
2.1656	66.14	0.0521	2.289	19.137
2.1848	66.34	0.0519	2.2933	19.146
2.204	66.54	0.0517	2.2975	19.155
2.2231	66.73	0.0515	2.3017	19.164
2.2423	66.92	0.0513	2.3059	19.173
2.2615	67.11	0.0511	2.3101	19.182
2.2806	67.3	0.0509	2.3142	19.191
2.2998	67.49	0.0507	2.3183	19.199
2.319	67.67	0.0505	2.3224	19.208
2.3381	67.85	0.0504	2.3264	19.216
2.3573	68.03	0.0502	2.3304	19.225
2.3765	68.21	0.05	2.3344	19.233
2.3956	68.38	0.0498	2.3384	19.241
2.4148	68.56	0.0497	2.3423	19.249
2.4339	68.73	0.0495	2.3462	19.257
2.4531	68.89	0.0493	2.35	19.265
2.4723	69.06	0.0492	2.3539	19.273
2.4914	69.22	0.049	2.3577	19.281
2.5106	69.38	0.0488	2.3615	19.289
2.5298	69.54	0.0487	2.3652	19.296
2.5489	69.7	0.0485	2.369	19.304
2.5681	69.85	0.0484	2.3727	19.311
2.5873	70.01	0.0482	2.3764	19.319
2.6064	70.15	0.048	2.38	19.326
2.6256	70.3	0.0479	2.3836	19.333
2.6448	70.45	0.0477	2.3873	19.34
2.6639	70.59	0.0476	2.3908	19.347
2.6831	70.73	0.0474	2.3944	19.354
2.7023	70.86	0.0473	2.3979	19.361
2.7214	70.99	0.0472	2.4015	19.368
2.7406	71.12	0.047	2.4049	19.375
2.7598	71.25	0.0469	2.4084	19.382
2.7789	71.38	0.0467	2.4119	19.389
2.7981	71.5	0.0466	2.4153	19.395
2.8172	71.62	0.0465	2.4187	19.402
2.8364	71.74	0.0463	2.4221	19.408
2.8556	71.85	0.0462	2.4254	19.415
2.8747	71.97	0.0461	2.4288	19.421
2.8939	72.08	0.0459	2.4321	19.428
2.9131	72.19	0.0458	2.4354	19.434
2.9322	72.29	0.0457	2.4387	19.44
2.9514	72.4	0.0456	2.442	19.447
2.9706	72.5	0.0454	2.4452	19.453
2.9897	72.6	0.0453	2.4484	19.459
3.0089	72.7	0.0452	2.4516	19.465
3.0281	72.8	0.0451	2.4548	19.471
3.0472	72.89	0.0449	2.458	19.477
3.0664	72.99	0.0448	2.4611	19.483
3.0856	73.08	0.0447	2.4643	19.489
3.1047	73.17	0.0446	2.4674	19.495
3.1239	73.26	0.0445	2.4705	19.501
3.1431	73.35	0.0444	2.4736	19.507
3.1622	73.43	0.0442	2.4766	19.512
3.1814	73.52	0.0441	2.4797	19.518
3.2005	73.6	0.044	2.4827	19.524
3.2197	73.68	0.0439	2.4857	19.53
3.2389	73.77	0.0438	2.4887	19.535
3.258	73.85	0.0437	2.4917	19.541
3.2772	73.93	0.0436	2.4946	19.547
3.2964	74	0.0435	2.4976	19.552
3.3155	74.08	0.0434	2.5005	19.558
3.3347	74.16	0.0432	2.5034	19.563
3.3539	74.24	0.0431	2.5063	19.569
3.373	74.31	0.043	2.5092	19.574
3.3922	74.39	0.0429	2.5121000000000002	19.579
3.4114	74.46	0.0428	2.5149	19.585
3.4305	74.54	0.0427	2.5178	19.59
3.4497	74.61	0.0426	2.5206	19.596
3.4689	74.69	0.0425	2.5234	19.601
3.488	74.76	0.0424	2.5262	19.606
3.5072	74.83	0.0423	2.529	19.611
3.5264	74.91	0.0422	2.5317	19.617
3.5455	74.98	0.0421	2.5345	19.622
3.5647	75.05	0.042	2.5372	19.627
5	80.55	0.042	2.5372	19
