name = nl
year = 1980
yname = bmi
sex = female
distribution = LMS
citation = Roede1985
publication = Roede MJ & van Wieringen JC (1985) Growth diagrams 1980: Netherlands third nation-wide survey. Tijdschrift voor Sociale Gezondheidszorg, 63, 1-34.
remark = data processing TNO
[data]
x	L	M	S
0.0383	0.3364	13.08	0.074
0.0575	0.4319	13.378	0.074
0.0767	0.4907	13.659	0.0745
0.0958	0.5262	13.926	0.0752
0.115	0.5469	14.167	0.076
0.1342	0.5563	14.393	0.0768
0.1533	0.5565	14.608	0.0775
0.1725	0.5498	14.803	0.0782
0.1916	0.5379	14.977	0.0789
0.23	0.5026	15.274	0.0799
0.2683	0.4571	15.518	0.0804
0.3066	0.407	15.716	0.0806
0.345	0.3553	15.877	0.0807
0.3833	0.3033	16.013	0.0806
0.4216	0.2516	16.129	0.0804
0.46	0.2007	16.233	0.0802
0.4983	0.1508	16.327	0.08
0.5366	0.1022	16.413	0.0799
0.6133	0.0099	16.562	0.0795
0.6899	-0.075	16.682	0.0791
0.7666	-0.1526	16.771	0.0788
0.8433	-0.2235	16.827	0.0786
0.9199	-0.2888	16.856	0.0784
0.9966	-0.3495	16.864	0.0783
1.0732	-0.4063	16.855	0.0783
1.1499	-0.4597	16.832	0.0783
1.2266	-0.5099	16.796	0.0782
1.5	-0.668	16.606	0.0782
2	-0.8967	16.211	0.0776
2.5	-1.0706	15.898	0.0773
3	-1.2056	15.668	0.0775
3.5	-1.3121	15.501	0.0783
4	-1.3961	15.372	0.0795
4.5	-1.4611	15.267	0.0813
5	-1.5093	15.186	0.0834
5.5	-1.5427	15.138	0.086
6	-1.5636	15.133	0.0889
6.5	-1.5739	15.172	0.0921
7	-1.5752	15.251	0.0953
7.5	-1.5692	15.364	0.0986
8	-1.5572	15.508	0.1019
8.5	-1.5405	15.681	0.105
9	-1.5204	15.88	0.1079
9.5	-1.4977	16.104	0.1105
10	-1.4731	16.35	0.1128
10.5	-1.4472	16.616	0.1148
11	-1.4202	16.898	0.1165
11.5	-1.3924	17.192	0.1179
12	-1.3639	17.494	0.119
12.5	-1.3348	17.801	0.1198
13	-1.3053	18.107	0.1203
13.5	-1.2757	18.409	0.1207
14	-1.2461	18.705	0.1208
14.5	-1.2167	18.992	0.1208
15	-1.1876	19.269	0.1207
15.5	-1.1589	19.535	0.1205
16	-1.1306	19.791	0.1203
16.5	-1.1027	20.036	0.12
17	-1.0755	20.273	0.1197
17.5	-1.0489	20.501	0.1194
18	-1.023	20.722	0.1191
18.5	-0.9978	20.936	0.1188
19	-0.9733	21.144	0.1185
19.5	-0.9493	21.347	0.1182
20	-0.926	21.545	0.1179
