name = nl
year = 1980
yname = bmi
sex = male
distribution = LMS
citation = Roede1985
publication = Roede MJ & van Wieringen JC (1985) Growth diagrams 1980: Netherlands third nation-wide survey. Tijdschrift voor Sociale Gezondheidszorg, 63, 1-34.
remark = data processing TNO
[data]
x	L	M	S
0.0383	-0.3218	13.082	0.0816
0.0575	-0.3322	13.555	0.0825
0.0767	-0.3402	13.94	0.0787
0.0958	-0.3462	14.251	0.077
0.115	-0.351	14.517	0.0768
0.1342	-0.3548	14.75	0.0773
0.1533	-0.3574	14.953	0.0783
0.1725	-0.3591	15.127	0.0794
0.1916	-0.3604	15.279	0.0803
0.23	-0.3619	15.529	0.0811
0.2683	-0.3632	15.731	0.081
0.3066	-0.3642	15.901	0.0806
0.345	-0.3647	16.045	0.08
0.3833	-0.3645	16.166	0.0794
0.4216	-0.3639	16.27	0.0788
0.46	-0.3633	16.366	0.0782
0.4983	-0.3628	16.456	0.0777
0.5366	-0.3629	16.545	0.0773
0.6133	-0.3655	16.715	0.0768
0.6899	-0.3713	16.869	0.0765
0.7666	-0.3797	16.996	0.0759
0.8433	-0.3899	17.091	0.075
0.9199	-0.4014	17.154	0.0744
0.9966	-0.4137	17.192	0.0742
1.0732	-0.4265	17.207	0.0744
1.1499	-0.4396	17.204	0.0749
1.2266	-0.4527	17.185	0.0755
1.5	-0.4995	17.025	0.0776
2	-0.5808	16.587	0.0783
2.5	-0.6599	16.189	0.0753
3	-0.7383	15.9	0.0728
3.5	-0.8126	15.696	0.0712
4	-0.8805	15.544	0.0706
4.5	-0.9423	15.425	0.071
5	-0.999	15.33	0.0721
5.5	-1.0518	15.264	0.0736
6	-1.1015	15.231	0.0754
6.5	-1.1482	15.235	0.0778
7	-1.1917	15.274	0.0807
7.5	-1.2317	15.346	0.084
8	-1.2685	15.45	0.0876
8.5	-1.3025	15.583	0.0911
9	-1.3343	15.744	0.0943
9.5	-1.3635	15.928	0.0972
10	-1.39	16.133	0.0999
10.5	-1.4139	16.357	0.1024
11	-1.4352	16.596	0.1046
11.5	-1.454	16.85	0.1064
12	-1.4706	17.116	0.10780000000000001
12.5	-1.4852	17.392	0.1088
13	-1.4982	17.676	0.1093
13.5	-1.5096	17.966	0.1094
14	-1.5198	18.259	0.1091
14.5	-1.5288	18.552	0.1084
15	-1.537	18.843	0.1075
15.5	-1.5445	19.132	0.1065
16	-1.5514	19.415	0.1054
16.5	-1.5578	19.693	0.1043
17	-1.5639	19.965	0.1033
17.5	-1.5696	20.23	0.1022
18	-1.5752	20.488	0.1013
18.5	-1.5805	20.74	0.1004
19	-1.5857	20.984	0.0995
19.5	-1.5908	21.223	0.0987
20	-1.5957	21.455	0.098
