name = nl
year = 1980
yname = wfh
sex = female
sub = nla
distribution = LMS
ty = log10(y)
yt = 10**y
citation = Roede1985
publication = Roede MJ & van Wieringen JC (1985) Growth diagrams 1980: Netherlands third nation-wide survey. Tijdschrift voor Sociale Gezondheidszorg, 63, 1-34.
remark = wfh, unpublished, processed by TNO, taken from nl3.wfh.txt 15jul2010
[data]
x	L	M	S
50	-0.9665	0.5189	0.0691
52	-0.3049	0.5666	0.0641
54	0.2909	0.6126	0.0597
56	0.7733	0.6574	0.0559
58	1.1136	0.7007	0.0524
60	1.3126	0.742	0.0494
62	1.3909	0.7809	0.0467
64	1.3829	0.8173	0.0443
66	1.3144	0.851	0.0422
68	1.2037	0.8824	0.0403
70	1.066	0.9116	0.0387
72	0.9108	0.9387	0.0374
74	0.742	0.9637	0.0361
76	0.5617	0.9869	0.0351
78	0.3747	1.0082	0.0343
80	0.1848	1.0281	0.0335
82	-0.0057	1.0467	0.0328
84	-0.1966	1.0642	0.0321
86	-0.3894	1.081	0.0315
88	-0.5864	1.0972	0.0309
90	-0.7892	1.113	0.0304
92	-1.0001	1.1286	0.0298
94	-1.2209	1.1441	0.0294
96	-1.4516	1.1595	0.029
98	-1.69	1.1748	0.0287
100	-1.9339	1.1901	0.0284
102	-2.181	1.2052	0.0282
104	-2.429	1.2203	0.0281
106	-2.6761	1.2353	0.0279
108	-2.9202	1.2503	0.0279
110	-3.1591	1.2652	0.028
112	-3.3907	1.2802	0.028
114	-3.6126	1.2953	0.0281
116	-3.8216	1.3105	0.0283
118	-4.0148	1.3258	0.0285
120	-4.1894	1.3412	0.0287
122	-4.3431	1.3566	0.029
124	-4.4749	1.3722	0.0294
126	-4.5849	1.3879	0.0297
128	-4.6738	1.4038	0.03
130	-4.7432	1.4197	0.0304
132	-4.7949	1.4358	0.0307
134	-4.8306	1.452	0.0311
136	-4.8524	1.4683	0.0314
138	-4.8619	1.4848	0.0318
140	-4.8598	1.5014	0.0321
142	-4.8468	1.5182	0.0323
144	-4.8241	1.5352	0.0325
146	-4.7925	1.5523	0.0328
148	-4.7526	1.5695	0.033
150	-4.7056	1.5867	0.033
152	-4.6519	1.6039	0.0332
154	-4.592	1.621	0.0332
156	-4.5259	1.638	0.0331
158	-4.4539	1.6547	0.0331
160	-4.3765	1.6713	0.0331
162	-4.2948	1.6875	0.0329
164	-4.2097	1.7035	0.0329
166	-4.1221	1.7192	0.0327
168	-4.0332	1.7346	0.0324
170	-3.9438	1.7498	0.0324
172	-3.8543	1.7647	0.0321
174	-3.7651	1.7795	0.032
176	-3.6766	1.7941	0.0318
178	-3.5888	1.8085	0.0316
180	-3.5019	1.8227	0.0315
182	-3.4159	1.8368	0.0312
184	-3.3309	1.8507	0.0311
