name = nl
year = 1980
yname = wfh
sex = female
sub = nlb
distribution = LMS
ty = log10(y)
yt = 10**y
citation = Roede1985
publication = Roede MJ & van Wieringen JC (1985) Growth diagrams 1980: Netherlands third nation-wide survey. Tijdschrift voor Sociale Gezondheidszorg, 63, 1-34.
remark = wfh, unpublished, processed by TNO, taken from nl3.wfh.txt 15jul2010
[data]
x	L	M	S
158	-0.234	1.7169	0.03
160	-0.4797	1.7255	0.0293
162	-0.8001	1.7342	0.0284
164	-1.2057	1.7429	0.0277
166	-1.6425	1.7516	0.027
168	-2.0241	1.7603	0.0266
170	-2.2969	1.7691	0.0262
172	-2.4254	1.7779	0.0258
174	-2.3876	1.7867	0.0255
176	-2.2494	1.7955	0.0253
178	-2.0641	1.8042	0.0249
180	-1.8554	1.813	0.0245
182	-1.6341	1.8219	0.024
184	-1.4083	1.8309	0.0236
186	-1.1826	1.8399	0.0232
188	-0.9593	1.8488	0.0227
190	-0.7418	1.8575	0.0223
192	-0.5288	1.8661	0.022
194	-0.3169	1.8747	0.0216
196	-0.1057	1.8832	0.0211
198	0.1051	1.8918	0.0208
