name = nl
year = 1980
yname = wfh
sex = male
sub = nla
distribution = LMS
ty = log10(y)
yt = 10**y
citation = Roede1985
publication = Roede MJ & van Wieringen JC (1985) Growth diagrams 1980: Netherlands third nation-wide survey. Tijdschrift voor Sociale Gezondheidszorg, 63, 1-34.
remark = wfh, unpublished, processed by TNO, taken from nl3.wfh.txt 15jul2010
[data]
x	L	M	S
50	-0.675	0.5208	0.0713
52	-0.5183	0.5693	0.0655
54	-0.3801	0.6159	0.0605
56	-0.2661	0.6606	0.0561
58	-0.1693	0.7032	0.0522
60	-0.0797	0.7435	0.049
62	0.0134	0.7814	0.0461
64	0.1082	0.8171	0.0436
66	0.191	0.8508	0.0414
68	0.2515	0.8829	0.0395
70	0.2846	0.9134	0.0378
72	0.2918	0.9422	0.0364
74	0.2778	0.9692	0.0352
76	0.2475	0.9942	0.034
78	0.2041	1.0173	0.0331
80	0.154	1.0384	0.0323
82	0.1005	1.0579	0.0315
84	0.0426	1.0759	0.0308
86	-0.0228	1.0928	0.0302
88	-0.0963	1.1088	0.0295
90	-0.1807	1.124	0.0289
92	-0.2794	1.1389	0.0282
94	-0.3954	1.1535	0.0277
96	-0.5292	1.168	0.0272
98	-0.6794	1.1825	0.0267
100	-0.8444	1.1971	0.0263
102	-1.0227	1.2116	0.0259
104	-1.2139	1.2262	0.0255
106	-1.4158	1.2408	0.0253
108	-1.6255	1.2554	0.0251
110	-1.8411	1.2699	0.0249
112	-2.062	1.2843	0.0248
114	-2.288	1.2987	0.0247
116	-2.5185	1.3132	0.0247
118	-2.7523	1.3277	0.0248
120	-2.9865	1.3423	0.0248
122	-3.2183	1.3571	0.025
124	-3.4454	1.3719	0.0252
126	-3.6659	1.387	0.0254
128	-3.8781	1.4022	0.0255
130	-4.0813	1.4176	0.0258
132	-4.2752	1.4331	0.0261
134	-4.4597	1.4487	0.0262
136	-4.6344	1.4644	0.0265
138	-4.7994	1.4801	0.0266
140	-4.956	1.4959	0.0269
142	-5.1056	1.5117	0.0271
144	-5.2484	1.5276	0.0272
146	-5.3844	1.5434	0.0273
148	-5.5139	1.5592	0.0274
150	-5.638	1.575	0.0276
152	-5.758	1.5908	0.0277
154	-5.8746	1.6066	0.0276
156	-5.9882	1.6223	0.0277
158	-6.0993	1.6379	0.0277
160	-6.2077	1.6535	0.0276
162	-6.3134	1.6689	0.0275
164	-6.4165	1.6841	0.0273
166	-6.5173	1.6991	0.0272
168	-6.6158	1.714	0.0271
170	-6.7119	1.7286	0.027
172	-6.8056	1.743	0.0268
174	-6.8968	1.7572	0.0265
176	-6.986	1.7712	0.0264
178	-7.0735	1.785	0.0262
180	-7.1596	1.7986	0.0261
182	-7.2445	1.812	0.0259
184	-7.3283	1.8252	0.0257
186	-7.4113	1.8383	0.0256
188	-7.4932	1.8512	0.0254
190	-7.5743	1.8639	0.0253
192	-7.6545	1.8766	0.0251
194	-7.7339	1.8891	0.0249
