name = nl
year = 1980
yname = wgt
sex = female
distribution = LMS
citation = Roede1985
publication = Roede MJ & van Wieringen JC (1985) Growth diagrams 1980: Netherlands third nation-wide survey. Tijdschrift voor Sociale Gezondheidszorg, 63, 1-34.
remark = unpublished, processed by TNO, taken from nl3.wgt.txt 16jun2010
[data]
x	L	M	S
0.0219	0.526	3.42	0.1044
0.0246	0.524	3.45	0.1043
0.0274	0.523	3.47	0.1043
0.0301	0.521	3.5	0.1043
0.0329	0.52	3.52	0.1043
0.0356	0.518	3.55	0.1043
0.0383	0.517	3.57	0.1043
0.0575	0.505	3.75	0.1043
0.0767	0.494	3.93	0.1042
0.0958	0.483	4.11	0.1041
0.115	0.472	4.29	0.1041
0.1342	0.461	4.46	0.104
0.1533	0.45	4.64	0.104
0.1725	0.439	4.81	0.1039
0.1916	0.429	4.98	0.1039
0.2108	0.418	5.14	0.1038
0.23	0.407	5.31	0.1038
0.2491	0.397	5.47	0.1038
0.25	0.397	5.47	0.1038
0.2917	0.375	5.81	0.1037
0.3333	0.354	6.12	0.1036
0.375	0.334	6.42	0.1036
0.4167	0.315	6.69	0.1035
0.4583	0.297	6.95	0.1035
0.5	0.279	7.2	0.1035
0.5417	0.263	7.44	0.1035
0.5833	0.247	7.66	0.1035
0.625	0.232	7.87	0.1036
0.6667	0.218	8.07	0.1036
0.7083	0.204	8.27	0.1037
0.75	0.19	8.46	0.1037
0.7917	0.177	8.64	0.1038
0.8333	0.165	8.81	0.1039
0.875	0.152	8.98	0.104
0.9167	0.14	9.15	0.1041
0.9583	0.129	9.31	0.1041
1	0.117	9.47	0.1043
1.0833	0.094	9.78	0.1045
1.1667	0.073	10.08	0.1047
1.25	0.052	10.37	0.105
1.3333	0.031	10.64	0.1053
1.4167	0.012	10.91	0.1056
1.5	-0.006	11.15	0.1058
1.5833	-0.024	11.39	0.1061
1.6667	-0.041	11.61	0.1064
1.75	-0.057	11.83	0.1067
1.8333	-0.073	12.04	0.107
1.9167	-0.089	12.25	0.1073
2	-0.104	12.46	0.1076
2.5	-0.194	13.63	0.1097
3	-0.282	14.77	0.1119
3.5	-0.368	15.88	0.1143
4	-0.449	16.94	0.1166
4.5	-0.525	17.97	0.1189
5	-0.595	18.97	0.1212
5.5	-0.656	19.94	0.1234
6	-0.718	21.01	0.126
6.5	-0.78	22.25	0.129
7	-0.834	23.58	0.1323
7.5	-0.877	25.01	0.136
8	-0.902	26.39	0.1398
8.5	-0.909	27.72	0.1437
9	-0.9	29.13	0.148
9.5	-0.873	30.7	0.1529
10	-0.826	32.39	0.1581
10.5	-0.758	34.25	0.1636
11	-0.668	36.37	0.1696
11.5	-0.564	38.78	0.1756
12	-0.461	41.42	0.1798
12.5	-0.372	44.12	0.1798
13	-0.295	46.73	0.1756
13.5	-0.232	49.16	0.1687
14	-0.185	51.35	0.1604
14.5	-0.153	53.22	0.1521
15	-0.132	54.74	0.1448
15.5	-0.116	55.89	0.139
16	-0.105	56.69	0.1349
16.5	-0.096	57.25	0.1321
17	-0.091	57.65	0.1301
17.5	-0.086	57.95	0.1287
18	-0.082	58.21	0.1274
18.5	-0.078	58.47	0.1261
19	-0.074	58.77	0.1248
19.5	-0.069	59.08	0.1232
20	-0.064	59.39	0.1218
