name = nl
year = 1980
yname = wgt
sex = male
distribution = LMS
citation = Roede1985
publication = Roede MJ & van Wieringen JC (1985) Growth diagrams 1980: Netherlands third nation-wide survey. Tijdschrift voor Sociale Gezondheidszorg, 63, 1-34.
remark = unpublished, processed by TNO, taken from nl3.wgt.txt 16jun2010
[data]
x	L	M	S
0.0192	0.319	3.53	0.1099
0.0219	0.319	3.56	0.1098
0.0246	0.319	3.59	0.1098
0.0274	0.318	3.62	0.1098
0.0301	0.318	3.64	0.1097
0.0329	0.317	3.67	0.1097
0.0356	0.317	3.7	0.1097
0.0383	0.317	3.73	0.1096
0.0575	0.314	3.92	0.1094
0.0767	0.312	4.12	0.1092
0.0958	0.309	4.31	0.109
0.115	0.307	4.51	0.1088
0.1342	0.304	4.7	0.1085
0.1533	0.302	4.89	0.1083
0.1725	0.299	5.07	0.1081
0.1916	0.297	5.26	0.1079
0.2108	0.295	5.44	0.1077
0.23	0.293	5.61	0.1075
0.2491	0.29	5.78	0.1073
0.25	0.29	5.79	0.1073
0.2917	0.285	6.15	0.1069
0.3333	0.281	6.48	0.1066
0.375	0.277	6.8	0.1063
0.4167	0.272	7.09	0.106
0.4583	0.268	7.37	0.1057
0.5	0.265	7.63	0.1055
0.5417	0.261	7.88	0.1053
0.5833	0.257	8.11	0.1051
0.625	0.253	8.34	0.1049
0.6667	0.25	8.56	0.1048
0.7083	0.246	8.77	0.1046
0.75	0.242	8.97	0.1045
0.7917	0.239	9.17	0.1044
0.8333	0.235	9.36	0.1043
0.875	0.231	9.54	0.1042
0.9167	0.227	9.72	0.1042
0.9583	0.224	9.89	0.1041
1	0.22	10.06	0.1041
1.0833	0.212	10.39	0.104
1.1667	0.204	10.69	0.104
1.25	0.197	10.99	0.104
1.3333	0.189	11.26	0.104
1.4167	0.182	11.52	0.104
1.5	0.174	11.77	0.1041
1.5833	0.167	12	0.1041
1.6667	0.159	12.23	0.1042
1.75	0.152	12.44	0.1043
1.8333	0.145	12.65	0.1044
1.9167	0.137	12.85	0.1045
2	0.13	13.04	0.1046
2.5	0.08	14.2	0.1053
3	0.027	15.26	0.1062
3.5	-0.033	16.3	0.1073
4	-0.104	17.4	0.1087
4.5	-0.177	18.42	0.1101
5	-0.252	19.41	0.1117
5.5	-0.333	20.43	0.1133
6	-0.416	21.45	0.115
6.5	-0.508	22.6	0.117
7	-0.602	23.83	0.1194
7.5	-0.692	25.13	0.1219
8	-0.772	26.5	0.1248
8.5	-0.839	27.93	0.128
9	-0.889	29.39	0.1313
9.5	-0.922	30.86	0.1348
10	-0.938	32.37	0.1385
10.5	-0.94	33.93	0.1425
11	-0.922	35.56	0.1467
11.5	-0.883	37.27	0.1513
12	-0.819	39.09	0.1562
12.5	-0.719	41.16	0.1614
13	-0.575	43.74	0.1669
13.5	-0.391	46.75	0.1712
14	-0.186	49.97	0.1724
14.5	0.002	53.18	0.1692
15	0.125	56.23	0.1627
15.5	0.185	58.99	0.1548
16	0.2	61.39	0.1469
16.5	0.191	63.44	0.1401
17	0.172	65.19	0.1343
17.5	0.153	66.7	0.1296
18	0.137	68.06	0.1256
18.5	0.123	69.3	0.1222
19	0.11	70.44	0.1191
19.5	0.099	71.47	0.1165
20	0.088	72.43	0.1141
20.5	0.079	73.35	0.1118
