name = nl
year = 1997
yname = bmi
sex = female
sub = ma
distribution = LMS
citation = Fredriks2004
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2004) Height, weight, body mass index and pubertal development references for children of Moroccan origin in The Netherlands. Acta Paediatrica, 93, 817-824.
[data]
x	L	M	S
0	0.75	13.4	0.0965
0.0192	0.6	13.7	0.0965
0.0383	0.5	14	0.0966
0.0575	0.415	14.27	0.0966
0.0767	0.338	14.55	0.0967
0.0958	0.272	14.79	0.0967
0.115	0.215	14.99	0.0967
0.1342	0.164	15.16	0.0967
0.1533	0.118	15.32	0.0967
0.1725	0.076	15.47	0.0967
0.1916	0.037	15.6	0.0966
0.23	-0.034	15.84	0.0963
0.2683	-0.097	16.06	0.0961
0.3066	-0.155	16.25	0.0957
0.345	-0.207	16.43	0.0954
0.3833	-0.256	16.59	0.0951
0.4216	-0.302	16.74	0.0948
0.46	-0.344	16.87	0.0945
0.4983	-0.385	16.99	0.0943
0.5366	-0.423	17.09	0.0941
0.6133	-0.494	17.27	0.0937
0.6899	-0.558	17.42	0.0934
0.7666	-0.618	17.53	0.0932
0.8433	-0.673	17.6	0.093
0.9199	-0.724	17.65	0.0929
0.9966	-0.772	17.68	0.0928
1.0732	-0.817	17.68	0.0928
1.1499	-0.86	17.66	0.0928
1.2266	-0.9	17.62	0.0928
1.5	-1.027	17.43	0.0933
2	-1.211	17	0.0956
2.5	-1.351	16.63	0.0986
3	-1.458	16.37	0.1016
3.5	-1.539	16.2	0.1047
4	-1.596	16.12	0.10780000000000001
4.5	-1.635	16.08	0.111
5	-1.655	16.08	0.1143
5.5	-1.666	16.09	0.1177
6	-1.664	16.11	0.1211
6.5	-1.653	16.15	0.1245
7	-1.634	16.2	0.1278
7.5	-1.608	16.28	0.131
8	-1.577	16.39	0.134
8.5	-1.54	16.54	0.1368
9	-1.5	16.71	0.1394
9.5	-1.457	16.93	0.1419
10	-1.41	17.18	0.1442
10.5	-1.362	17.48	0.1464
11	-1.312	17.81	0.1484
11.5	-1.262	18.18	0.1501
12	-1.211	18.57	0.1517
12.5	-1.16	18.97	0.15310000000000001
13	-1.11	19.38	0.1543
13.5	-1.06	19.79	0.1552
14	-1.011	20.18	0.1561
14.5	-0.963	20.56	0.1568
15	-0.915	20.92	0.1575
15.5	-0.868	21.26	0.1582
16	-0.821	21.58	0.1589
16.5	-0.775	21.88	0.1595
17	-0.73	22.17	0.1602
17.5	-0.685	22.45	0.1609
18	-0.64	22.73	0.1617
18.5	-0.596	22.99	0.1624
19	-0.553	23.24	0.1632
19.5	-0.511	23.49	0.164
20	-0.469	23.73	0.1647
20.5	-0.428	23.97	0.1655
