name = nl
year = 1997
yname = bmi
sex = female
sub = nl
distribution = LMS
citation = Fredriks2001b
publication = Fredriks AM, van Buuren S, Wit JM & Verloove-Vanhorick SP (2000) Body index measurements in 1996-7 compared with 1980. Arch. Dis. Child., 82, 107-112.
[data]
x	L	M	S
0	0.15	12.5	0.093
0.0192	0.08	12.9	0.0912
0.0383	0.02	13.22	0.0896
0.0575	-0.031	13.62	0.0884
0.0767	-0.081	13.95	0.0874
0.0958	-0.122	14.24	0.0866
0.115	-0.157	14.5	0.086
0.1342	-0.186	14.75	0.0854
0.1533	-0.211	14.96	0.085
0.1725	-0.232	15.16	0.0846
0.1916	-0.25	15.33	0.0842
0.23	-0.278	15.63	0.0836
0.2683	-0.299	15.88	0.0831
0.3066	-0.314	16.09	0.0827
0.345	-0.326	16.27	0.0824
0.3833	-0.335	16.41	0.0822
0.4216	-0.343	16.53	0.0819
0.46	-0.349	16.63	0.0818
0.4983	-0.354	16.7	0.0816
0.5366	-0.359	16.76	0.0815
0.6133	-0.368	16.85	0.0813
0.6899	-0.376	16.9	0.0812
0.7666	-0.386	16.92	0.081
0.8433	-0.398	16.91	0.0808
0.9199	-0.413	16.87	0.0805
0.9966	-0.43	16.82	0.0803
1.0732	-0.449	16.75	0.0801
1.1499	-0.471	16.68	0.0798
1.2266	-0.496	16.61	0.0796
1.5	-0.597	16.37	0.079
2	-0.815	16.07	0.0785
2.5	-1.019	15.88	0.0791
3	-1.184	15.74	0.0807
3.5	-1.313	15.62	0.0833
4	-1.416	15.51	0.0865
4.5	-1.5	15.41	0.0903
5	-1.568	15.37	0.0943
5.5	-1.623	15.39	0.0984
6	-1.663	15.47	0.1024
6.5	-1.692	15.58	0.1063
7	-1.712	15.71	0.1101
7.5	-1.722	15.85	0.1136
8	-1.726	16	0.1168
8.5	-1.723	16.15	0.1197
9	-1.715	16.32	0.1222
9.5	-1.704	16.51	0.1243
10	-1.69	16.72	0.1259
10.5	-1.674	16.95	0.1271
11	-1.658	17.21	0.1279
11.5	-1.644	17.5	0.1283
12	-1.633	17.82	0.1283
12.5	-1.627	18.16	0.1279
13	-1.627	18.51	0.1273
13.5	-1.632	18.85	0.1265
14	-1.643	19.19	0.1255
14.5	-1.659	19.51	0.1245
15	-1.679	19.81	0.1233
15.5	-1.702	20.09	0.1222
16	-1.727	20.34	0.1211
16.5	-1.753	20.57	0.1199
17	-1.779	20.78	0.1189
17.5	-1.805	20.98	0.1178
18	-1.831	21.16	0.1167
18.5	-1.855	21.33	0.1157
19	-1.879	21.5	0.1147
19.5	-1.903	21.65	0.1138
20	-1.925	21.8	0.1128
20.5	-1.946	21.95	0.1119
21	-1.967	22.09	0.111
