name = nl
year = 1997
yname = bmi
sex = female
sub = tu
distribution = LMS
citation = Fredriks2003
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2003) Height, weight, body mass index and pubertal development reference values for children of Turkish origin in the Netherlands. European Journal of Pediatrics, 162, 788-793.
[data]
x	L	M	S
0	1	13.4	0.054
0.0192	0.92	13.7	0.057
0.0383	0.86	13.95	0.06
0.0575	0.8	14.2	0.063
0.0767	0.745	14.45	0.0655
0.0958	0.695	14.74	0.0684
0.115	0.653	14.99	0.071
0.1342	0.615	15.21	0.0732
0.1533	0.58	15.42	0.0752
0.1725	0.548	15.61	0.0769
0.1916	0.519	15.78	0.0784
0.23	0.466	16.08	0.0811
0.2683	0.419	16.33	0.0834
0.3066	0.376	16.53	0.0852
0.345	0.338	16.7	0.0868
0.3833	0.302	16.84	0.0881
0.4216	0.27	16.95	0.0893
0.46	0.239	17.05	0.0903
0.4983	0.211	17.12	0.0911
0.5366	0.184	17.18	0.0919
0.6133	0.135	17.26	0.0932
0.6899	0.091	17.3	0.0941
0.7666	0.051	17.32	0.0948
0.8433	0.014	17.32	0.0954
0.9199	-0.02	17.31	0.0959
0.9966	-0.052	17.29	0.0963
1.0732	-0.082	17.26	0.0967
1.1499	-0.109	17.23	0.0971
1.2266	-0.135	17.2	0.0975
1.5	-0.217	17.06	0.0987
2	-0.336	16.81	0.1006
2.5	-0.429	16.66	0.1025
3	-0.506	16.6	0.1044
3.5	-0.571	16.57	0.1068
4	-0.627	16.53	0.1094
4.5	-0.675	16.45	0.1122
5	-0.718	16.38	0.1152
5.5	-0.759	16.33	0.1183
6	-0.797	16.34	0.1216
6.5	-0.832	16.4	0.1252
7	-0.865	16.51	0.1288
7.5	-0.897	16.68	0.1324
8	-0.929	16.9	0.136
8.5	-0.96	17.16	0.1394
9	-0.99	17.47	0.1427
9.5	-1.021	17.8	0.1457
10	-1.052	18.16	0.1484
10.5	-1.083	18.54	0.1508
11	-1.114	18.92	0.1528
11.5	-1.147	19.31	0.1545
12	-1.18	19.7	0.1558
12.5	-1.214	20.08	0.1568
13	-1.249	20.45	0.1576
13.5	-1.285	20.8	0.1582
14	-1.32	21.12	0.1586
14.5	-1.356	21.43	0.159
15	-1.392	21.7	0.1592
15.5	-1.427	21.96	0.1593
16	-1.462	22.2	0.1595
16.5	-1.497	22.43	0.1595
17	-1.531	22.64	0.1596
17.5	-1.564	22.85	0.1597
18	-1.597	23.04	0.1597
18.5	-1.629	23.23	0.1597
19	-1.661	23.41	0.1598
19.5	-1.692	23.59	0.1598
20	-1.723	23.77	0.1598
20.5	-1.753	23.95	0.1598
