name = nl
year = 1997
yname = bmi
sex = male
sub = ma
distribution = LMS
citation = Fredriks2004
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2004) Height, weight, body mass index and pubertal development references for children of Moroccan origin in The Netherlands. Acta Paediatrica, 93, 817-824.
[data]
x	L	M	S
0	2.6	13.85	0.079
0.0192	2.48	14.25	0.0798
0.0383	2.379	14.58	0.0805
0.0575	2.255	14.98	0.0811
0.0767	2.154	15.29	0.0815
0.0958	2.07	15.56	0.0819
0.115	1.997	15.79	0.0823
0.1342	1.932	15.99	0.0826
0.1533	1.873	16.18	0.0829
0.1725	1.818	16.35	0.0831
0.1916	1.767	16.51	0.0834
0.23	1.675	16.78	0.0839
0.2683	1.593	17.01	0.0843
0.3066	1.519	17.19	0.0847
0.345	1.45	17.34	0.0851
0.3833	1.386	17.45	0.0855
0.4216	1.326	17.55	0.0858
0.46	1.27	17.63	0.0861
0.4983	1.216	17.69	0.0864
0.5366	1.165	17.74	0.0867
0.6133	1.07	17.8	0.0872
0.6899	0.982	17.84	0.0877
0.7666	0.9	17.85	0.0882
0.8433	0.823	17.85	0.0886
0.9199	0.751	17.83	0.0891
0.9966	0.682	17.79	0.0895
1.0732	0.617	17.75	0.0899
1.1499	0.555	17.69	0.0903
1.2266	0.496	17.63	0.0908
1.5	0.303	17.39	0.0923
2	0.003	17.01	0.0948
2.5	-0.249	16.71	0.0971
3	-0.467	16.44	0.0993
3.5	-0.657	16.22	0.1012
4	-0.825	16.05	0.1032
4.5	-0.974	15.96	0.105
5	-1.108	15.92	0.1069
5.5	-1.228	15.91	0.1087
6	-1.336	15.93	0.1106
6.5	-1.432	15.96	0.1126
7	-1.519	16.02	0.1144
7.5	-1.595	16.1	0.1163
8	-1.664	16.2	0.118
8.5	-1.724	16.32	0.1197
9	-1.778	16.46	0.1212
9.5	-1.825	16.62	0.1226
10	-1.867	16.81	0.1239
10.5	-1.903	17.01	0.125
11	-1.935	17.24	0.126
11.5	-1.963	17.48	0.1269
12	-1.987	17.74	0.1277
12.5	-2.007	18.01	0.1284
13	-2.024	18.29	0.129
13.5	-2.038	18.58	0.1296
14	-2.05	18.87	0.1301
14.5	-2.059	19.16	0.1305
15	-2.066	19.46	0.1309
15.5	-2.072	19.75	0.1313
16	-2.077	20.03	0.1316
16.5	-2.08	20.31	0.1319
17	-2.084	20.59	0.1322
17.5	-2.087	20.86	0.1324
18	-2.089	21.12	0.1327
18.5	-2.092	21.38	0.1329
19	-2.094	21.64	0.1332
19.5	-2.097	21.89	0.1334
20	-2.099	22.13	0.1336
