name = nl
year = 1997
yname = bmi
sex = male
sub = nl
distribution = LMS
citation = Fredriks2001
publication = Fredriks AM, van Buuren S, Burgmeijer RJF, Meulmeester JF, Beuker RJ, Brugman E, Roede MJ, Verloove-Vanhorick SP & Wit JM (2000) Continuing positive secular growth change in The Netherlands 1955-1997. Pediatric Research, 47, 316-323.
[data]
x	L	M	S
0	-0.9	12.6	0.092
0.0192	-0.82	13.05	0.0905
0.0383	-0.746	13.43	0.0893
0.0575	-0.684	13.91	0.0879
0.0767	-0.634	14.3	0.0868
0.0958	-0.592	14.62	0.0859
0.115	-0.556	14.89	0.085
0.1342	-0.523	15.13	0.0843
0.1533	-0.494	15.34	0.0837
0.1725	-0.468	15.53	0.0831
0.1916	-0.444	15.7	0.0826
0.23	-0.403	16	0.0816
0.2683	-0.366	16.24	0.0809
0.3066	-0.335	16.45	0.0802
0.345	-0.308	16.63	0.0796
0.3833	-0.283	16.79	0.0792
0.4216	-0.261	16.93	0.0787
0.46	-0.242	17.05	0.0784
0.4983	-0.225	17.15	0.0781
0.5366	-0.209	17.23	0.0778
0.6133	-0.183	17.35	0.0774
0.6899	-0.163	17.42	0.0771
0.7666	-0.148	17.44	0.0768
0.8433	-0.136	17.44	0.0767
0.9199	-0.126	17.41	0.0765
0.9966	-0.118	17.36	0.0765
1.0732	-0.11	17.29	0.0765
1.1499	-0.101	17.22	0.0765
1.2266	-0.093	17.15	0.0766
1.5	-0.058	16.87	0.0772
2	-0.007	16.42	0.079
2.5	-0.006	16.12	0.0813
3	-0.069	15.89	0.0837
3.5	-0.192	15.73	0.0859
4	-0.375	15.61	0.0882
4.5	-0.605	15.55	0.0904
5	-0.852	15.52	0.0925
5.5	-1.097	15.51	0.0946
6	-1.324	15.52	0.0967
6.5	-1.527	15.55	0.0987
7	-1.699	15.61	0.1006
7.5	-1.839	15.7	0.1024
8	-1.948	15.82	0.1041
8.5	-2.028	15.96	0.1057
9	-2.083	16.1	0.1071
9.5	-2.115	16.26	0.1085
10	-2.126	16.43	0.1097
10.5	-2.119	16.61	0.1108
11	-2.097	16.83	0.1118
11.5	-2.064	17.06	0.1126
12	-2.022	17.32	0.1133
12.5	-1.974	17.6	0.1139
13	-1.925	17.9	0.1144
13.5	-1.873	18.21	0.1147
14	-1.821	18.54	0.1149
14.5	-1.767	18.87	0.115
15	-1.711	19.21	0.1151
15.5	-1.654	19.53	0.1151
16	-1.594	19.85	0.1152
16.5	-1.531	20.15	0.1151
17	-1.466	20.43	0.1151
17.5	-1.398	20.7	0.1151
18	-1.327	20.94	0.1151
18.5	-1.256	21.16	0.1151
19	-1.183	21.37	0.115
19.5	-1.11	21.56	0.115
20	-1.038	21.75	0.115
20.5	-0.966	21.93	0.1149
21	-0.896	22.11	0.1149
