name = nl
year = 1997
yname = bmi
sex = male
sub = tu
distribution = LMS
citation = Fredriks2003
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2003) Height, weight, body mass index and pubertal development reference values for children of Turkish origin in the Netherlands. European Journal of Pediatrics, 162, 788-793.
[data]
x	L	M	S
0	1.5	13.3	0.0838
0.0192	1.3	13.72	0.0838
0.0383	1.128	14.1	0.0839
0.0575	0.977	14.53	0.0839
0.0767	0.86	14.86	0.084
0.0958	0.763	15.14	0.084
0.115	0.678	15.39	0.084
0.1342	0.601	15.62	0.084
0.1533	0.532	15.82	0.0841
0.1725	0.469	16.01	0.0841
0.1916	0.411	16.18	0.0841
0.23	0.305	16.47	0.0841
0.2683	0.212	16.72	0.0842
0.3066	0.128	16.91	0.0843
0.345	0.051	17.08	0.0844
0.3833	-0.019	17.22	0.0844
0.4216	-0.084	17.34	0.0846
0.46	-0.144	17.44	0.0847
0.4983	-0.2	17.53	0.0848
0.5366	-0.252	17.6	0.0849
0.6133	-0.348	17.7	0.0852
0.6899	-0.434	17.76	0.0854
0.7666	-0.511	17.8	0.0857
0.8433	-0.581	17.81	0.0859
0.9199	-0.645	17.81	0.0862
0.9966	-0.704	17.79	0.0864
1.0732	-0.759	17.75	0.0866
1.1499	-0.811	17.71	0.0868
1.2266	-0.859	17.66	0.087
1.5	-1.009	17.45	0.0877
2	-1.221	17.05	0.089
2.5	-1.38	16.73	0.0904
3	-1.505	16.51	0.0922
3.5	-1.603	16.36	0.0944
4	-1.681	16.28	0.097
4.5	-1.742	16.24	0.0998
5	-1.789	16.26	0.1028
5.5	-1.825	16.31	0.106
6	-1.85	16.41	0.1092
6.5	-1.867	16.52	0.1124
7	-1.876	16.65	0.1156
7.5	-1.879	16.79	0.1186
8	-1.876	16.96	0.1216
8.5	-1.868	17.16	0.1244
9	-1.856	17.36	0.1271
9.5	-1.84	17.58	0.1296
10	-1.821	17.8	0.1319
10.5	-1.798	18.02	0.1341
11	-1.773	18.26	0.1361
11.5	-1.746	18.52	0.1379
12	-1.717	18.79	0.1395
12.5	-1.686	19.09	0.141
13	-1.654	19.39	0.1423
13.5	-1.621	19.71	0.1434
14	-1.587	20.03	0.1444
14.5	-1.553	20.34	0.1453
15	-1.518	20.65	0.1461
15.5	-1.482	20.94	0.1469
16	-1.447	21.22	0.1475
16.5	-1.411	21.5	0.1482
17	-1.375	21.76	0.1488
17.5	-1.34	22	0.1493
18	-1.304	22.24	0.1499
18.5	-1.268	22.46	0.1504
19	-1.233	22.68	0.1509
19.5	-1.199	22.89	0.1514
20	-1.164	23.1	0.1519
