name = nl
year = 1997
yname = hdc
sex = female
sub = ma
distribution = LMS
citation = Fredriks2004
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2004) Height, weight, body mass index and pubertal development references for children of Moroccan origin in The Netherlands. Acta Paediatrica, 93, 817-824.
[data]
x	L	M	S
0	1	36	0.033
0.0192	1	36.3	0.033
0.0383	1	36.65	0.0331
0.0575	1	36.95	0.0331
0.0767	1	37.35	0.0332
0.0958	1	37.68	0.0332
0.115	1	38	0.0332
0.1342	1	38.32	0.0333
0.1533	1	38.63	0.0333
0.1725	1	38.93	0.0334
0.1916	1	39.21	0.0334
0.23	1	39.77	0.0334
0.2683	1	40.3	0.0335
0.3066	1	40.82	0.0335
0.345	1	41.32	0.0336
0.3833	1	41.81	0.0336
0.4216	1	42.28	0.0337
0.46	1	42.73	0.0338
0.4983	1	43.15	0.0339
0.5366	1	43.53	0.034
0.6133	1	44.19	0.0342
0.6899	1	44.73	0.0343
0.7666	1	45.17	0.0344
0.8433	1	45.54	0.0345
0.9199	1	45.87	0.0344
0.9966	1	46.16	0.0344
1.0732	1	46.42	0.0343
1.1499	1	46.66	0.0342
1.2266	1	46.88	0.0341
1.5	1	47.51	0.0336
2	1	48.37	0.0327
