name = nl
year = 1997
yname = hdc
sex = female
sub = nl
distribution = LMS
citation = Fredriks2001
publication = Fredriks AM, van Buuren S, Burgmeijer RJF, Meulmeester JF, Beuker RJ, Brugman E, Roede MJ, Verloove-Vanhorick SP & Wit JM (2000) Continuing positive secular growth change in The Netherlands 1955-1997. Pediatric Research, 47, 316-323.
[data]
x	L	M	S
0	1	35.04	0.0359
0.0192	1	35.43	0.0358
0.0383	1	35.81	0.0357
0.0575	1	36.152	0.0355
0.0767	1	36.551	0.0352
0.0958	1	36.948	0.0349
0.115	1	37.342	0.0345
0.1342	1	37.73	0.0344
0.1533	1	38.109	0.0341
0.1725	1	38.477	0.0337
0.1916	1	38.833	0.0337
0.23	1	39.5	0.0331
0.2683	1	40.117	0.0329
0.3066	1	40.685	0.0322
0.345	1	41.206	0.032
0.3833	1	41.682	0.0317
0.4216	1	42.117	0.0313
0.46	1	42.512	0.0313
0.4983	1	42.871	0.031
0.5366	1	43.199	0.0305
0.6133	1	43.781	0.0306
0.6899	1	44.29	0.0305
0.7666	1	44.744	0.0306
0.8433	1	45.155	0.0306
0.9199	1	45.522	0.0305
0.9966	1	45.852	0.0308
1.0732	1	46.147	0.031
1.1499	1	46.411	0.031
1.2266	1	46.647	0.0311
1.5	1	47.291	0.0313
2	1	48.075	0.0318
2.5	1	48.716	0.032
3	1	49.278	0.0323
3.5	1	49.742	0.0324
4	1	50.106	0.0323
4.5	1	50.381	0.0324
5	1	50.586	0.0322
5.5	1	50.746	0.0323
6	1	50.891	0.0324
6.5	1	51.042	0.0323
7	1	51.213	0.0324
7.5	1	51.412	0.0323
8	1	51.646	0.0321
8.5	1	51.907	0.0322
9	1	52.183	0.0322
9.5	1	52.46	0.032
10	1	52.732	0.0319
10.5	1	52.999	0.0317
11	1	53.268	0.0315
11.5	1	53.54	0.0316
12	1	53.806	0.0312
12.5	1	54.062	0.0313
13	1	54.293	0.0311
13.5	1	54.493	0.031
14	1	54.66	0.0307
14.5	1	54.797	0.0307
15	1	54.911	0.0306
15.5	1	55.007	0.0305
16	1	55.086	0.0305
16.5	1	55.151	0.0305
17	1	55.2	0.0304
17.5	1	55.233	0.0304
18	1	55.25	0.0304
18.5	1	55.258	0.0304
19	1	55.262	0.0304
19.5	1	55.263	0.0304
20	1	55.266	0.0302
20.5	1	55.275	0.0304
21	1	55.286	0.0302
