name = nl
year = 1997
yname = hdc
sex = female
sub = tu
distribution = LMS
citation = Fredriks2003
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2003). Height, weight, body mass index and pubertal development reference values for children of Turkish origin in the Netherlands. European Journal of Pediatrics, 162(11), 788-793.
[data]
x	L	M	S
0	1	35.5	0.03
0.0192	1	35.9	0.03
0.0383	1	36.2	0.03
0.0575	1	36.6	0.03
0.0767	1	36.897	0.03
0.0958	1	37.233	0.0301
0.115	1	37.567	0.0301
0.1342	1	37.895	0.0301
0.1533	1	38.219	0.0302
0.1725	1	38.532	0.0302
0.1916	1	38.835	0.0302
0.23	1	39.407	0.0301
0.2683	1	39.921	0.03
0.3066	1	40.405	0.0297
0.345	1	40.869	0.0295
0.3833	1	41.314	0.0293
0.4216	1	41.739	0.0291
0.46	1	42.126	0.029
0.4983	1	42.483	0.0289
0.5366	1	42.816	0.0287
0.6133	1	43.421	0.0285
0.6899	1	43.954	0.0283
0.7666	1	44.434	0.0281
0.8433	1	44.885	0.0278
0.9199	1	45.298	0.0277
0.9966	1	45.659	0.0275
1.0732	1	45.962	0.0274
1.1499	1	46.226	0.0273
1.2266	1	46.446	0.0272
1.5	1	47.007	0.027
2	1	47.88	0.0268
