name = nl
year = 1997
yname = hdc
sex = male
sub = ma
distribution = LMS
citation = Fredriks2004
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2004) Height, weight, body mass index and pubertal development references for children of Moroccan origin in The Netherlands. Acta Paediatrica, 93, 817-824.
[data]
x	L	M	S
0	1	37.45	0.0332
0.0192	1	37.8	0.0332
0.0383	1	38.187	0.0332
0.0575	1	38.559	0.0331
0.0767	1	38.93	0.0331
0.0958	1	39.297	0.033
0.115	1	39.659	0.033
0.1342	1	40.013	0.033
0.1533	1	40.358	0.0329
0.1725	1	40.693	0.0328
0.1916	1	41.017	0.0328
0.23	1	41.628	0.0326
0.2683	1	42.181	0.0323
0.3066	1	42.683	0.0319
0.345	1	43.12	0.0315
0.3833	1	43.519	0.031
0.4216	1	43.879	0.0305
0.46	1	44.217	0.03
0.4983	1	44.541	0.0295
0.5366	1	44.854	0.0291
0.6133	1	45.429	0.0284
0.6899	1	45.956	0.0278
0.7666	1	46.41	0.0275
0.8433	1	46.805	0.0273
0.9199	1	47.15	0.0272
0.9966	1	47.452	0.0272
1.0732	1	47.719	0.0273
1.1499	1	47.958	0.0275
1.2266	1	48.173	0.0276
1.5	1	48.776	0.0283
2	1	49.45	0.0291
