name = nl
year = 1997
yname = hdc
sex = male
sub = nl
distribution = LMS
citation = Fredriks2001
publication = Fredriks AM, van Buuren S, Burgmeijer RJF, Meulmeester JF, Beuker RJ, Brugman E, Roede MJ, Verloove-Vanhorick SP & Wit JM (2000) Continuing positive secular growth change in The Netherlands 1955-1997. Pediatric Research, 47, 316-323.
[data]
x	L	M	S
0	1	35.67	0.0375
0.0192	1	36.1	0.0373
0.0383	1	36.505	0.0371
0.0575	1	36.981	0.0368
0.0767	1	37.451	0.0365
0.0958	1	37.909	0.0361
0.115	1	38.351	0.0357
0.1342	1	38.774	0.0353
0.1533	1	39.179	0.035
0.1725	1	39.566	0.0346
0.1916	1	39.933	0.0343
0.23	1	40.611	0.0335
0.2683	1	41.231	0.0328
0.3066	1	41.813	0.0323
0.345	1	42.354	0.0316
0.3833	1	42.853	0.0313
0.4216	1	43.312	0.0309
0.46	1	43.732	0.0306
0.4983	1	44.118	0.0306
0.5366	1	44.471	0.0304
0.6133	1	45.091	0.0304
0.6899	1	45.625	0.0307
0.7666	1	46.087	0.0308
0.8433	1	46.491	0.031
0.9199	1	46.851	0.0314
0.9966	1	47.17	0.0316
1.0732	1	47.444	0.0318
1.1499	1	47.679	0.0321
1.2266	1	47.883	0.0324
1.5	1	48.454	0.0328
2	1	49.279	0.0331
2.5	1	50.009	0.0334
3	1	50.557	0.0332
3.5	1	50.948	0.0332
4	1	51.206	0.0332
4.5	1	51.376	0.0331
5	1	51.495	0.0332
5.5	1	51.599	0.0329
6	1	51.717	0.0329
6.5	1	51.865	0.033
7	1	52.044	0.0331
7.5	1	52.244	0.0329
8	1	52.45	0.0326
8.5	1	52.651	0.0327
9	1	52.849	0.0325
9.5	1	53.051	0.0324
10	1	53.255	0.0323
10.5	1	53.46	0.0322
11	1	53.673	0.0322
11.5	1	53.892	0.0321
12	1	54.121	0.032
12.5	1	54.371	0.0318
13	1	54.642	0.0317
13.5	1	54.936	0.0315
14	1	55.249	0.0315
14.5	1	55.568	0.0313
15	1	55.878	0.0311
15.5	1	56.167	0.031
16	1	56.422	0.031
16.5	1	56.64	0.0309
17	1	56.821	0.0308
17.5	1	56.981	0.0307
18	1	57.12	0.0306
18.5	1	57.24	0.0306
19	1	57.345	0.0307
19.5	1	57.449	0.0305
20	1	57.563	0.0304
20.5	1	57.689	0.0303
21	1	57.821	0.0303
