name = nl
year = 1997
yname = hgt
sex = female
sub = ma
distribution = LMS
citation = Fredriks2004
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2004) Height, weight, body mass index and pubertal development references for children of Moroccan origin in The Netherlands. Acta Paediatrica, 93, 817-824.
[data]
x	L	M	S
0	1	49.9	0.0458
0.0192	1	50.6	0.0456
0.0383	1	51.25	0.0454
0.0575	1	52.01	0.0451
0.0767	1	52.77	0.0449
0.0958	1	53.52	0.0447
0.115	1	54.27	0.0444
0.1342	1	55.01	0.0442
0.1533	1	55.75	0.0439
0.1725	1	56.47	0.0437
0.1916	1	57.19	0.0434
0.23	1	58.57	0.0429
0.2683	1	59.88	0.0424
0.3066	1	61.13	0.0419
0.345	1	62.31	0.0414
0.3833	1	63.44	0.0409
0.4216	1	64.51	0.0404
0.46	1	65.51	0.0399
0.4983	1	66.46	0.0394
0.5366	1	67.35	0.0389
0.6133	1	68.97	0.038
0.6899	1	70.4	0.0372
0.7666	1	71.68	0.0366
0.8433	1	72.82	0.036
0.9199	1	73.86	0.0355
0.9966	1	74.85	0.035
1.0732	1	75.82	0.0346
1.1499	1	76.79	0.0343
1.2266	1	77.78	0.034
1.5	1	81.28	0.0332
2	1	86.76	0.0329
2.5	1	91.01	0.0335
3	1	94.83	0.0347
3.5	1	98.69	0.0363
4	1	102.41	0.0381
4.5	1	105.87	0.0399
5	1	109	0.0415
5.5	1	111.92	0.0429
6	1	114.64	0.0439
6.5	1	117.35	0.0447
7	1	120.19	0.0454
7.5	1	123.19	0.046
8	1	126.35	0.0466
8.5	1	129.45	0.0471
9	1	132.41	0.0473
9.5	1	135.24	0.0473
10	1	137.99	0.047
10.5	1	140.88	0.0465
11	1	144	0.0456
11.5	1	147.27	0.0444
12	1	150.47	0.0429
12.5	1	153.36	0.0413
13	1	155.65	0.0399
13.5	1	157.37	0.0387
14	1	158.6	0.0377
14.5	1	159.33	0.0371
15	1	159.79	0.0367
15.5	1	160.12	0.0364
16	1	160.3	0.0362
16.5	1	160.34	0.0362
17	1	160.44	0.0361
17.5	1	160.65	0.0359
18	1	160.92	0.0357
18.5	1	161.15	0.0354
19	1	161.24	0.0354
19.5	1	161.26	0.0353
20	1	161.31	0.0353
20.5	1	161.39	0.0352
