name = nl
year = 1997
yname = hgt
sex = female
sub = nl
distribution = LMS
citation = Fredriks2001
publication = Fredriks AM, van Buuren S, Burgmeijer RJF, Meulmeester JF, Beuker RJ, Brugman E, Roede MJ, Verloove-Vanhorick SP & Wit JM (2000) Continuing positive secular growth change in The Netherlands 1955-1997. Pediatric Research, 47, 316-323.
[data]
x	L	M	S
0	1	50.9	0.0376
0.0192	1	51.58	0.0375
0.0383	1	52.26	0.0375
0.0575	1	52.94	0.0374
0.0767	1	53.63	0.0373
0.0958	1	54.31	0.037
0.115	1	54.99	0.0369
0.1342	1	55.67	0.0368
0.1533	1	56.35	0.0368
0.1725	1	57.02	0.0367
0.1916	1	57.68	0.0366
0.23	1	58.97	0.0363
0.2683	1	60.22	0.036
0.3066	1	61.41	0.0357
0.345	1	62.54	0.0355
0.3833	1	63.6	0.0354
0.4216	1	64.6	0.0353
0.46	1	65.54	0.0351
0.4983	1	66.41	0.0349
0.5366	1	67.22	0.0348
0.6133	1	68.73	0.0347
0.6899	1	70.11	0.0346
0.7666	1	71.41	0.0345
0.8433	1	72.66	0.0344
0.9199	1	73.89	0.0345
0.9966	1	75.09	0.0346
1.0732	1	76.27	0.0344
1.1499	1	77.42	0.0347
1.2266	1	78.53	0.0347
1.5	1	82.05	0.0351
2	1	87.49	0.036
2.5	1	92.33	0.0376
3	1	96.65	0.0383
3.5	1	100.65	0.039
4	1	104.45	0.0397
4.5	1	108.14	0.0402
5	1	111.78	0.0408
5.5	1	115.33	0.0414
6	1	118.72	0.0419
6.5	1	121.97	0.0423
7	1	125.17	0.0428
7.5	1	128.36	0.0432
8	1	131.49	0.0437
8.5	1	134.53	0.0441
9	1	137.51	0.0444
9.5	1	140.45	0.0448
10	1	143.31	0.0449
10.5	1	146.19	0.045
11	1	149.19	0.045
11.5	1	152.24	0.0446
12	1	155.27	0.044
12.5	1	158.2	0.0432
13	1	160.84	0.0422
13.5	1	163.01	0.0413
14	1	164.73	0.0406
14.5	1	166.07	0.04
15	1	167.12	0.0396
15.5	1	167.94	0.0392
16	1	168.56	0.0389
16.5	1	168.99	0.0386
17	1	169.28	0.0385
17.5	1	169.52	0.0384
18	1	169.75	0.0383
18.5	1	169.97	0.0382
19	1	170.18	0.0381
19.5	1	170.36	0.038
20	1	170.47	0.038
20.5	1	170.54	0.0379
21	1	170.59	0.0379
