name = nl
year = 1997
yname = hgt
sex = female
sub = tu
distribution = LMS
citation = Fredriks2003
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2003). Height, weight, body mass index and pubertal development reference values for children of Turkish origin in the Netherlands. European Journal of Pediatrics, 162(11), 788-793.
[data]
x	L	M	S
0	1	50.567	0.0426
0.0192	1	51.29	0.0425
0.0383	1	52.001	0.0425
0.0575	1	52.723	0.0424
0.0767	1	53.396	0.0423
0.0958	1	54.068	0.0423
0.115	1	54.739	0.0422
0.1342	1	55.405	0.0422
0.1533	1	56.064	0.0421
0.1725	1	56.714	0.0421
0.1916	1	57.352	0.042
0.23	1	58.59	0.0419
0.2683	1	59.772	0.0417
0.3066	1	60.914	0.0415
0.345	1	62.021	0.0414
0.3833	1	63.096	0.0412
0.4216	1	64.132	0.0409
0.46	1	65.125	0.0407
0.4983	1	66.076	0.0404
0.5366	1	66.982	0.0401
0.6133	1	68.657	0.0396
0.6899	1	70.159	0.039
0.7666	1	71.535	0.0386
0.8433	1	72.824	0.0382
0.9199	1	74.027	0.0379
0.9966	1	75.154	0.0376
1.0732	1	76.216	0.0375
1.1499	1	77.254	0.0374
1.2266	1	78.294	0.0374
1.5	1	81.967	0.0376
2	1	87.625	0.0379
2.5	1	92.262	0.0381
3	1	96.591	0.0383
3.5	1	100.566	0.0384
4	1	104.132	0.0385
4.5	1	107.199	0.0385
5	1	109.859	0.0386
5.5	1	112.432	0.0386
6	1	114.931	0.0388
6.5	1	117.587	0.0391
7	1	120.552	0.0396
7.5	1	123.805	0.0405
8	1	127.067	0.0416
8.5	1	130.198	0.0429
9	1	133.393	0.0442
9.5	1	136.476	0.0453
10	1	139.447	0.0461
10.5	1	142.332	0.0464
11	1	145.296	0.0462
11.5	1	148.358	0.0452
12	1	151.318	0.0436
12.5	1	153.806	0.0418
13	1	155.689	0.0401
13.5	1	157.003	0.0389
14	1	157.93	0.0379
14.5	1	158.669	0.0371
15	1	159.201	0.0365
15.5	1	159.444	0.0362
16	1	159.486	0.0361
16.5	1	159.538	0.0361
17	1	159.648	0.0359
17.5	1	159.779	0.0358
18	1	159.9	0.0356
18.5	1	160.025	0.0354
19	1	160.195	0.0352
19.5	1	160.424	0.0349
20	1	160.703	0.0345
20.5	1	160.992	0.0341
