name = nl
year = 1997
yname = hgt
sex = male
sub = ma
distribution = LMS
citation = Fredriks2004
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2004) Height, weight, body mass index and pubertal development references for children of Moroccan origin in The Netherlands. Acta Paediatrica, 93, 817-824.
[data]
x	L	M	S
0	1	51	0.0378
0.0192	1	51.72	0.0376
0.0383	1	52.45	0.0372
0.0575	1	53.23	0.037
0.0767	1	54	0.0367
0.0958	1	54.78	0.0365
0.115	1	55.54	0.0363
0.1342	1	56.3	0.036
0.1533	1	57.05	0.0358
0.1725	1	57.78	0.0356
0.1916	1	58.49	0.0354
0.23	1	59.87	0.0349
0.2683	1	61.17	0.0345
0.3066	1	62.4	0.0342
0.345	1	63.58	0.0338
0.3833	1	64.71	0.0335
0.4216	1	65.8	0.0333
0.46	1	66.85	0.033
0.4983	1	67.85	0.0329
0.5366	1	68.82	0.0328
0.6133	1	70.61	0.0327
0.6899	1	72.21	0.0327
0.7666	1	73.64	0.033
0.8433	1	74.92	0.0333
0.9199	1	76.07	0.0336
0.9966	1	77.11	0.0341
1.0732	1	78.07	0.0345
1.1499	1	78.97	0.035
1.2266	1	79.84	0.0355
1.5	1	82.73	0.037
2	1	87.67	0.0386
2.5	1	92.26	0.0394
3	1	96.28	0.0398
3.5	1	100.08	0.04
4	1	103.82	0.0403
4.5	1	107.2	0.0407
5	1	110.28	0.0411
5.5	1	113.25	0.0416
6	1	116.24	0.0421
6.5	1	119.23	0.0427
7	1	122.21	0.0431
7.5	1	125.15	0.0434
8	1	127.99	0.0435
8.5	1	130.71	0.0437
9	1	133.42	0.0439
9.5	1	136.13	0.0442
10	1	138.7	0.0446
10.5	1	141.05	0.0451
11	1	143.27	0.0458
11.5	1	145.6	0.0467
12	1	148.12	0.0477
12.5	1	150.87	0.0488
13	1	153.78	0.0495
13.5	1	156.89	0.0497
14	1	160.27	0.0488
14.5	1	163.69	0.047
15	1	166.78	0.0449
15.5	1	169.29	0.0429
16	1	171.24	0.0411
16.5	1	172.63	0.0398
17	1	173.49	0.0389
17.5	1	173.91	0.0385
18	1	174.02	0.0383
18.5	1	174.13	0.0382
19	1	174.34	0.038
19.5	1	174.55	0.0378
20	1	174.69	0.0376
