name = nl
year = 1997
yname = hgt
sex = male
sub = nl
distribution = LMS
citation = Fredriks2001
publication = Fredriks AM, van Buuren S, Burgmeijer RJF, Meulmeester JF, Beuker RJ, Brugman E, Roede MJ, Verloove-Vanhorick SP & Wit JM (2000) Continuing positive secular growth change in The Netherlands 1955-1997. Pediatric Research, 47, 316-323.
[data]
x	L	M	S
0	1	51.32	0.0405
0.0192	1	52.1	0.0404
0.0383	1	52.88	0.0403
0.0575	1	53.67	0.0401
0.0767	1	54.46	0.04
0.0958	1	55.26	0.0396
0.115	1	56.05	0.0394
0.1342	1	56.83	0.0394
0.1533	1	57.6	0.0392
0.1725	1	58.36	0.0391
0.1916	1	59.1	0.0387
0.23	1	60.51	0.0385
0.2683	1	61.82	0.0382
0.3066	1	63.03	0.0379
0.345	1	64.16	0.0376
0.3833	1	65.2	0.0374
0.4216	1	66.18	0.037
0.46	1	67.09	0.037
0.4983	1	67.94	0.0368
0.5366	1	68.75	0.0367
0.6133	1	70.25	0.0363
0.6899	1	71.63	0.0362
0.7666	1	72.93	0.0361
0.8433	1	74.17	0.036
0.9199	1	75.36	0.036
0.9966	1	76.5	0.0359
1.0732	1	77.6	0.0358
1.1499	1	78.66	0.0359
1.2266	1	79.69	0.0359
1.5	1	83.11	0.0361
2	1	88.85	0.0366
2.5	1	93.81	0.037
3	1	98.07	0.0374
3.5	1	102.04	0.0376
4	1	105.82	0.0381
4.5	1	109.5	0.0387
5	1	113.11	0.0394
5.5	1	116.65	0.0402
6	1	120.08	0.041
6.5	1	123.39	0.0417
7	1	126.63	0.0425
7.5	1	129.8	0.0431
8	1	132.83	0.0438
8.5	1	135.66	0.0444
9	1	138.3	0.0449
9.5	1	140.81	0.0454
10	1	143.24	0.046
10.5	1	145.69	0.0465
11	1	148.24	0.0472
11.5	1	150.99	0.0478
12	1	154	0.0484
12.5	1	157.34	0.0489
13	1	160.92	0.0491
13.5	1	164.59	0.0488
14	1	168.18	0.048
14.5	1	171.49	0.0468
15	1	174.39	0.0452
15.5	1	176.81	0.0438
16	1	178.74	0.0424
16.5	1	180.2	0.0413
17	1	181.25	0.0405
17.5	1	182.01	0.0399
18	1	182.55	0.0395
18.5	1	182.92	0.0393
19	1	183.18	0.039
19.5	1	183.39	0.0388
20	1	183.57	0.0387
20.5	1	183.76	0.0386
21	1	183.96	0.0384
