name = nl
year = 1997
yname = hgt
sex = male
sub = tu
distribution = LMS
citation = Fredriks2003
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2003). Height, weight, body mass index and pubertal development reference values for children of Turkish origin in the Netherlands. European Journal of Pediatrics, 162(11), 788-793.
[data]
x	L	M	S
0	1	51.5	0.0388
0.0192	1	52.25	0.0385
0.0383	1	53.01	0.0382
0.0575	1	53.76	0.0379
0.0767	1	54.5	0.0376
0.0958	1	55.24	0.0373
0.115	1	55.99	0.037
0.1342	1	56.73	0.0367
0.1533	1	57.46	0.0364
0.1725	1	58.2	0.0361
0.1916	1	58.92	0.0358
0.23	1	60.33	0.0352
0.2683	1	61.68	0.0346
0.3066	1	62.97	0.034
0.345	1	64.2	0.0335
0.3833	1	65.36	0.0331
0.4216	1	66.46	0.0327
0.46	1	67.5	0.0323
0.4983	1	68.46	0.0321
0.5366	1	69.36	0.0319
0.6133	1	70.98	0.0317
0.6899	1	72.43	0.0318
0.7666	1	73.76	0.032
0.8433	1	74.99	0.0324
0.9199	1	76.16	0.0328
0.9966	1	77.27	0.0332
1.0732	1	78.32	0.0337
1.1499	1	79.32	0.0342
1.2266	1	80.26	0.0346
1.5	1	83.26	0.0358
2	1	88.04	0.0369
2.5	1	92.68	0.0373
3	1	97.12	0.0375
3.5	1	101.09	0.0381
4	1	104.77	0.0389
4.5	1	108.22	0.0398
5	1	111.51	0.0405
5.5	1	114.66	0.0409
6	1	117.56	0.0408
6.5	1	120.26	0.0404
7	1	122.78	0.0398
7.5	1	125.31	0.0393
8	1	128.11	0.0389
8.5	1	131.15	0.039
9	1	134.06	0.0395
9.5	1	136.59	0.0405
10	1	138.89	0.0418
10.5	1	141.11	0.0433
11	1	143.42	0.0451
11.5	1	146	0.0469
12	1	149.06	0.0486
12.5	1	152.6	0.0499
13	1	156.34	0.0501
13.5	1	160.06	0.0492
14	1	163.36	0.0473
14.5	1	165.91	0.0449
15	1	167.88	0.0425
15.5	1	169.48	0.0403
16	1	170.77	0.0383
16.5	1	171.78	0.0367
17	1	172.52	0.0355
17.5	1	173.04	0.0347
18	1	173.32	0.0343
18.5	1	173.39	0.0341
19	1	173.46	0.034
19.5	1	173.65	0.0337
20	1	173.96	0.0332
