name = nl
year = 1997
yname = hip
sex = female
distribution = LMS
citation = Fredriks2005a; Fredriks2005b
publication = Fredriks AM, van Buuren S, Fekkes M, Verloove-Vanhorick SP & Wit JM (2005) Are age references for waist circumference, hip circumference and waist-hip ratio in Dutch children useful in clinical practice? European Journal of Pediatrics, 164, 216-222; Fredriks AM, van Buuren S, van Heel WJM, Dijkman-Neerincx RHM, Verloove-Vanhorick SP & Wit JM (2005) Nationwide age references for sitting height, leg length, and sitting height/height ratio, and their diagnostic value for disproportionate growth disorders. Arch. Dis. Child., 90, 807-812.
[data]
x	L	M	S
0	-0.38	30.1321	0.0868
0.25	-0.3992	36.8372	0.0826
0.5	-0.4058	41.1225	0.0788
0.75	-0.4062	43.0856	0.0757
1	-0.4104	44.3661	0.0733
1.25	-0.4184	45.4536	0.0715
1.5	-0.4283	46.4879	0.0704
1.75	-0.439	47.4692	0.0696
2	-0.4504	48.4004	0.0692
2.25	-0.4624	49.3121	0.0691
2.5	-0.4752	50.2241	0.0691
2.75	-0.4889	51.1224	0.0694
3	-0.5033	51.9881	0.0699
3.25	-0.5181	52.8034	0.0706
3.5	-0.5327	53.5506	0.0714
3.75	-0.547	54.2204	0.0722
4	-0.5608	54.823	0.0731
4.25	-0.5746	55.3871	0.074
4.5	-0.5883	55.9296	0.0749
4.75	-0.6023	56.4685	0.0759
5	-0.6167	57.0217	0.0769
5.25	-0.632	57.6077	0.0781
5.5	-0.648	58.2379	0.0793
5.75	-0.6647	58.9094	0.0806
6	-0.6814	59.6064	0.0819
6.25	-0.6976	60.3078	0.0833
6.5	-0.7129	61.0078	0.0846
6.75	-0.7273	61.7126	0.0859
7	-0.7409	62.4342	0.0872
7.25	-0.7533	63.1722	0.0885
7.5	-0.7643	63.9286	0.0898
7.75	-0.7737	64.7129	0.0911
8	-0.7811	65.5278	0.0923
8.25	-0.786	66.367	0.0935
8.5	-0.7879	67.2229	0.0946
8.75	-0.7862	68.0903	0.0956
9	-0.7806	68.9573	0.0966
9.25	-0.7707	69.8084	0.0974
9.5	-0.7564	70.6256	0.0982
9.75	-0.7381	71.3993	0.0988
10	-0.716	72.1421	0.0994
10.25	-0.6899	72.8777	0.0999
10.5	-0.6592	73.6229	0.1003
10.75	-0.6234	74.3951	0.1006
11	-0.5817	75.205	0.1008
11.25	-0.5336	76.0612	0.1009
11.5	-0.4786	76.9735	0.1008
11.75	-0.4163	77.9523	0.1006
12	-0.3472	78.9943	0.1003
12.25	-0.2729	80.0786	0.0998
12.5	-0.1959	81.1649	0.0992
12.75	-0.1189	82.2132	0.0984
13	-0.0437	83.2082	0.0977
13.25	0.0276	84.1433	0.0969
13.5	0.094	85.0169	0.0961
13.75	0.1549	85.8403	0.0953
14	0.2098	86.6097	0.0946
14.25	0.2581	87.3075	0.0939
14.5	0.2996	87.9319	0.0933
14.75	0.335	88.4892	0.0928
15	0.3649	88.9873	0.0924
15.25	0.3904	89.4384	0.092
15.5	0.4125	89.8546	0.0916
15.75	0.4317	90.2409	0.0913
16	0.4486	90.5994	0.091
16.25	0.4636	90.9354	0.0907
16.5	0.4772	91.2531	0.0905
16.75	0.4897	91.5589	0.0903
17	0.5017	91.8585	0.09
17.25	0.5132	92.1571	0.0898
17.5	0.5244	92.4518	0.0896
17.75	0.5351	92.7397	0.0894
18	0.5453	93.0145	0.0892
18.25	0.5545	93.2652	0.089
18.5	0.5624	93.4794	0.0889
18.75	0.5685	93.6449	0.0887
19	0.5726	93.7555	0.0886
19.25	0.5749	93.8173	0.0886
19.5	0.5756	93.835	0.0886
19.75	0.5766	93.8616	0.0886
20	0.5791	93.9302	0.0885
20.25	0.5832	94.039	0.0884
20.5	0.5885	94.1803	0.0883
20.75	0.5946	94.3432	0.0882
21	0.6011	94.5179	0.0881
