name = nl
year = 1997
yname = hip
sex = male
distribution = LMS
citation = Fredriks2005a; Fredriks2005b
publication = Fredriks AM, van Buuren S, Fekkes M, Verloove-Vanhorick SP & Wit JM (2005) Are age references for waist circumference, hip circumference and waist-hip ratio in Dutch children useful in clinical practice? European Journal of Pediatrics, 164, 216-222; Fredriks AM, van Buuren S, van Heel WJM, Dijkman-Neerincx RHM, Verloove-Vanhorick SP & Wit JM (2005) Nationwide age references for sitting height, leg length, and sitting height/height ratio, and their diagnostic value for disproportionate growth disorders. Arch. Dis. Child., 90, 807-812.
[data]
x	L	M	S
0	0.2037	30.9979	0.088
0.25	0.031	37.2577	0.0821
0.5	-0.1253	41.3632	0.077
0.75	-0.2601	43.4303	0.0729
1	-0.3765	44.7415	0.0697
1.25	-0.4745	45.8623	0.0675
1.5	-0.5548	46.8787	0.0661
1.75	-0.62	47.7545	0.0653
2	-0.675	48.5268	0.0648
2.25	-0.7241	49.2511	0.0645
2.5	-0.7709	49.9724	0.0644
2.75	-0.8166	50.6994	0.0644
3	-0.8612	51.4235	0.0645
3.25	-0.905	52.1407	0.0648
3.5	-0.9477	52.8431	0.0652
3.75	-0.9887	53.5184	0.0658
4	-1.0281	54.1724	0.0664
4.25	-1.0663	54.8179	0.0672
4.5	-1.1029	55.4522	0.068
4.75	-1.1377	56.0737	0.0689
5	-1.1705	56.6853	0.0699
5.25	-1.2012	57.2876	0.071
5.5	-1.2296	57.8788	0.0721
5.75	-1.2556	58.4592	0.0732
6	-1.2791	59.0299	0.0743
6.25	-1.3	59.595	0.0755
6.5	-1.3183	60.1617	0.0766
6.75	-1.3341	60.7394	0.0778
7	-1.3471	61.3392	0.0789
7.25	-1.3571	61.9746	0.08
7.5	-1.3634	62.66	0.0811
7.75	-1.3653	63.4017	0.0821
8	-1.3618	64.1904	0.0829
8.25	-1.3525	65.0062	0.0837
8.5	-1.3371	65.8303	0.0843
8.75	-1.3158	66.6457	0.0847
9	-1.2889	67.4414	0.0851
9.25	-1.2569	68.2163	0.0853
9.5	-1.2199	68.9747	0.0855
9.75	-1.1783	69.716	0.0856
10	-1.1323	70.4384	0.0857
10.25	-1.0822	71.1452	0.0858
10.5	-1.0281	71.8432	0.0859
10.75	-0.9699	72.5449	0.0861
11	-0.9072	73.2618	0.0863
11.25	-0.8403	73.9917	0.0865
11.5	-0.7697	74.7293	0.0867
11.75	-0.6956	75.4854	0.0869
12	-0.618	76.2803	0.0871
12.25	-0.5378	77.1206	0.0872
12.5	-0.4566	77.9989	0.0872
12.75	-0.376	78.9049	0.0872
13	-0.2977	79.8331	0.087
13.25	-0.223	80.7812	0.0867
13.5	-0.1532	81.7461	0.0862
13.75	-0.0896	82.7171	0.0854
14	-0.0332	83.6802	0.0845
14.25	0.0153	84.6191	0.0833
14.5	0.0558	85.515	0.082
14.75	0.089	86.3528	0.0807
15	0.1161	87.1308	0.0794
15.25	0.1382	87.8496	0.0782
15.5	0.1565	88.508	0.0772
15.75	0.1718	89.1075	0.0762
16	0.1848	89.6492	0.0754
16.25	0.1959	90.1319	0.0747
16.5	0.2053	90.5561	0.0741
16.75	0.2134	90.9274	0.0736
17	0.2203	91.2563	0.0732
17.25	0.2265	91.5533	0.0728
17.5	0.232	91.826	0.0725
17.75	0.2371	92.0795	0.0721
18	0.2418	92.3186	0.0718
18.25	0.2462	92.5456	0.0716
18.5	0.2503	92.7567	0.0713
18.75	0.2541	92.9515	0.0711
19	0.2574	93.1259	0.0709
19.25	0.2604	93.2778	0.0707
19.5	0.263	93.4122	0.0705
19.75	0.2653	93.5355	0.0704
20	0.2675	93.6494	0.0702
20.25	0.2696	93.7568	0.0701
20.5	0.2716	93.8611	0.0699
20.75	0.2735	93.963	0.0698
21	0.2754	94.0613	0.0697
