name = nl
year = 1997
yname = lgl
sex = female
distribution = LMS
citation = Fredriks2005a; Fredriks2005b
publication = Fredriks AM, van Buuren S, Fekkes M, Verloove-Vanhorick SP & Wit JM (2005) Are age references for waist circumference, hip circumference and waist-hip ratio in Dutch children useful in clinical practice? European Journal of Pediatrics, 164, 216-222; Fredriks AM, van Buuren S, van Heel WJM, Dijkman-Neerincx RHM, Verloove-Vanhorick SP & Wit JM (2005) Nationwide age references for sitting height, leg length, and sitting height/height ratio, and their diagnostic value for disproportionate growth disorders. Arch. Dis. Child., 90, 807-812.
[data]
x	L	M	S
0	0.7174	16.3139	0.0813
0.25	0.7075	18.8952	0.0793
0.5	0.6734	21.5185	0.0773
0.75	0.6496	23.9995	0.0755
1	0.6407	26.3644	0.0738
1.25	0.6464	28.5986	0.0724
1.5	0.664	30.7718	0.0711
1.75	0.6901	32.9919	0.07
2	0.7188	35.2611	0.069
2.25	0.7455	37.328	0.0681
2.5	0.7663	39.1334	0.0673
2.75	0.7796	40.7194	0.0665
3	0.7854	42.1448	0.0658
3.25	0.7854	43.4501	0.0651
3.5	0.7809	44.6509	0.0645
3.75	0.7733	45.762	0.0639
4	0.7637	46.8009	0.0634
4.25	0.7523	47.7945	0.0629
4.5	0.7397	48.7593	0.0624
4.75	0.7264	49.7082	0.0619
5	0.7128	50.6499	0.0615
5.25	0.6991	51.5929	0.0611
5.5	0.6856	52.5413	0.0607
5.75	0.6726	53.4943	0.0603
6	0.6604	54.4516	0.06
6.25	0.6493	55.414	0.0597
6.5	0.6395	56.3799	0.0594
6.75	0.6313	57.3459	0.0591
7	0.6251	58.309	0.0589
7.25	0.621	59.2628	0.0587
7.5	0.6193	60.2014	0.0585
7.75	0.6202	61.1183	0.0583
8	0.6237	62.0111	0.0582
8.25	0.6297	62.8818	0.058
8.5	0.6381	63.7359	0.0579
8.75	0.649	64.5772	0.0578
9	0.6622	65.4091	0.0577
9.25	0.6778	66.2337	0.0576
9.5	0.6957	67.0501	0.0575
9.75	0.7158	67.8575	0.0574
10	0.7382	68.6585	0.0573
10.25	0.7627	69.4627	0.0572
10.5	0.7895	70.2808	0.0571
10.75	0.8185	71.1191	0.057
11	0.8495	71.969	0.0569
11.25	0.882	72.8176	0.0568
11.5	0.9152	73.6531	0.0567
11.75	0.9488	74.465	0.0565
12	0.982	75.247	0.0564
12.25	1.0144	75.9924	0.0563
12.5	1.0453	76.6903	0.0561
12.75	1.0742	77.3278	0.056
13	1.1005	77.8964	0.0559
13.25	1.1238	78.3916	0.0558
13.5	1.144	78.8154	0.0557
13.75	1.1612	79.1718	0.0556
14	1.1753	79.4636	0.0555
14.25	1.1866	79.6969	0.0555
14.5	1.1957	79.8823	0.0554
14.75	1.203	80.0313	0.0554
15	1.2089	80.1525	0.0553
15.25	1.2139	80.2536	0.0553
15.5	1.2182	80.3425	0.0553
15.75	1.2221	80.4222	0.0553
16	1.2255	80.4912	0.0553
16.25	1.2283	80.5486	0.0553
16.5	1.2305	80.594	0.0552
16.75	1.2322	80.6287	0.0552
17	1.2336	80.6568	0.0552
17.25	1.2348	80.6822	0.0552
17.5	1.236	80.7066	0.0552
17.75	1.2371	80.7291	0.0552
18	1.2381	80.7489	0.0552
18.25	1.2389	80.7658	0.0552
18.5	1.2397	80.7816	0.0552
18.75	1.2406	80.8009	0.0552
19	1.2419	80.8266	0.0552
19.25	1.2434	80.8576	0.0552
19.5	1.2451	80.8911	0.0552
19.75	1.2467	80.9247	0.0552
20	1.2483	80.9562	0.0552
20.25	1.2496	80.9844	0.0551
20.5	1.2509	81.0095	0.0551
20.75	1.252	81.0334	0.0551
21	1.2532	81.0573	0.0551
