name = nl
year = 1997
yname = lgl
sex = male
distribution = LMS
citation = Fredriks2005a; Fredriks2005b
publication = Fredriks AM, van Buuren S, Fekkes M, Verloove-Vanhorick SP & Wit JM (2005) Are age references for waist circumference, hip circumference and waist-hip ratio in Dutch children useful in clinical practice? European Journal of Pediatrics, 164, 216-222; Fredriks AM, van Buuren S, van Heel WJM, Dijkman-Neerincx RHM, Verloove-Vanhorick SP & Wit JM (2005) Nationwide age references for sitting height, leg length, and sitting height/height ratio, and their diagnostic value for disproportionate growth disorders. Arch. Dis. Child., 90, 807-812.
[data]
x	L	M	S
0	1.1898	16.4296	0.0819
0.25	1.0605	19.3755	0.0801
0.5	0.9356	22.1365	0.0784
0.75	0.8236	24.6052	0.0767
1	0.7294	26.9223	0.0753
1.25	0.6555	29.1114	0.0739
1.5	0.6004	31.2722	0.0727
1.75	0.5614	33.5104	0.0716
2	0.5364	35.7106	0.0705
2.25	0.5219	37.6791	0.0695
2.5	0.5146	39.3952	0.0685
2.75	0.5123	40.9089	0.0676
3	0.5132	42.289	0.0668
3.25	0.5159	43.582	0.0661
3.5	0.5198	44.8074	0.0654
3.75	0.5248	45.9793	0.0648
4	0.5305	47.11	0.0642
4.25	0.5368	48.2009	0.0637
4.5	0.5436	49.257	0.0633
4.75	0.5508	50.2856	0.0628
5	0.5581	51.2915	0.0625
5.25	0.5656	52.2776	0.0621
5.5	0.5731	53.2466	0.0618
5.75	0.5808	54.2016	0.0615
6	0.5883	55.143	0.0613
6.25	0.5958	56.0714	0.061
6.5	0.603	56.9931	0.0608
6.75	0.61	57.9117	0.0606
7	0.6169	58.8262	0.0604
7.25	0.6237	59.735	0.0602
7.5	0.6304	60.637	0.0601
7.75	0.6371	61.5288	0.0599
8	0.6439	62.4048	0.0598
8.25	0.6508	63.262	0.0597
8.5	0.6577	64.0987	0.0596
8.75	0.6648	64.9172	0.0595
9	0.672	65.7203	0.0594
9.25	0.6794	66.5103	0.0594
9.5	0.6871	67.2886	0.0593
9.75	0.6951	68.0583	0.0593
10	0.7034	68.825	0.0593
10.25	0.7122	69.5927	0.0593
10.5	0.7215	70.3666	0.0593
10.75	0.7312	71.1505	0.0592
11	0.7416	71.9472	0.0592
11.25	0.7528	72.7583	0.0592
11.5	0.7646	73.5867	0.0592
11.75	0.7772	74.4411	0.0592
12	0.7907	75.3316	0.0591
12.25	0.8049	76.2617	0.059
12.5	0.8198	77.2233	0.059
12.75	0.8351	78.201	0.0589
13	0.8505	79.1797	0.0587
13.25	0.8659	80.1456	0.0586
13.5	0.881	81.0854	0.0584
13.75	0.8957	81.9852	0.0583
14	0.9098	82.8318	0.0581
14.25	0.923	83.6178	0.0579
14.5	0.9353	84.3438	0.0578
14.75	0.9468	85.0103	0.0576
15	0.9573	85.6181	0.0575
15.25	0.9668	86.1682	0.0573
15.5	0.9754	86.6605	0.0572
15.75	0.983	87.0964	0.0571
16	0.9896	87.4762	0.057
16.25	0.9953	87.7989	0.0569
16.5	1	88.0666	0.0568
16.75	1.0038	88.2836	0.0568
17	1.0069	88.4558	0.0567
17.25	1.0092	88.5907	0.0567
17.5	1.011	88.6936	0.0567
17.75	1.0124	88.7688	0.0567
18	1.0133	88.821	0.0566
18.25	1.0139	88.8551	0.0566
18.5	1.0142	88.8742	0.0566
18.75	1.0144	88.8822	0.0566
19	1.0144	88.8848	0.0566
19.25	1.0145	88.8893	0.0566
19.5	1.0147	88.9009	0.0566
19.75	1.0151	88.9224	0.0566
20	1.0156	88.9543	0.0566
20.25	1.0164	88.9949	0.0566
20.5	1.0172	89.0418	0.0566
20.75	1.0181	89.0925	0.0566
21	1.019	89.144	0.0566
