name = nl
year = 1997
yname = shh
sex = female
distribution = LMS
citation = Fredriks2005a; Fredriks2005b
publication = Fredriks AM, van Buuren S, Fekkes M, Verloove-Vanhorick SP & Wit JM (2005) Are age references for waist circumference, hip circumference and waist-hip ratio in Dutch children useful in clinical practice? European Journal of Pediatrics, 164, 216-222; Fredriks AM, van Buuren S, van Heel WJM, Dijkman-Neerincx RHM, Verloove-Vanhorick SP & Wit JM (2005) Nationwide age references for sitting height, leg length, and sitting height/height ratio, and their diagnostic value for disproportionate growth disorders. Arch. Dis. Child., 90, 807-812.
[data]
x	L	M	S
0	4.723	0.6926	0.036
0.25	4.723	0.6827	0.0363
0.5	4.723	0.6716	0.0362
0.75	4.723	0.6602	0.0362
1	4.723	0.6484	0.0361
1.25	4.723	0.6364	0.036
1.5	4.723	0.6244	0.0359
1.75	4.723	0.6125	0.0358
2	4.723	0.6013	0.0356
2.25	4.723	0.591	0.0355
2.5	4.723	0.582	0.0353
2.75	4.723	0.5743	0.0351
3	4.723	0.5679	0.0348
3.25	4.723	0.5627	0.0345
3.5	4.723	0.5585	0.0342
3.75	4.723	0.5552	0.0339
4	4.723	0.5526	0.0336
4.25	4.723	0.5506	0.0333
4.5	4.723	0.5489	0.0329
4.75	4.723	0.5475	0.0325
5	4.723	0.5462	0.0322
5.25	4.723	0.545	0.0318
5.5	4.723	0.5438	0.0314
5.75	4.723	0.5426	0.0311
6	4.723	0.5413	0.0307
6.25	4.723	0.54	0.0304
6.5	4.723	0.5385	0.03
6.75	4.723	0.5371	0.0297
7	4.723	0.5357	0.0294
7.25	4.723	0.5344	0.0291
7.5	4.723	0.5331	0.0288
7.75	4.723	0.5318	0.0285
8	4.723	0.5306	0.0283
8.25	4.723	0.5294	0.0281
8.5	4.723	0.5284	0.0279
8.75	4.723	0.5273	0.0277
9	4.723	0.5263	0.0275
9.25	4.723	0.5254	0.0274
9.5	4.723	0.5244	0.0272
9.75	4.723	0.5234	0.0271
10	4.723	0.5224	0.0271
10.25	4.723	0.5215	0.027
10.5	4.723	0.5206	0.0269
10.75	4.723	0.5196	0.0269
11	4.723	0.5187	0.0269
11.25	4.723	0.5179	0.0269
11.5	4.723	0.5172	0.0269
11.75	4.723	0.5166	0.0269
12	4.723	0.5161	0.0269
12.25	4.723	0.5159	0.0269
12.5	4.723	0.5157	0.0269
12.75	4.723	0.5157	0.0269
13	4.723	0.5159	0.0269
13.25	4.723	0.5163	0.0269
13.5	4.723	0.5169	0.027
13.75	4.723	0.5176	0.027
14	4.723	0.5184	0.027
14.25	4.723	0.5193	0.027
14.5	4.723	0.5201	0.027
14.75	4.723	0.521	0.027
15	4.723	0.5218	0.0269
15.25	4.723	0.5226	0.0269
15.5	4.723	0.5232	0.0269
15.75	4.723	0.5236	0.0269
16	4.723	0.5239	0.0269
16.25	4.723	0.5241	0.0269
16.5	4.723	0.5242	0.0269
16.75	4.723	0.5243	0.0269
17	4.723	0.5244	0.0269
17.25	4.723	0.5244	0.0269
17.5	4.723	0.5244	0.0268
17.75	4.723	0.5244	0.0268
18	4.723	0.5244	0.0268
18.25	4.723	0.5245	0.0268
18.5	4.723	0.5247	0.0268
18.75	4.723	0.525	0.0268
19	4.723	0.5251	0.0268
19.25	4.723	0.5252	0.0268
19.5	4.723	0.5253	0.0268
19.75	4.723	0.5254	0.0267
20	4.723	0.5256	0.0267
20.25	4.723	0.5257	0.0267
20.5	4.723	0.5259	0.0267
20.75	4.723	0.5261	0.0267
21	4.723	0.5263	0.0267
