name = nl
year = 1997
yname = shh
sex = male
distribution = LMS
citation = Fredriks2005a; Fredriks2005b
publication = Fredriks AM, van Buuren S, Fekkes M, Verloove-Vanhorick SP & Wit JM (2005) Are age references for waist circumference, hip circumference and waist-hip ratio in Dutch children useful in clinical practice? European Journal of Pediatrics, 164, 216-222; Fredriks AM, van Buuren S, van Heel WJM, Dijkman-Neerincx RHM, Verloove-Vanhorick SP & Wit JM (2005) Nationwide age references for sitting height, leg length, and sitting height/height ratio, and their diagnostic value for disproportionate growth disorders. Arch. Dis. Child., 90, 807-812.
[data]
x	L	M	S
0	5.2236	0.692	0.0335
0.25	5.2236	0.6824	0.0337
0.5	5.2236	0.6711	0.0337
0.75	5.2236	0.6596	0.0337
1	5.2236	0.6481	0.0337
1.25	5.2236	0.6365	0.0337
1.5	5.2236	0.6252	0.0337
1.75	5.2236	0.6141	0.0337
2	5.2236	0.6036	0.0337
2.25	5.2236	0.5941	0.0336
2.5	5.2236	0.5856	0.0335
2.75	5.2236	0.5782	0.0334
3	5.2236	0.5719	0.0333
3.25	5.2236	0.5665	0.0331
3.5	5.2236	0.562	0.0329
3.75	5.2236	0.5581	0.0327
4	5.2236	0.5548	0.0325
4.25	5.2236	0.552	0.0323
4.5	5.2236	0.5496	0.032
4.75	5.2236	0.5476	0.0317
5	5.2236	0.5459	0.0314
5.25	5.2236	0.5444	0.0311
5.5	5.2236	0.543	0.0308
5.75	5.2236	0.5418	0.0305
6	5.2236	0.5406	0.0302
6.25	5.2236	0.5394	0.0298
6.5	5.2236	0.5383	0.0295
6.75	5.2236	0.5371	0.0292
7	5.2236	0.5359	0.0289
7.25	5.2236	0.5347	0.0286
7.5	5.2236	0.5334	0.0283
7.75	5.2236	0.5321	0.028
8	5.2236	0.5308	0.0277
8.25	5.2236	0.5295	0.0274
8.5	5.2236	0.5282	0.0271
8.75	5.2236	0.5268	0.0269
9	5.2236	0.5255	0.0267
9.25	5.2236	0.5241	0.0264
9.5	5.2236	0.5229	0.0263
9.75	5.2236	0.5216	0.0261
10	5.2236	0.5204	0.0259
10.25	5.2236	0.5192	0.0258
10.5	5.2236	0.5181	0.0256
10.75	5.2236	0.517	0.0255
11	5.2236	0.516	0.0254
11.25	5.2236	0.5151	0.0254
11.5	5.2236	0.5143	0.0253
11.75	5.2236	0.5134	0.0253
12	5.2236	0.5126	0.0252
12.25	5.2236	0.5117	0.0252
12.5	5.2236	0.5107	0.0252
12.75	5.2236	0.5098	0.0253
13	5.2236	0.509	0.0253
13.25	5.2236	0.5084	0.0254
13.5	5.2236	0.5079	0.0254
13.75	5.2236	0.5077	0.0255
14	5.2236	0.5077	0.0256
14.25	5.2236	0.508	0.0257
14.5	5.2236	0.5085	0.0258
14.75	5.2236	0.5091	0.0259
15	5.2236	0.5097	0.0261
15.25	5.2236	0.5103	0.0262
15.5	5.2236	0.5109	0.0264
15.75	5.2236	0.5114	0.0265
16	5.2236	0.5118	0.0267
16.25	5.2236	0.5122	0.0268
16.5	5.2236	0.5125	0.027
16.75	5.2236	0.5129	0.0271
17	5.2236	0.5133	0.0273
17.25	5.2236	0.5136	0.0275
17.5	5.2236	0.5141	0.0276
17.75	5.2236	0.5145	0.0278
18	5.2236	0.5149	0.0279
18.25	5.2236	0.5152	0.028
18.5	5.2236	0.5156	0.0282
18.75	5.2236	0.516	0.0283
19	5.2236	0.5164	0.0284
19.25	5.2236	0.5166	0.0286
19.5	5.2236	0.5166	0.0287
19.75	5.2236	0.5164	0.0288
20	5.2236	0.516	0.029
20.25	5.2236	0.5154	0.0291
20.5	5.2236	0.5147	0.0292
20.75	5.2236	0.5138	0.0293
21	5.2236	0.513	0.0295
