name = nl
year = 1997
yname = sit
sex = female
distribution = LMS
citation = Fredriks2005a; Fredriks2005b
publication = Fredriks AM, van Buuren S, Fekkes M, Verloove-Vanhorick SP & Wit JM (2005) Are age references for waist circumference, hip circumference and waist-hip ratio in Dutch children useful in clinical practice? European Journal of Pediatrics, 164, 216-222; Fredriks AM, van Buuren S, van Heel WJM, Dijkman-Neerincx RHM, Verloove-Vanhorick SP & Wit JM (2005) Nationwide age references for sitting height, leg length, and sitting height/height ratio, and their diagnostic value for disproportionate growth disorders. Arch. Dis. Child., 90, 807-812.
[data]
x	L	M	S
0	1.5876	34.7481	0.0456
0.25	1.5104	40.6686	0.0454
0.5	1.4445	44.7418	0.0454
0.75	1.3861	46.9617	0.0456
1	1.3363	48.7186	0.0461
1.25	1.2966	50.1839	0.0466
1.5	1.2678	51.204	0.0471
1.75	1.2481	51.9004	0.0474
2	1.2341	52.4276	0.0477
2.25	1.2229	52.9155	0.0479
2.5	1.2128	53.4284	0.0481
2.75	1.2033	53.9908	0.0483
3	1.1943	54.6152	0.0485
3.25	1.1857	55.3136	0.0487
3.5	1.1777	56.0772	0.0489
3.75	1.1704	56.8986	0.0491
4	1.1638	57.7615	0.0493
4.25	1.1581	58.631	0.0494
4.5	1.1534	59.4891	0.0496
4.75	1.1497	60.3326	0.0497
5	1.1469	61.1554	0.0497
5.25	1.145	61.9541	0.0498
5.5	1.144	62.7193	0.0498
5.75	1.1437	63.4482	0.0498
6	1.1441	64.146	0.0499
6.25	1.1452	64.8207	0.0499
6.5	1.147	65.4801	0.0499
6.75	1.1495	66.1377	0.0498
7	1.1529	66.8099	0.0498
7.25	1.1571	67.4979	0.0498
7.5	1.1623000000000001	68.1921	0.0498
7.75	1.1685	68.8841	0.0497
8	1.1758	69.5728	0.0497
8.25	1.1843	70.258	0.0496
8.5	1.1941	70.9414	0.0496
8.75	1.2051	71.6192	0.0495
9	1.2174	72.2868	0.0495
9.25	1.231	72.9403	0.0494
9.5	1.2456	73.5685	0.0493
9.75	1.261	74.1613	0.0492
10	1.2772	74.7303	0.0491
10.25	1.2945	75.2979	0.049
10.5	1.3132	75.8841	0.0489
10.75	1.3339	76.5104	0.0487
11	1.3567	77.178	0.0485
11.25	1.3819	77.8795	0.0482
11.5	1.4093	78.6025	0.0479
11.75	1.4389	79.3405	0.0476
12	1.4707	80.0996	0.0472
12.25	1.5045	80.8846	0.0467
12.5	1.5396	81.6688	0.0462
12.75	1.5749	82.4185	0.0456
13	1.6098	83.1263	0.045
13.25	1.6438	83.795	0.0444
13.5	1.6764	84.4177	0.0438
13.75	1.7069	84.9877	0.0432
14	1.7349	85.4984	0.0427
14.25	1.7603	85.9516	0.0422
14.5	1.7831	86.355	0.0417
14.75	1.8039	86.7206	0.0413
15	1.8232	87.0597	0.0409
15.25	1.841	87.3749	0.0405
15.5	1.8572	87.6614	0.0402
15.75	1.8712	87.9085	0.0399
16	1.8825	88.1083	0.0397
16.25	1.8914	88.2641	0.0395
16.5	1.8982	88.3837	0.0394
16.75	1.9034	88.4752	0.0393
17	1.9074	88.5443	0.0392
17.25	1.9102	88.5933	0.0391
17.5	1.9123000000000001	88.6303	0.0391
17.75	1.9143	88.666	0.039
18	1.9167	88.7069	0.039
18.25	1.9196	88.7585	0.0389
18.5	1.9234	88.8246	0.0388
18.75	1.928	88.9054	0.0388
19	1.9331	88.9942	0.0386
19.25	1.9383	89.0859	0.0385
19.5	1.9435	89.1772	0.0384
19.75	1.9485	89.2653	0.0383
20	1.9532	89.3467	0.0382
20.25	1.9575	89.4216	0.0381
20.5	1.9615	89.4922	0.0381
20.75	1.9654	89.5603	0.038
21	1.9692	89.6274	0.0379
