name = nl
year = 1997
yname = wfh
sex = female
sub = maa
distribution = LMS
citation = Fredriks2004
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2004) Height, weight, body mass index and pubertal development references for children of Moroccan origin in The Netherlands. Acta Paediatrica, 93, 817-824.
[data]
x	L	M	S
50	0.713	3.5363	0.096
51	0.6589	3.753	0.096
52	0.6049	3.9711	0.0959
53	0.5509	4.1912	0.0959
54	0.497	4.4138	0.0958
55	0.4432	4.6393	0.0958
56	0.3896	4.8674	0.0957
57	0.3364	5.098	0.0956
58	0.2835	5.3321	0.0954
59	0.2309	5.5703	0.0953
60	0.1785	5.8134	0.0952
61	0.1263	6.0621	0.095
62	0.0744	6.3162	0.0949
63	0.0226	6.5756	0.0947
64	-0.0288	6.8399	0.0946
65	-0.0801	7.1089	0.0944
66	-0.1311	7.3821	0.0943
67	-0.1819	7.6588	0.0942
68	-0.2325	7.9378	0.0941
69	-0.283	8.2178	0.094
70	-0.3333	8.4975	0.0939
71	-0.3834	8.7757	0.0938
72	-0.4333	9.0512	0.0938
73	-0.4831	9.3231	0.0938
74	-0.5326	9.5906	0.0938
75	-0.582	9.853	0.0939
76	-0.6311	10.1102	0.0939
77	-0.68	10.362	0.094
78	-0.7287	10.6087	0.0941
79	-0.7772	10.8506	0.0943
80	-0.8256	11.0899	0.0944
81	-0.8738	11.3262	0.0946
82	-0.922	11.561	0.0949
83	-0.9702	11.7947	0.0951
84	-1.0183	12.0279	0.0954
85	-1.0664	12.2613	0.0957
86	-1.1145	12.4956	0.0961
87	-1.1626	12.7318	0.0964
88	-1.2108	12.9706	0.0968
89	-1.2591	13.2125	0.0972
90	-1.3074	13.4577	0.0977
91	-1.3558	13.7063	0.0981
92	-1.4041	13.958	0.0986
93	-1.452	14.2126	0.0991
94	-1.4995	14.4702	0.0996
95	-1.5462	14.731	0.1001
96	-1.592	14.9953	0.1007
97	-1.6367	15.2636	0.1012
98	-1.68	15.5363	0.1018
99	-1.7219	15.8138	0.1024
100	-1.762	16.0964	0.103
101	-1.8001	16.3845	0.1037
102	-1.8362	16.6782	0.1044
103	-1.87	16.9776	0.1051
104	-1.9013	17.2826	0.1058
105	-1.9301	17.5934	0.1066
106	-1.9563	17.9101	0.1073
107	-1.98	18.233	0.1081
108	-2.001	18.5624	0.109
109	-2.0196	18.8985	0.1098
110	-2.0356	19.2423	0.1107
111	-2.0491	19.5936	0.1116
112	-2.0601	19.9539	0.1125
113	-2.0687	20.3224	0.1135
114	-2.0749	20.6996	0.1145
115	-2.0786	21.0864	0.1155
116	-2.0799	21.4827	0.1166
117	-2.0789	21.889	0.1177
118	-2.0755	22.3054	0.1189
119	-2.0697	22.7325	0.12
120	-2.0617	23.17	0.1212
121	-2.0513	23.6184	0.1224
122	-2.0387	24.0778	0.1237
123	-2.0239	24.5486	0.1249
124	-2.007	25.031	0.1262
125	-1.988	25.5255	0.1275
126	-1.9671	26.0325	0.1287
127	-1.9446	26.5523	0.13
128	-1.9205	27.0857	0.1313
129	-1.895	27.6325	0.1325
130	-1.8681	28.1938	0.1338
131	-1.8399	28.7699	0.1351
132	-1.8104	29.3614	0.1363
133	-1.7796	29.9687	0.1376
134	-1.7475	30.5923	0.1388
135	-1.7141	31.2322	0.1401
136	-1.6797	31.8888	0.1413
137	-1.6442	32.5619	0.1425
138	-1.6078	33.2516	0.1437
139	-1.5707	33.9573	0.1449
140	-1.533	34.6791	0.1461
141	-1.4948	35.4166	0.1472
142	-1.4561	36.1692	0.1483
143	-1.4171	36.9364	0.1493
144	-1.3779	37.7176	0.1503
145	-1.3386	38.5117	0.1512
146	-1.2993	39.3181	0.1521
147	-1.2603	40.1357	0.1529
148	-1.2217	40.9634	0.1537
149	-1.1836	41.8003	0.1545
150	-1.1461	42.6453	0.1552
151	-1.1093	43.4978	0.1559
152	-1.0733	44.3568	0.1565
153	-1.0382	45.2217	0.1571
154	-1.0042	46.0918	0.1577
155	-0.9713	46.9663	0.1582
156	-0.9395	47.8447	0.1588
157	-0.9087	48.7263	0.1593
158	-0.8788	49.6108	0.1598
159	-0.8498	50.4976	0.1604
160	-0.8216	51.3864	0.1609
161	-0.7942	52.2766	0.1614
162	-0.7676	53.168	0.1619
163	-0.7418	54.0601	0.1625
164	-0.7169	54.9527	0.163
165	-0.6928	55.8456	0.1634
166	-0.6694	56.7387	0.1639
167	-0.6467	57.6318	0.1644
168	-0.6244	58.525	0.1649
169	-0.6026	59.4181	0.1654
170	-0.581	60.3113	0.1658
171	-0.5596	61.2044	0.1663
172	-0.5382	62.0975	0.1668
173	-0.5168	62.9906	0.1672
174	-0.4955	63.8836	0.1677
175	-0.4742	64.7767	0.1681
