name = nl
year = 1997
yname = wfh
sex = female
sub = nla
distribution = LMS
citation = Fredriks2001
publication = Fredriks AM, van Buuren S, Burgmeijer RJF, Meulmeester JF, Beuker RJ, Brugman E, Roede MJ, Verloove-Vanhorick SP & Wit JM (2000) Continuing positive secular growth change in The Netherlands 1955-1997. Pediatric Research, 47, 3NLA323.
[data]
x	L	M	S
50	-0.156	3.328	0.085
51	-0.173	3.548	0.085
52	-0.189	3.768	0.085
53	-0.205	3.991	0.085
54	-0.222	4.217	0.085
55	-0.238	4.448	0.085
56	-0.256	4.683	0.085
57	-0.273	4.922	0.085
58	-0.291	5.166	0.085
59	-0.309	5.413	0.084
60	-0.327	5.665	0.084
61	-0.345	5.92	0.084
62	-0.364	6.179	0.084
63	-0.383	6.44	0.084
64	-0.401	6.702	0.084
65	-0.42	6.963	0.084
66	-0.439	7.223	0.084
67	-0.457	7.48	0.084
68	-0.476	7.734	0.084
69	-0.494	7.984	0.084
70	-0.511	8.23	0.084
71	-0.529	8.471	0.084
72	-0.546	8.71	0.084
73	-0.563	8.946	0.084
74	-0.58	9.179	0.084
75	-0.597	9.409	0.084
76	-0.613	9.638	0.084
77	-0.63	9.866	0.084
78	-0.646	10.092	0.084
79	-0.663	10.32	0.084
80	-0.679	10.548	0.084
81	-0.696	10.779	0.084
82	-0.713	11.012	0.084
83	-0.729	11.246	0.084
84	-0.746	11.483	0.084
85	-0.763	11.721	0.084
86	-0.78	11.96	0.084
87	-0.797	12.203	0.084
88	-0.815	12.448	0.084
89	-0.832	12.696	0.084
90	-0.85	12.948	0.084
91	-0.868	13.203	0.085
92	-0.885	13.462	0.085
93	-0.904	13.724	0.085
94	-0.922	13.99	0.085
95	-0.94	14.26	0.085
96	-0.959	14.532	0.085
97	-0.977	14.808	0.086
98	-0.996	15.087	0.086
99	-1.015	15.368	0.086
100	-1.033	15.653	0.087
101	-1.052	15.941	0.087
102	-1.071	16.231	0.087
103	-1.09	16.526	0.087
104	-1.11	16.823	0.088
105	-1.129	17.124	0.088
106	-1.148	17.428	0.089
107	-1.167	17.737	0.089
108	-1.186	18.049	0.09
109	-1.206	18.367	0.09
110	-1.225	18.69	0.091
111	-1.245	19.019	0.091
112	-1.265	19.354	0.092
113	-1.284	19.696	0.092
114	-1.304	20.046	0.093
115	-1.324	20.403	0.093
116	-1.344	20.769	0.094
117	-1.364	21.143	0.095
118	-1.384	21.525	0.095
119	-1.403	21.916	0.096
120	-1.423	22.316	0.097
121	-1.443	22.724	0.098
122	-1.462	23.141	0.099
123	-1.482	23.567	0.1
124	-1.501	24.002	0.101
125	-1.519	24.445	0.101
126	-1.538	24.897	0.102
127	-1.555	25.357	0.103
128	-1.573	25.826	0.105
129	-1.59	26.304	0.106
130	-1.606	26.791	0.107
131	-1.621	27.287	0.108
132	-1.636	27.793	0.109
133	-1.65	28.308	0.11
134	-1.664	28.833	0.111
135	-1.676	29.369	0.113
136	-1.687	29.915	0.114
137	-1.698	30.473	0.115
138	-1.707	31.044	0.116
139	-1.715	31.627	0.117
140	-1.721	32.223	0.119
141	-1.726	32.834	0.12
142	-1.73	33.46	0.121
143	-1.732	34.104	0.122
144	-1.733	34.767	0.123
145	-1.732	35.448	0.124
146	-1.729	36.15	0.125
147	-1.725	36.873	0.126
148	-1.718	37.618	0.127
149	-1.71	38.386	0.128
150	-1.699	39.177	0.129
151	-1.687	39.993	0.13
152	-1.673	40.831	0.13
153	-1.657	41.691	0.131
154	-1.64	42.571	0.131
155	-1.62	43.468	0.132
156	-1.6	44.381	0.132
157	-1.578	45.307	0.132
158	-1.555	46.243	0.132
159	-1.531	47.185	0.132
160	-1.507	48.131	0.132
161	-1.482	49.077	0.132
162	-1.457	50.019	0.131
163	-1.431	50.954	0.131
164	-1.405	51.877	0.13
165	-1.379	52.788	0.13
166	-1.352	53.688	0.129
167	-1.325	54.576	0.128
168	-1.298	55.454	0.127
169	-1.27	56.324	0.127
170	-1.242	57.186	0.126
171	-1.214	58.041	0.125
172	-1.185	58.89	0.124
173	-1.157	59.734	0.123
174	-1.128	60.572	0.122
175	-1.099	61.406	0.121
176	-1.071	62.236	0.12
177	-1.042	63.063	0.119
178	-1.013	63.888	0.118
179	-0.985	64.71	0.117
180	-0.956	65.531	0.116
181	-0.928	66.351	0.115
182	-0.899	67.17	0.114
183	-0.87	67.989	0.113
184	-0.842	68.807	0.112
