name = nl
year = 1997
yname = wfh
sex = female
sub = nlb
distribution = LMS
citation = Fredriks2001
publication = Fredriks AM, van Buuren S, Burgmeijer RJF, Meulmeester JF, Beuker RJ, Brugman E, Roede MJ, Verloove-Vanhorick SP & Wit JM (2000) Continuing positive secular growth change in The Netherlands 1955-1997. Pediatric Research, 47, 316-323.
[data]
x	L	M	S
150	-2.093	50.456	0.113
151	-2.093	50.894	0.113
152	-2.093	51.333	0.113
153	-2.093	51.774	0.113
154	-2.093	52.216	0.113
155	-2.093	52.663	0.113
156	-2.093	53.111	0.113
157	-2.093	53.568	0.113
158	-2.093	54.026	0.113
159	-2.093	54.504	0.113
160	-2.093	54.982	0.113
161	-2.093	55.493	0.113
162	-2.093	56.005	0.113
163	-2.093	56.558	0.113
164	-2.093	57.11	0.113
165	-2.093	57.708	0.113
166	-2.093	58.306	0.113
167	-2.093	58.96	0.113
168	-2.093	59.614	0.113
169	-2.093	60.322	0.113
170	-2.093	61.031	0.113
171	-2.093	61.781	0.113
172	-2.093	62.531	0.113
173	-2.093	63.306	0.113
174	-2.093	64.082	0.113
175	-2.093	64.861	0.113
176	-2.093	65.64	0.113
177	-2.093	66.41	0.113
178	-2.093	67.18	0.113
179	-2.093	67.938	0.113
180	-2.093	68.696	0.113
181	-2.093	69.446	0.113
182	-2.093	70.197	0.113
183	-2.093	70.945	0.113
184	-2.093	71.692	0.113
185	-2.093	72.441	0.113
186	-2.093	73.189	0.113
187	-2.093	73.94	0.113
188	-2.093	74.69	0.113
189	-2.093	75.441	0.113
190	-2.093	76.192	0.113
