name = nl
year = 1997
yname = wfh
sex = female
sub = tua
distribution = LMS
citation = Fredriks2003
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2003) Height, weight, body mass index and pubertal development reference values for children of Turkish origin in the Netherlands. European Journal of Pediatrics, 162, 788-793.
[data]
x	L	M	S
50	-0.1573	3.54	0.0788
51	-0.1659	3.76	0.0794
52	-0.1745	3.97	0.08
53	-0.1832	4.19	0.0806
54	-0.1918	4.41	0.0812
55	-0.2005	4.62	0.0818
56	-0.2091	4.87	0.0824
57	-0.2178	5.11	0.083
58	-0.2264	5.35	0.0836
59	-0.2351	5.59	0.0841
60	-0.2437	5.83	0.0847
61	-0.2524	6.09	0.0853
62	-0.261	6.35	0.0859
63	-0.2696	6.62	0.0865
64	-0.2783	6.88	0.087
65	-0.2869	7.14	0.0876
66	-0.2956	7.41	0.0882
67	-0.3042	7.68	0.0888
68	-0.3129	7.95	0.0893
69	-0.3215	8.21	0.0899
70	-0.3302	8.48	0.0905
71	-0.3388	8.73	0.091
72	-0.3475	8.99	0.0916
73	-0.3561	9.24	0.0921
74	-0.3648	9.49	0.0927
75	-0.3734	9.75	0.0933
76	-0.382	9.99	0.0938
77	-0.3907	10.23	0.0944
78	-0.3993	10.47	0.0949
79	-0.408	10.71	0.0955
80	-0.4166	10.95	0.0961
81	-0.4253	11.19	0.0966
82	-0.4339	11.44	0.0972
83	-0.4426	11.69	0.0978
84	-0.4512	11.94	0.0983
85	-0.4599	12.18	0.0989
86	-0.4685	12.45	0.0995
87	-0.4771	12.72	0.1001
88	-0.4858	12.99	0.1007
89	-0.4944	13.25	0.1013
90	-0.5031	13.52	0.1019
91	-0.5117	13.81	0.1025
92	-0.5204	14.09	0.1031
93	-0.529	14.37	0.1037
94	-0.5377	14.66	0.1043
95	-0.5463	14.94	0.1049
96	-0.555	15.24	0.1056
97	-0.5636	15.53	0.1062
98	-0.5722	15.83	0.1069
99	-0.5809	16.13	0.1076
100	-0.5895	16.42	0.1082
101	-0.5982	16.73	0.1089
102	-0.6068	17.04	0.1096
103	-0.6155	17.35	0.1103
104	-0.6241	17.66	0.111
105	-0.6328	17.97	0.1117
106	-0.6414	18.3	0.1125
107	-0.6501	18.64	0.1133
108	-0.6587	18.97	0.114
109	-0.6673	19.31	0.1148
110	-0.676	19.64	0.1156
111	-0.6846	20.02	0.1164
112	-0.6933	20.39	0.1172
113	-0.7019	20.77	0.118
114	-0.7106	21.15	0.1189
115	-0.7192	21.52	0.1197
116	-0.7279	21.96	0.1206
117	-0.7365	22.4	0.1215
118	-0.7452	22.84	0.1223
119	-0.7538	23.27	0.1232
120	-0.7624	23.71	0.1241
121	-0.7711	24.22	0.1251
122	-0.7797	24.73	0.126
123	-0.7884	25.24	0.127
124	-0.797	25.75	0.1279
125	-0.8057	26.27	0.1289
126	-0.8143	26.86	0.1299
127	-0.823	27.45	0.1309
128	-0.8316	28.04	0.1319
129	-0.8403	28.64	0.1328
130	-0.8489	29.23	0.1338
131	-0.8575	29.91	0.1349
132	-0.8662	30.59	0.1359
133	-0.8748	31.26	0.1369
134	-0.8835	31.94	0.138
135	-0.8921	32.62	0.139
136	-0.9008	33.38	0.14
137	-0.9094	34.14	0.1411
138	-0.9181	34.9	0.1421
139	-0.9267	35.66	0.1432
140	-0.9354	36.42	0.1442
141	-0.944	37.25	0.1452
142	-0.9526	38.08	0.1463
143	-0.9613	38.91	0.1473
144	-0.9699	39.74	0.1483
145	-0.9786	40.57	0.1494
146	-0.9872	41.45	0.1504
147	-0.9959	42.34	0.1514
148	-1.0045	43.22	0.1524
149	-1.0132	44.11	0.1534
150	-1.0218	44.99	0.1544
151	-1.0305	45.91	0.1554
152	-1.0391	46.83	0.1564
153	-1.0477	47.75	0.1574
154	-1.0564	48.68	0.1584
155	-1.065	49.6	0.1594
156	-1.0737	50.53	0.1603
157	-1.0823	51.47	0.1613
158	-1.091	52.41	0.1622
159	-1.0996	53.34	0.1632
160	-1.1083	54.28	0.1641
161	-1.1169	55.22	0.1651
162	-1.1256	56.16	0.166
163	-1.1342	57.1	0.167
164	-1.1428	58.04	0.1679
165	-1.1515	58.98	0.1689
166	-1.1601	59.92	0.1698
167	-1.1688	60.87	0.1708
168	-1.1774	61.81	0.1717
169	-1.1861	62.75	0.1726
170	-1.1947	63.69	0.1736
