name = nl
year = 1997
yname = wfh
sex = female
sub = tub
distribution = LMS
citation = Fredriks2003
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2003) Height, weight, body mass index and pubertal development reference values for children of Turkish origin in the Netherlands. European Journal of Pediatrics, 162, 788-793.
[data]
x	L	M	S
150	0.001	51.2	0.169
151	0.001	51.96	0.169
152	0.001	52.72	0.169
153	0.001	53.48	0.169
154	0.001	54.24	0.169
155	0.001	55	0.169
156	0.001	55.76	0.169
157	0.001	56.52	0.169
158	0.001	57.28	0.169
159	0.001	58.04	0.169
160	0.001	58.8	0.169
161	0.001	59.56	0.169
162	0.001	60.32	0.169
163	0.001	61.08	0.169
164	0.001	61.84	0.169
165	0.001	62.6	0.169
166	0.001	63.36	0.169
167	0.001	64.12	0.169
168	0.001	64.88	0.169
169	0.001	65.64	0.169
170	0.001	66.4	0.169
171	0.001	67.32	0.169
172	0.001	68.24	0.169
173	0.001	69.16	0.169
174	0.001	70.08	0.169
175	0.001	71	0.169
176	0.001	71.92	0.169
177	0.001	72.84	0.169
178	0.001	73.76	0.169
179	0.001	74.68	0.169
180	0.001	75.6	0.169
