name = nl
year = 1997
yname = wfh
sex = male
sub = maa
distribution = LMS
citation = Fredriks2004
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2004) Height, weight, body mass index and pubertal development references for children of Moroccan origin in The Netherlands. Acta Paediatrica, 93, 817-824.
[data]
x	L	M	S
50	2.0149	3.56	0.0804
51	1.9647	3.8	0.0808
52	1.9146	4.05	0.0812
53	1.8644	4.29	0.0815
54	1.8143	4.54	0.0819
55	1.7641	4.78	0.0823
56	1.714	5.04	0.0827
57	1.6639	5.3	0.083
58	1.6139	5.55	0.0834
59	1.5638	5.81	0.0837
60	1.5137	6.07	0.0841
61	1.4637	6.33	0.0845
62	1.4137	6.6	0.0849
63	1.3637	6.86	0.0852
64	1.3137	7.13	0.0856
65	1.2637	7.39	0.086
66	1.2137	7.66	0.0864
67	1.1636	7.92	0.0868
68	1.1136	8.18	0.0871
69	1.0635	8.45	0.0875
70	1.0135	8.71	0.0879
71	0.9635	8.97	0.0883
72	0.9134	9.23	0.0887
73	0.8634	9.49	0.089
74	0.8133	9.74	0.0894
75	0.7633	10	0.0898
76	0.7137	10.25	0.0902
77	0.6641	10.49	0.0906
78	0.6146	10.74	0.091
79	0.565	10.98	0.0914
80	0.5154	11.23	0.0918
81	0.4667	11.47	0.0922
82	0.4179	11.7	0.0926
83	0.3692	11.94	0.093
84	0.3204	12.18	0.0934
85	0.2717	12.42	0.0938
86	0.2242	12.65	0.0942
87	0.1767	12.89	0.0946
88	0.1293	13.12	0.095
89	0.0818	13.36	0.0954
90	0.0343	13.6	0.0958
91	-0.0115	13.84	0.0962
92	-0.0573	14.09	0.0966
93	-0.103	14.34	0.0971
94	-0.1488	14.58	0.0975
95	-0.1946	14.83	0.0979
96	-0.2385	15.1	0.0983
97	-0.2823	15.36	0.0988
98	-0.3262	15.63	0.0992
99	-0.37	15.89	0.0997
100	-0.4139	16.16	0.1001
101	-0.4555	16.45	0.1006
102	-0.4971	16.74	0.101
103	-0.5386	17.03	0.1015
104	-0.5802	17.32	0.1019
105	-0.6218	17.61	0.1024
106	-0.6606	17.93	0.1029
107	-0.6994	18.25	0.1034
108	-0.7381	18.57	0.1038
109	-0.7769	18.89	0.1043
110	-0.8157	19.22	0.1048
111	-0.8513	19.57	0.1053
112	-0.8868	19.93	0.1058
113	-0.9224	20.29	0.1062
114	-0.9579	20.64	0.1067
115	-0.9935	21	0.1072
116	-1.026	21.4	0.1077
117	-1.0585	21.8	0.1082
118	-1.091	22.19	0.1087
119	-1.1235	22.59	0.1092
120	-1.156	22.99	0.1097
121	-1.1859	23.43	0.1102
122	-1.2157	23.87	0.1107
123	-1.2456	24.32	0.1113
124	-1.2754	24.76	0.1118
125	-1.3053	25.2	0.1123
126	-1.3329	25.7	0.1128
127	-1.3605	26.2	0.1134
128	-1.388	26.7	0.1139
129	-1.4156	27.19	0.1145
130	-1.4432	27.69	0.115
131	-1.4688	28.25	0.1156
132	-1.4944	28.81	0.1161
133	-1.5201	29.37	0.1167
134	-1.5457	29.92	0.1172
135	-1.5713	30.48	0.1178
136	-1.5952	31.1	0.1183
137	-1.619	31.71	0.1188
138	-1.6429	32.32	0.1194
139	-1.6667	32.94	0.1199
140	-1.6906	33.55	0.1204
141	-1.713	34.21	0.1209
142	-1.7355	34.88	0.1214
143	-1.7579	35.54	0.122
144	-1.7804	36.2	0.1225
145	-1.8028	36.87	0.123
146	-1.8248	37.57	0.1235
147	-1.8468	38.28	0.1239
148	-1.8688	38.98	0.1244
149	-1.8908	39.69	0.1248
150	-1.9128	40.39	0.1253
151	-1.9358	41.13	0.1257
152	-1.9587	41.87	0.1261
153	-1.9817	42.62	0.1266
154	-2.0046	43.36	0.127
155	-2.0276	44.1	0.1274
156	-2.0514	44.87	0.1278
157	-2.0752	45.65	0.1281
158	-2.0991	46.42	0.1285
159	-2.1229	47.2	0.1288
160	-2.1467	47.97	0.1292
161	-2.1711	48.77	0.1295
162	-2.1955	49.56	0.1299
163	-2.2198	50.36	0.1302
164	-2.2442	51.16	0.1306
165	-2.2686	51.96	0.1309
166	-2.2931	52.77	0.1312
167	-2.3177	53.58	0.1315
168	-2.3422	54.39	0.1318
169	-2.3668	55.2	0.1321
170	-2.3913	56.01	0.1324
171	-2.4158	56.82	0.1327
172	-2.4403	57.64	0.133
173	-2.4648	58.46	0.1332
174	-2.4893	59.27	0.1335
175	-2.5138	60.09	0.1338
176	-2.5382	60.9	0.1341
177	-2.5626	61.72	0.1344
178	-2.587	62.54	0.1347
179	-2.6114	63.35	0.135
180	-2.6358	64.17	0.1353
