name = nl
year = 1997
yname = wfh
sex = male
sub = mab
distribution = LMS
citation = Fredriks2004
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2004) Height, weight, body mass index and pubertal development references for children of Moroccan origin in The Netherlands. Acta Paediatrica, 93, 817-824.
[data]
x	L	M	S
150	0.001	47.2	0.139
151	0.001	47.92	0.139
152	0.001	48.64	0.139
153	0.001	49.36	0.139
154	0.001	50.08	0.139
155	0.001	50.8	0.139
156	0.001	51.52	0.139
157	0.001	52.24	0.139
158	0.001	52.96	0.139
159	0.001	53.68	0.139
160	0.001	54.4	0.139
161	0.001	55.12	0.139
162	0.001	55.84	0.139
163	0.001	56.56	0.139
164	0.001	57.28	0.139
165	0.001	58	0.139
166	0.001	58.72	0.139
167	0.001	59.44	0.139
168	0.001	60.16	0.139
169	0.001	60.88	0.139
170	0.001	61.6	0.139
171	0.001	62.48	0.139
172	0.001	63.36	0.139
173	0.001	64.24	0.139
174	0.001	65.12	0.139
175	0.001	66	0.139
176	0.001	66.88	0.139
177	0.001	67.76	0.139
178	0.001	68.64	0.139
179	0.001	69.52	0.139
180	0.001	70.4	0.139
