name = nl
year = 1997
yname = wfh
sex = male
sub = nla
distribution = LMS
citation = Fredriks2001
publication = Fredriks AM, van Buuren S, Burgmeijer RJF, Meulmeester JF, Beuker RJ, Brugman E, Roede MJ, Verloove-Vanhorick SP & Wit JM (2000) Continuing positive secular growth change in The Netherlands 1955-1997. Pediatric Research, 47, 3NLA323.
[data]
x	L	M	S
50	-0.326	3.329	0.082
51	-0.334	3.558	0.082
52	-0.341	3.788	0.081
53	-0.348	4.018	0.081
54	-0.356	4.251	0.081
55	-0.363	4.486	0.081
56	-0.371	4.724	0.081
57	-0.378	4.966	0.081
58	-0.386	5.212	0.081
59	-0.394	5.462	0.081
60	-0.402	5.716	0.081
61	-0.41	5.975	0.081
62	-0.419	6.239	0.081
63	-0.427	6.506	0.081
64	-0.436	6.777	0.081
65	-0.445	7.05	0.082
66	-0.454	7.325	0.082
67	-0.463	7.601	0.082
68	-0.472	7.877	0.082
69	-0.481	8.152	0.082
70	-0.49	8.424	0.082
71	-0.5	8.694	0.082
72	-0.509	8.96	0.082
73	-0.518	9.221	0.082
74	-0.527	9.478	0.082
75	-0.536	9.731	0.082
76	-0.545	9.979	0.082
77	-0.554	10.224	0.082
78	-0.563	10.465	0.082
79	-0.572	10.703	0.082
80	-0.581	10.937	0.082
81	-0.59	11.17	0.083
82	-0.599	11.4	0.083
83	-0.608	11.628	0.083
84	-0.617	11.856	0.083
85	-0.626	12.084	0.083
86	-0.635	12.313	0.083
87	-0.645	12.542	0.083
88	-0.654	12.774	0.083
89	-0.664	13.007	0.084
90	-0.674	13.243	0.084
91	-0.684	13.482	0.084
92	-0.694	13.723	0.084
93	-0.705	13.968	0.084
94	-0.716	14.216	0.085
95	-0.727	14.467	0.085
96	-0.738	14.722	0.085
97	-0.75	14.98	0.085
98	-0.762	15.242	0.085
99	-0.774	15.508	0.086
100	-0.787	15.778	0.086
101	-0.8	16.052	0.086
102	-0.814	16.33	0.086
103	-0.828	16.613	0.087
104	-0.842	16.9	0.087
105	-0.857	17.192	0.087
106	-0.872	17.49	0.088
107	-0.888	17.792	0.088
108	-0.904	18.101	0.088
109	-0.921	18.416	0.089
110	-0.938	18.736	0.089
111	-0.956	19.063	0.089
112	-0.975	19.396	0.09
113	-0.994	19.736	0.09
114	-1.014	20.082	0.09
115	-1.034	20.434	0.091
116	-1.055	20.793	0.091
117	-1.076	21.159	0.092
118	-1.098	21.532	0.092
119	-1.121	21.911	0.093
120	-1.143	22.298	0.093
121	-1.167	22.691	0.094
122	-1.191	23.092	0.094
123	-1.215	23.5	0.094
124	-1.24	23.914	0.095
125	-1.264	24.336	0.095
126	-1.29	24.766	0.096
127	-1.315	25.204	0.097
128	-1.341	25.65	0.097
129	-1.368	26.106	0.098
130	-1.394	26.57	0.098
131	-1.42	27.045	0.099
132	-1.447	27.53	0.099
133	-1.473	28.026	0.1
134	-1.5	28.534	0.101
135	-1.527	29.053	0.101
136	-1.554	29.585	0.102
137	-1.581	30.129	0.102
138	-1.607	30.685	0.103
139	-1.634	31.253	0.104
140	-1.66	31.832	0.104
141	-1.686	32.424	0.105
142	-1.711	33.027	0.106
143	-1.736	33.641	0.106
144	-1.761	34.268	0.107
145	-1.784	34.906	0.107
146	-1.807	35.557	0.108
147	-1.83	36.218	0.109
148	-1.851	36.892	0.109
149	-1.872	37.577	0.11
150	-1.891	38.275	0.11
151	-1.91	38.985	0.111
152	-1.927	39.707	0.111
153	-1.944	40.442	0.112
154	-1.959	41.188	0.112
155	-1.973	41.944	0.113
156	-1.986	42.711	0.113
157	-1.997	43.489	0.113
158	-2.008	44.276	0.114
159	-2.017	45.073	0.114
160	-2.026	45.879	0.114
161	-2.034	46.695	0.114
162	-2.04	47.521	0.114
163	-2.047	48.357	0.114
164	-2.052	49.202	0.114
165	-2.057	50.056	0.114
166	-2.062	50.918	0.114
167	-2.066	51.789	0.114
168	-2.071	52.665	0.114
169	-2.075	53.547	0.113
170	-2.079	54.433	0.113
171	-2.083	55.321	0.113
172	-2.088	56.212	0.113
173	-2.092	57.103	0.112
174	-2.097	57.994	0.112
175	-2.102	58.884	0.111
176	-2.107	59.773	0.111
177	-2.112	60.661	0.111
178	-2.117	61.545	0.11
179	-2.123	62.426	0.11
180	-2.128	63.303	0.109
181	-2.134	64.177	0.109
182	-2.14	65.046	0.109
183	-2.146	65.913	0.108
184	-2.152	66.777	0.108
185	-2.158	67.64	0.107
186	-2.164	68.502	0.107
187	-2.17	69.364	0.107
188	-2.176	70.227	0.106
189	-2.181	71.089	0.106
190	-2.187	71.952	0.105
191	-2.193	72.816	0.105
192	-2.199	73.68	0.105
193	-2.205	74.543	0.104
194	-2.21	75.407	0.104
195	-2.217	76.272	0.104
