name = nl
year = 1997
yname = wfh
sex = male
sub = nlb
distribution = LMS
citation = Fredriks2001
publication = Fredriks AM, van Buuren S, Burgmeijer RJF, Meulmeester JF, Beuker RJ, Brugman E, Roede MJ, Verloove-Vanhorick SP & Wit JM (2000) Continuing positive secular growth change in The Netherlands 1955-1997. Pediatric Research, 47, 316-323.
[data]
x	L	M	S
162	-0.627	55.054	0.13
163	-0.668	55.776	0.129
164	-0.709	56.498	0.128
165	-0.75	57.22	0.128
166	-0.791	57.942	0.127
167	-0.832	58.664	0.126
168	-0.873	59.386	0.125
169	-0.914	60.108	0.125
170	-0.955	60.83	0.124
171	-0.995	61.552	0.124
172	-1.036	62.274	0.123
173	-1.077	62.996	0.122
174	-1.118	63.718	0.121
175	-1.159	64.441	0.12
176	-1.2	65.163	0.12
177	-1.241	65.885	0.119
178	-1.282	66.607	0.118
179	-1.323	67.329	0.117
180	-1.364	68.051	0.117
181	-1.405	68.773	0.116
182	-1.446	69.495	0.116
183	-1.487	70.217	0.115
184	-1.528	70.939	0.114
185	-1.568	71.661	0.113
186	-1.609	72.383	0.113
187	-1.65	73.105	0.112
188	-1.691	73.827	0.111
189	-1.732	74.549	0.111
190	-1.773	75.271	0.11
191	-1.814	75.994	0.109
192	-1.855	76.716	0.109
193	-1.896	77.438	0.108
194	-1.937	78.16	0.107
195	-1.978	78.882	0.106
196	-2.019	79.604	0.106
197	-2.059	80.326	0.105
198	-2.1	81.048	0.105
199	-2.141	81.77	0.104
200	-2.182	82.492	0.103
