name = nl
year = 1997
yname = wfh
sex = male
sub = tua
distribution = LMS
citation = Fredriks2003
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2003) Height, weight, body mass index and pubertal development reference values for children of Turkish origin in the Netherlands. European Journal of Pediatrics, 162, 788-793.
[data]
x	L	M	S
50	0.5398	3.49	0.0828
51	0.4747	3.71	0.0829
52	0.4096	3.94	0.083
53	0.3445	4.16	0.0831
54	0.2793	4.39	0.0832
55	0.2142	4.61	0.0833
56	0.1491	4.87	0.0834
57	0.0839	5.12	0.0835
58	0.0187	5.38	0.0836
59	-0.0464	5.64	0.0837
60	-0.1116	5.89	0.0838
61	-0.174	6.17	0.0839
62	-0.2364	6.44	0.084
63	-0.2988	6.72	0.0842
64	-0.3613	6.99	0.0843
65	-0.4237	7.27	0.0844
66	-0.4795	7.55	0.0846
67	-0.5353	7.82	0.0847
68	-0.5911	8.1	0.0849
69	-0.6469	8.37	0.085
70	-0.7027	8.65	0.0852
71	-0.7494	8.92	0.0853
72	-0.7962	9.19	0.0855
73	-0.843	9.46	0.0857
74	-0.8898	9.73	0.0859
75	-0.9365	10	0.0861
76	-0.9744	10.25	0.0863
77	-1.0122	10.51	0.0865
78	-1.0501	10.76	0.0868
79	-1.0879	11.02	0.087
80	-1.1257	11.27	0.0872
81	-1.1562	11.51	0.0875
82	-1.1866	11.75	0.0878
83	-1.2171	11.99	0.0881
84	-1.2475	12.23	0.0883
85	-1.278	12.46	0.0886
86	-1.3033	12.7	0.089
87	-1.3286	12.94	0.0893
88	-1.3539	13.18	0.0896
89	-1.3792	13.41	0.09
90	-1.4045	13.65	0.0903
91	-1.4266	13.9	0.0907
92	-1.4488	14.16	0.0911
93	-1.471	14.41	0.0915
94	-1.4931	14.66	0.0919
95	-1.5153	14.91	0.0923
96	-1.535	15.19	0.0928
97	-1.5547	15.48	0.0933
98	-1.5744	15.76	0.0937
99	-1.5941	16.04	0.0942
100	-1.6137	16.32	0.0947
101	-1.6305	16.63	0.0952
102	-1.6472	16.94	0.0958
103	-1.6639	17.25	0.0964
104	-1.6806	17.56	0.0969
105	-1.6973	17.87	0.0975
106	-1.7102	18.22	0.0981
107	-1.723	18.56	0.0988
108	-1.7358	18.91	0.0994
109	-1.7486	19.26	0.1001
110	-1.7615	19.61	0.1007
111	-1.77	20	0.1015
112	-1.7785	20.39	0.1022
113	-1.787	20.78	0.1029
114	-1.7955	21.17	0.1037
115	-1.804	21.56	0.1044
116	-1.808	22.01	0.1052
117	-1.812	22.45	0.106
118	-1.8159	22.89	0.1068
119	-1.8199	23.33	0.1076
120	-1.8239	23.78	0.1084
121	-1.8226	24.27	0.1093
122	-1.8213	24.76	0.1102
123	-1.8201	25.26	0.1111
124	-1.8188	25.75	0.1119
125	-1.8175	26.25	0.1128
126	-1.811	26.79	0.1137
127	-1.8045	27.34	0.1146
128	-1.798	27.88	0.1156
129	-1.7915	28.43	0.1165
130	-1.785	28.97	0.1174
131	-1.7764	29.57	0.1184
132	-1.7679	30.17	0.1193
133	-1.7594	30.76	0.1203
134	-1.7508	31.36	0.1213
135	-1.7423	31.96	0.1222
136	-1.735	32.61	0.1232
137	-1.7278	33.26	0.1242
138	-1.7205	33.92	0.1252
139	-1.7133	34.57	0.1262
140	-1.706	35.22	0.1271
141	-1.7003	35.93	0.1281
142	-1.6946	36.64	0.1291
143	-1.6889	37.35	0.1301
144	-1.6832	38.06	0.1311
145	-1.6775	38.77	0.1321
146	-1.6741	39.53	0.133
147	-1.6707	40.29	0.134
148	-1.6673	41.06	0.135
149	-1.664	41.82	0.1359
150	-1.6606	42.58	0.1369
151	-1.661	43.39	0.1378
152	-1.6613	44.19	0.1388
153	-1.6617	45	0.1397
154	-1.6621	45.81	0.1407
155	-1.6624	46.61	0.1416
156	-1.6669	47.45	0.1425
157	-1.6713	48.29	0.1434
158	-1.6757	49.13	0.1443
159	-1.6802	49.97	0.1453
160	-1.6846	50.81	0.1462
161	-1.6921	51.68	0.1471
162	-1.6995	52.54	0.148
163	-1.707	53.41	0.1489
164	-1.7144	54.27	0.1498
165	-1.7219	55.13	0.1507
166	-1.733	56.01	0.1515
167	-1.7441	56.89	0.1524
168	-1.7553	57.77	0.1533
169	-1.7664	58.64	0.1542
170	-1.7775	59.52	0.155
171	-1.7914	60.4	0.1559
172	-1.8053	61.29	0.1568
173	-1.8191	62.17	0.1577
174	-1.833	63.06	0.1585
175	-1.8469	63.94	0.1594
176	-1.8622	64.82	0.1603
177	-1.8775	65.71	0.1611
178	-1.8928	66.59	0.162
179	-1.9082	67.48	0.1629
180	-1.9235	68.36	0.1637
