name = nl
year = 1997
yname = wfh
sex = male
sub = tub
distribution = LMS
citation = Fredriks2003
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2003) Height, weight, body mass index and pubertal development reference values for children of Turkish origin in the Netherlands. European Journal of Pediatrics, 162, 788-793.
[data]
x	L	M	S
150	0.01	50.9	0.139
151	0.01	51.595	0.139
152	0.01	52.29	0.139
153	0.01	52.985	0.139
154	0.01	53.68	0.139
155	0.01	54.375	0.139
156	0.01	55.07	0.139
157	0.01	55.765	0.139
158	0.01	56.46	0.139
159	0.01	57.155	0.139
160	0.01	57.85	0.139
161	0.01	58.545	0.139
162	0.01	59.24	0.139
163	0.01	59.935	0.139
164	0.01	60.63	0.139
165	0.01	61.325	0.139
166	0.01	62.02	0.139
167	0.01	62.715	0.139
168	0.01	63.41	0.139
169	0.01	64.105	0.139
170	0.01	64.8	0.139
171	0.01	65.63	0.139
172	0.01	66.46	0.139
173	0.01	67.29	0.139
174	0.01	68.12	0.139
175	0.01	68.95	0.139
176	0.01	69.78	0.139
177	0.01	70.61	0.139
178	0.01	71.44	0.139
179	0.01	72.27	0.139
180	0.01	73.1	0.139
