name = nl
year = 1997
yname = wgt
sex = female
sub = ma
distribution = LMS
citation = Fredriks2004
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2004) Height, weight, body mass index and pubertal development references for children of Moroccan origin in The Netherlands. Acta Paediatrica, 93, 817-824.
[data]
x	L	M	S
0	1.164	3.37	0.1281
0.0192	1.141	3.55	0.128
0.0383	1.1156	3.73	0.128
0.0575	1.0894	3.9	0.1279
0.0767	1.0632	4.07	0.1279
0.0958	1.037	4.25	0.1279
0.115	1.0108	4.42	0.1278
0.1342	0.9847	4.59	0.1278
0.1533	0.9585	4.77	0.1277
0.1725	0.9325	4.94	0.1277
0.1916	0.9065	5.1	0.1277
0.23	0.8548	5.43	0.1276
0.2683	0.8035	5.75	0.1275
0.3066	0.7527	6.07	0.1274
0.345	0.7027	6.37	0.1274
0.3833	0.6533	6.66	0.1273
0.4216	0.6049	6.94	0.1273
0.46	0.5574	7.21	0.1272
0.4983	0.5109	7.48	0.1272
0.5366	0.4655	7.73	0.1272
0.6133	0.3781	8.2	0.1272
0.6899	0.2954	8.63	0.1272
0.7666	0.2178	9.03	0.1273
0.8433	0.145	9.4	0.1275
0.9199	0.0772	9.74	0.1277
0.9966	0.0141	10.06	0.128
1.0732	-0.0444	10.35	0.1283
1.1499	-0.0986	10.63	0.1286
1.2266	-0.1489	10.89	0.129
1.5	-0.3004	11.7	0.1304
2	-0.4973	12.89	0.1331
2.5	-0.6339	13.88	0.1358
3	-0.7418	14.8	0.1385
3.5	-0.8368	15.76	0.1415
4	-0.9221	16.79	0.1449
4.5	-0.9952	17.86	0.1488
5	-1.0531	18.94	0.1529
5.5	-1.1008	20.03	0.1571
6	-1.1343	21.13	0.1616
6.5	-1.1559	22.25	0.1661
7	-1.1664	23.4	0.1706
7.5	-1.1663	24.63	0.1753
8	-1.1547	25.96	0.1799
8.5	-1.1315	27.35	0.1843
9	-1.0961	28.84	0.1885
9.5	-1.047	30.44	0.1925
10	-0.9815	32.19	0.1961
10.5	-0.8974	34.17	0.1993
11	-0.795	36.47	0.2017
11.5	-0.6811	39.08	0.2024
12	-0.5746	41.86	0.2013
12.5	-0.4911	44.69	0.1986
13	-0.4368	47.36	0.1943
13.5	-0.4081	49.71	0.189
14	-0.3961	51.71	0.1835
14.5	-0.3914	53.32	0.1786
15	-0.388	54.6	0.1745
15.5	-0.3845	55.63	0.1711
16	-0.381	56.44	0.1684
16.5	-0.3777	57.1	0.1664
17	-0.3747	57.64	0.1649
17.5	-0.3719	58.08	0.1636
18	-0.3693	58.46	0.1626
18.5	-0.367	58.79	0.1618
19	-0.3648	59.09	0.161
19.5	-0.3626	59.38	0.1603
20	-0.3605	59.67	0.1597
20.5	-0.3584	59.95	0.159
