name = nl
year = 1997
yname = wgt
sex = female
sub = nl
distribution = LMS
citation = Fredriks2001
publication = Fredriks AM, van Buuren S, Burgmeijer RJF, Meulmeester JF, Beuker RJ, Brugman E, Roede MJ, Verloove-Vanhorick SP & Wit JM (2000) Continuing positive secular growth change in The Netherlands 1955-1997. Pediatric Research, 47, 316-323.
[data]
x	L	M	S
0	0.369	3.34	0.115
0.0192	0.359	3.51	0.115
0.0383	0.349	3.69	0.115
0.0575	0.339	3.86	0.115
0.0767	0.328	4.03	0.115
0.0958	0.319	4.21	0.115
0.115	0.309	4.38	0.114
0.1342	0.3	4.56	0.114
0.1533	0.289	4.73	0.114
0.1725	0.28	4.9	0.113
0.1916	0.27	5.07	0.113
0.23	0.251	5.4	0.113
0.2683	0.233	5.72	0.112
0.3066	0.215	6.03	0.112
0.345	0.198	6.32	0.112
0.3833	0.182	6.59	0.111
0.4216	0.166	6.85	0.111
0.46	0.152	7.1	0.111
0.4983	0.137	7.33	0.11
0.5366	0.124	7.55	0.11
0.6133	0.099	7.95	0.11
0.6899	0.076	8.32	0.11
0.7666	0.056	8.66	0.11
0.8433	0.036	8.97	0.109
0.9199	0.018	9.27	0.11
0.9966	0.002	9.55	0.11
1.0732	-0.014	9.81	0.11
1.1499	-0.029	10.06	0.11
1.2266	-0.043	10.3	0.11
1.5	-0.087	11.06	0.111
2	-0.158	12.32	0.113
2.5	-0.222	13.52	0.115
3	-0.281	14.68	0.118
3.5	-0.338	15.82	0.121
4	-0.39	16.94	0.124
4.5	-0.44	18.05	0.128
5	-0.488	19.21	0.132
5.5	-0.534	20.44	0.136
6	-0.579	21.77	0.141
6.5	-0.619	23.19	0.145
7	-0.654	24.68	0.151
7.5	-0.681	26.22	0.156
8	-0.698	27.8	0.161
8.5	-0.703	29.4	0.167
9	-0.698	31.04	0.172
9.5	-0.679	32.75	0.177
10	-0.648	34.52	0.181
10.5	-0.606	36.4	0.186
11	-0.553	38.46	0.189
11.5	-0.492	40.73	0.191
12	-0.432	43.21	0.19
12.5	-0.386	45.8	0.185
13	-0.366	48.32	0.178
13.5	-0.378	50.64	0.17
14	-0.42	52.7	0.162
14.5	-0.481	54.48	0.155
15	-0.552	56	0.15
15.5	-0.627	57.29	0.146
16	-0.7	58.37	0.143
16.5	-0.766	59.28	0.14
17	-0.825	60.04	0.139
17.5	-0.877	60.7	0.137
18	-0.923	61.27	0.136
18.5	-0.965	61.79	0.135
19	-1.003	62.25	0.134
19.5	-1.038	62.68	0.133
20	-1.07	63.08	0.132
20.5	-1.102	63.47	0.132
21	-1.133	63.85	0.131
