name = nl
year = 1997
yname = wgt
sex = female
sub = tu
distribution = LMS
citation = Fredriks2003
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2003). Height, weight, body mass index and pubertal development reference values for children of Turkish origin in the Netherlands. European Journal of Pediatrics, 162(11), 788-793.
[data]
x	L	M	S
0	1.275	3.26	0.1238
0.0192	1.262	3.55	0.1239
0.0383	1.2481	3.8	0.1239
0.0575	1.2351	3.98	0.124
0.0767	1.2222	4.15	0.124
0.0958	1.2092	4.33	0.124
0.115	1.1963	4.5	0.1241
0.1342	1.1834	4.68	0.1241
0.1533	1.1705	4.85	0.1242
0.1725	1.1576	5.02	0.1242
0.1916	1.1447	5.19	0.1242
0.23	1.1192	5.53	0.1243
0.2683	1.0939	5.85	0.1244
0.3066	1.0688	6.16	0.1244
0.345	1.0441	6.46	0.1245
0.3833	1.0197	6.75	0.1245
0.4216	0.9957	7.02	0.1245
0.46	0.9721	7.28	0.1245
0.4983	0.9489	7.53	0.1245
0.5366	0.9263	7.77	0.1245
0.6133	0.8824	8.2	0.1244
0.6899	0.8405	8.59	0.1243
0.7666	0.8007	8.95	0.1242
0.8433	0.7629	9.29	0.1241
0.9199	0.7271	9.6	0.1241
0.9966	0.693	9.89	0.124
1.0732	0.6607	10.17	0.124
1.1499	0.63	10.44	0.1239
1.2266	0.6009	10.7	0.124
1.5	0.5086	11.55	0.1242
2	0.3701	12.93	0.1254
2.5	0.254	14.2	0.1272
3	0.1468	15.49	0.1296
3.5	0.0484	16.76	0.1325
4	-0.0361	17.89	0.1356
4.5	-0.1045	18.83	0.1387
5	-0.1642	19.69	0.1419
5.5	-0.2226	20.56	0.1452
6	-0.2798	21.5	0.1491
6.5	-0.3373	22.56	0.1538
7	-0.3942	23.8	0.1595
7.5	-0.447	25.24	0.1664
8	-0.4905	26.89	0.1743
8.5	-0.518	28.75	0.1832
9	-0.5223	30.82	0.1924
9.5	-0.4974	33.04	0.2015
10	-0.4429	35.38	0.2096
10.5	-0.3694	37.82	0.2158
11	-0.3004	40.36	0.2189
11.5	-0.2542	42.94	0.2185
12	-0.2475	45.51	0.2148
12.5	-0.2868	47.98	0.2088
13	-0.3664	50.23	0.202
13.5	-0.469	52.13	0.1955
14	-0.575	53.68	0.1901
14.5	-0.6734	54.94	0.1857
15	-0.7575	55.92	0.1822
15.5	-0.8251	56.68	0.1795
16	-0.8773	57.24	0.1775
16.5	-0.9165	57.66	0.176
17	-0.9454	57.96	0.1749
17.5	-0.9663	58.18	0.1741
18	-0.9802	58.33	0.1735
18.5	-0.9926	58.46	0.1731
19	-1.0031	58.57	0.1727
19.5	-1.014	58.69	0.1722
20	-1.0251	58.81	0.1718
20.5	-1.0363	58.92	0.1714
