name = nl
year = 1997
yname = wgt
sex = male
sub = ma
distribution = LMS
citation = Fredriks2004
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2004) Height, weight, body mass index and pubertal development references for children of Moroccan origin in The Netherlands. Acta Paediatrica, 93, 817-824.
[data]
x	L	M	S
0	1.38	3.57	0.1096
0.0192	1.361	3.89	0.1097
0.0383	1.3417	4.17	0.1097
0.0575	1.3232	4.36	0.1097
0.0767	1.3048	4.54	0.1098
0.0958	1.2863	4.72	0.1098
0.115	1.2678	4.91	0.1098
0.1342	1.2494	5.09	0.1099
0.1533	1.231	5.27	0.1099
0.1725	1.2126	5.45	0.11
0.1916	1.1943	5.63	0.11
0.23	1.1579	5.98	0.1101
0.2683	1.1219	6.32	0.1102
0.3066	1.0863	6.64	0.1103
0.345	1.0513	6.96	0.1105
0.3833	1.0169	7.25	0.1106
0.4216	0.9832	7.54	0.1107
0.46	0.9501	7.82	0.1109
0.4983	0.9178	8.08	0.111
0.5366	0.8862	8.33	0.1112
0.6133	0.8255	8.79	0.1115
0.6899	0.7681	9.22	0.1119
0.7666	0.7142	9.61	0.1123
0.8433	0.6637	9.96	0.1127
0.9199	0.6165	10.28	0.1132
0.9966	0.5726	10.57	0.1136
1.0732	0.5317	10.84	0.1141
1.1499	0.4936	11.09	0.1145
1.2266	0.4582	11.32	0.115
1.5	0.3492	12.05	0.1165
2	0.1917	13.19	0.1192
2.5	0.0628	14.25	0.1218
3	-0.0468	15.21	0.1244
3.5	-0.1462	16.15	0.1269
4	-0.2416	17.12	0.1296
4.5	-0.3339	18.13	0.1325
5	-0.4229	19.17	0.1356
5.5	-0.509	20.27	0.139
6	-0.5909	21.43	0.1427
6.5	-0.6677	22.62	0.1466
7	-0.7376	23.86	0.1508
7.5	-0.7993	25.13	0.1552
8	-0.8519	26.45	0.1597
8.5	-0.8941	27.81	0.1643
9	-0.925	29.23	0.1688
9.5	-0.9435	30.7	0.1731
10	-0.9496	32.22	0.1773
10.5	-0.9441	33.81	0.1811
11	-0.927	35.46	0.1846
11.5	-0.8987	37.24	0.1879
12	-0.8606	39.17	0.1908
12.5	-0.8167	41.27	0.1931
13	-0.7731	43.55	0.1946
13.5	-0.7346	46.04	0.1947
14	-0.7011	48.74	0.1933
14.5	-0.6695	51.52	0.1905
15	-0.6401	54.18	0.1869
15.5	-0.6165	56.59	0.1826
16	-0.6021	58.7	0.178
16.5	-0.5953	60.51	0.1734
17	-0.5929	62.05	0.1689
17.5	-0.5936	63.36	0.1647
18	-0.5959	64.5	0.1606
18.5	-0.599	65.52	0.1566
19	-0.603	66.45	0.1527
19.5	-0.6077	67.33	0.1489
20	-0.6126	68.19	0.1451
