name = nl
year = 1997
yname = wgt
sex = male
sub = nl
distribution = LMS
citation = Fredriks2001
publication = Fredriks AM, van Buuren S, Burgmeijer RJF, Meulmeester JF, Beuker RJ, Brugman E, Roede MJ, Verloove-Vanhorick SP & Wit JM (2000) Continuing positive secular growth change in The Netherlands 1955-1997. Pediatric Research, 47, 316-323.
[data]
x	L	M	S
0	0.629	3.55	0.115
0.0192	0.617	3.75	0.115
0.0383	0.604	3.94	0.115
0.0575	0.592	4.13	0.115
0.0767	0.58	4.33	0.115
0.0958	0.569	4.53	0.115
0.115	0.557	4.72	0.114
0.1342	0.546	4.92	0.114
0.1533	0.534	5.11	0.114
0.1725	0.523	5.3	0.114
0.1916	0.512	5.48	0.114
0.23	0.49	5.84	0.114
0.2683	0.468	6.19	0.114
0.3066	0.448	6.51	0.113
0.345	0.428	6.82	0.113
0.3833	0.409	7.11	0.113
0.4216	0.391	7.39	0.113
0.46	0.373	7.65	0.113
0.4983	0.357	7.89	0.113
0.5366	0.341	8.12	0.113
0.6133	0.311	8.55	0.112
0.6899	0.285	8.95	0.112
0.7666	0.26	9.3	0.112
0.8433	0.237	9.63	0.112
0.9199	0.216	9.94	0.112
0.9966	0.196	10.23	0.112
1.0732	0.177	10.5	0.113
1.1499	0.16	10.75	0.113
1.2266	0.143	11	0.113
1.5	0.092	11.78	0.113
2	0.014	13.02	0.114
2.5	-0.053	14.12	0.116
3	-0.116	15.19	0.117
3.5	-0.177	16.28	0.119
4	-0.239	17.42	0.122
4.5	-0.3	18.6	0.124
5	-0.359	19.82	0.127
5.5	-0.416	21.08	0.13
6	-0.469	22.37	0.134
6.5	-0.518	23.68	0.137
7	-0.56	25.03	0.141
7.5	-0.597	26.43	0.144
8	-0.627	27.86	0.148
8.5	-0.648	29.3	0.152
9	-0.659	30.76	0.155
9.5	-0.661	32.25	0.159
10	-0.651	33.79	0.162
10.5	-0.629	35.43	0.165
11	-0.591	37.23	0.169
11.5	-0.536	39.24	0.172
12	-0.464	41.48	0.175
12.5	-0.383	43.99	0.177
13	-0.302	46.77	0.179
13.5	-0.232	49.77	0.178
14	-0.18	52.87	0.176
14.5	-0.15	55.94	0.172
15	-0.138	58.82	0.167
15.5	-0.139	61.45	0.161
16	-0.148	63.77	0.156
16.5	-0.161	65.75	0.151
17	-0.174	67.43	0.147
17.5	-0.187	68.85	0.143
18	-0.199	70.06	0.14
18.5	-0.208	71.1	0.137
19	-0.217	72.04	0.135
19.5	-0.225	72.89	0.133
20	-0.232	73.7	0.13
20.5	-0.24	74.49	0.128
21	-0.247	75.28	0.126
