name = nl
year = 1997
yname = wgt
sex = male
sub = tu
distribution = LMS
citation = Fredriks2003
publication = Fredriks AM, van Buuren S, Jeurissen SER, Dekker FW, Verloove-Vanhorick SP & Wit JM (2003). Height, weight, body mass index and pubertal development reference values for children of Turkish origin in the Netherlands. European Journal of Pediatrics, 162(11), 788-793.
[data]
x	L	M	S
0	0.4975	3.44	0.1165
0.0192	0.49	3.7	0.1165
0.0383	0.4825	4	0.1165
0.0575	0.4758	4.2	0.1164
0.0767	0.4691	4.4	0.1164
0.0958	0.4624	4.59	0.1164
0.115	0.4557	4.79	0.1164
0.1342	0.4491	4.99	0.1163
0.1533	0.4424	5.18	0.1163
0.1725	0.4357	5.37	0.1163
0.1916	0.4291	5.56	0.1163
0.23	0.4159	5.94	0.1162
0.2683	0.4028	6.3	0.1162
0.3066	0.3899	6.64	0.1161
0.345	0.3771	6.97	0.1161
0.3833	0.3646	7.29	0.1161
0.4216	0.3522	7.59	0.1161
0.46	0.3401	7.88	0.1161
0.4983	0.3283	8.15	0.1161
0.5366	0.3167	8.41	0.1161
0.6133	0.2943	8.88	0.1162
0.6899	0.2731	9.31	0.1163
0.7666	0.2529	9.7	0.1164
0.8433	0.2339	10.06	0.1166
0.9199	0.216	10.39	0.1168
0.9966	0.1991	10.7	0.117
1.0732	0.1831	10.98	0.1172
1.1499	0.1681	11.25	0.1175
1.2266	0.1539	11.5	0.1177
1.5	0.1095	12.29	0.1186
2	0.046	13.46	0.1202
2.5	-0.0072	14.5	0.122
3	-0.0582	15.53	0.124
3.5	-0.1083	16.57	0.1265
4	-0.1592	17.65	0.1293
4.5	-0.2112	18.77	0.1326
5	-0.2651	19.97	0.1364
5.5	-0.3205	21.24	0.1406
6	-0.376	22.55	0.145
6.5	-0.4302	23.88	0.1496
7	-0.482	25.2	0.1543
7.5	-0.5317	26.57	0.159
8	-0.5803	28.06	0.1639
8.5	-0.6263	29.67	0.1692
9	-0.6668	31.33	0.1746
9.5	-0.6996	32.96	0.1801
10	-0.7235	34.55	0.1858
10.5	-0.7385	36.12	0.1916
11	-0.7439	37.78	0.1974
11.5	-0.7383	39.67	0.2029
12	-0.7201	41.9	0.2074
12.5	-0.6876	44.52	0.2099
13	-0.6419	47.43	0.2097
13.5	-0.587	50.5	0.2069
14	-0.528	53.49	0.2019
14.5	-0.4709	56.22	0.1953
15	-0.4196	58.62	0.1879
15.5	-0.3738	60.7	0.1803
16	-0.3328	62.5	0.1731
16.5	-0.2962	64.01	0.1667
17	-0.2641	65.25	0.1611
17.5	-0.2364	66.26	0.1564
18	-0.2131	67.07	0.1525
18.5	-0.1934	67.74	0.1492
19	-0.1763	68.3	0.1464
19.5	-0.1612	68.79	0.144
20	-0.1471	69.24	0.1417
