name = nl
year = 1997
yname = whr
sex = female
distribution = LMS
citation = Fredriks2005a; Fredriks2005b
publication = Fredriks AM, van Buuren S, Fekkes M, Verloove-Vanhorick SP & Wit JM (2005) Are age references for waist circumference, hip circumference and waist-hip ratio in Dutch children useful in clinical practice? European Journal of Pediatrics, 164, 216-222; Fredriks AM, van Buuren S, van Heel WJM, Dijkman-Neerincx RHM, Verloove-Vanhorick SP & Wit JM (2005) Nationwide age references for sitting height, leg length, and sitting height/height ratio, and their diagnostic value for disproportionate growth disorders. Arch. Dis. Child., 90, 807-812.
[data]
x	L	M	S
0	2.3573	1.112	0.0813
0.25	1.1616	1.0312	0.0701
0.5	0.878	0.997	0.0652
0.75	0.6838	0.9818	0.0615
1	0.5296	0.9734	0.0586
1.25	0.3973	0.9681	0.0562
1.5	0.2791	0.9643	0.0543
1.75	0.1716	0.9613	0.0528
2	0.0723	0.9585	0.0518
2.25	-0.0202	0.9559	0.051
2.5	-0.1067	0.9531	0.0505
2.75	-0.1879	0.9497	0.0503
3	-0.2644	0.9456	0.0503
3.25	-0.3365	0.9407	0.0505
3.5	-0.4049	0.9353	0.0508
3.75	-0.47	0.9295	0.0513
4	-0.5321	0.9234	0.0519
4.25	-0.5916	0.9173	0.0526
4.5	-0.6486	0.9111	0.0533
4.75	-0.7035	0.9051	0.054
5	-0.7563	0.8993	0.0548
5.25	-0.8074	0.8937	0.0555
5.5	-0.8569	0.8884	0.0562
5.75	-0.9048	0.8835	0.0569
6	-0.9513	0.879	0.0575
6.25	-0.9966	0.8747	0.0581
6.5	-1.0408	0.8707	0.0587
6.75	-1.0839	0.8668	0.0592
7	-1.1261	0.8631	0.0597
7.25	-1.1674	0.8594	0.0602
7.5	-1.2079	0.8558	0.0606
7.75	-1.2477	0.8522	0.061
8	-1.2867	0.8486	0.0614
8.25	-1.3252	0.845	0.0618
8.5	-1.3631	0.8414	0.0622
8.75	-1.4004	0.8378	0.0625
9	-1.4373	0.8341	0.0628
9.25	-1.4738	0.8305	0.0631
9.5	-1.5098	0.8269	0.0634
9.75	-1.5454	0.8234	0.0637
10	-1.5804	0.8198	0.064
10.25	-1.615	0.8162	0.0643
10.5	-1.6492	0.8127	0.0646
10.75	-1.6828	0.8091	0.0649
11	-1.7159	0.8056	0.0652
11.25	-1.7486	0.8021	0.0655
11.5	-1.7808	0.7987	0.0657
11.75	-1.8125	0.7952	0.066
12	-1.8437	0.7919	0.0663
12.25	-1.8744	0.7885	0.0666
12.5	-1.9047	0.7853	0.0669
12.75	-1.9345	0.7821	0.0672
13	-1.9639	0.7791	0.0675
13.25	-1.9929	0.7761	0.0678
13.5	-2.0216	0.7733	0.0681
13.75	-2.0498	0.7707	0.0685
14	-2.0777	0.7682	0.0688
14.25	-2.1053	0.7659	0.0691
14.5	-2.1325	0.7638	0.0694
14.75	-2.1594	0.7618	0.0697
15	-2.1859	0.7601	0.07
15.25	-2.2121	0.7585	0.0703
15.5	-2.2379	0.7571	0.0706
15.75	-2.2634	0.7559	0.0708
16	-2.2887	0.7548	0.0711
16.25	-2.3136	0.7539	0.0714
16.5	-2.3382	0.7531	0.0717
16.75	-2.3625	0.7525	0.0719
17	-2.3865	0.7519	0.0722
17.25	-2.4101	0.7515	0.0725
17.5	-2.4335	0.7511	0.0727
17.75	-2.4566	0.7508	0.073
18	-2.4794	0.7505	0.0732
18.25	-2.502	0.7503	0.0734
18.5	-2.5243	0.7501	0.0737
18.75	-2.5463	0.75	0.0739
19	-2.5681	0.7499	0.0742
19.25	-2.5897	0.7498	0.0744
19.5	-2.611	0.7497	0.0746
19.75	-2.6322	0.7497	0.0748
20	-2.6531	0.7497	0.0751
20.25	-2.6738	0.7496	0.0753
20.5	-2.6944	0.7496	0.0755
20.75	-2.7147	0.7496	0.0757
21	-2.7349	0.7496	0.0759
