name = nl
year = 1997
yname = wst
sex = male
distribution = LMS
citation = Fredriks2005a; Fredriks2005b
publication = Fredriks AM, van Buuren S, Fekkes M, Verloove-Vanhorick SP & Wit JM (2005) Are age references for waist circumference, hip circumference and waist-hip ratio in Dutch children useful in clinical practice? European Journal of Pediatrics, 164, 216-222; Fredriks AM, van Buuren S, van Heel WJM, Dijkman-Neerincx RHM, Verloove-Vanhorick SP & Wit JM (2005) Nationwide age references for sitting height, leg length, and sitting height/height ratio, and their diagnostic value for disproportionate growth disorders. Arch. Dis. Child., 90, 807-812.
[data]
x	L	M	S
0	1.6973	32.3691	0.1055
0.25	1.412	39.3527	0.0785
0.5	1.1371	42.037	0.072
0.75	0.8694	43.4246	0.0699
1	0.6206	44.2979	0.069
1.25	0.3905	44.926	0.0686
1.5	0.1762	45.5529	0.0681
1.75	-0.0236	46.2223	0.0675
2	-0.2118	46.9308	0.0668
2.25	-0.3907	47.6658	0.0661
2.5	-0.5616	48.4001	0.0654
2.75	-0.7245	49.0845	0.0647
3	-0.8794	49.6829	0.0642
3.25	-1.0268	50.1844	0.0639
3.5	-1.167	50.5896	0.0639
3.75	-1.3005	50.9123	0.064
4	-1.4273	51.1782	0.0643
4.25	-1.5477	51.4146	0.0648
4.5	-1.6613	51.6377	0.0653
4.75	-1.7681	51.8615	0.0659
5	-1.8682	52.0986	0.0665
5.25	-1.9618	52.357	0.0671
5.5	-2.0489	52.6412	0.0678
5.75	-2.1298	52.9505	0.0686
6	-2.2043	53.2823	0.0693
6.25	-2.2726	53.6348	0.0701
6.5	-2.3348	54.0055	0.0709
6.75	-2.3912	54.3915	0.0717
7	-2.4417	54.7899	0.0725
7.25	-2.4867	55.1981	0.0734
7.5	-2.5263	55.6143	0.0742
7.75	-2.5607	56.0358	0.075
8	-2.5899	56.4597	0.0759
8.25	-2.6146	56.8845	0.0767
8.5	-2.6348	57.3098	0.0775
8.75	-2.6509	57.7355	0.0783
9	-2.663	58.1622	0.079
9.25	-2.6714	58.5912	0.0798
9.5	-2.6763	59.0242	0.0805
9.75	-2.678	59.4629	0.0812
10	-2.6766	59.9088	0.0818
10.25	-2.6725	60.3641	0.0824
10.5	-2.6657	60.831	0.083
10.75	-2.6566	61.3108	0.0835
11	-2.6454	61.8036	0.084
11.25	-2.6322	62.3081	0.0845
11.5	-2.6172	62.8227	0.0849
11.75	-2.6006	63.3466	0.0852
12	-2.5825	63.8789	0.0855
12.25	-2.5632	64.4183	0.0857
12.5	-2.5428	64.9631	0.0859
12.75	-2.5214	65.5114	0.0861
13	-2.4993	66.0612	0.0862
13.25	-2.4765	66.6109	0.0862
13.5	-2.4532	67.1589	0.0862
13.75	-2.4294	67.7037	0.0862
14	-2.4053	68.244	0.0861
14.25	-2.3808	68.7785	0.086
14.5	-2.3561	69.3058	0.0859
14.75	-2.3311	69.8246	0.0857
15	-2.306	70.3343	0.0855
15.25	-2.2807	70.8341	0.0853
15.5	-2.2552	71.3232	0.0851
15.75	-2.2297	71.801	0.085
16	-2.204	72.2669	0.0848
16.25	-2.1783	72.7205	0.0846
16.5	-2.1524	73.1615	0.0844
16.75	-2.1264	73.5898	0.0843
17	-2.1003	74.0059	0.0841
17.25	-2.0742	74.4102	0.084
17.5	-2.048	74.8034	0.0838
17.75	-2.0218	75.1862	0.0837
18	-1.9957	75.5593	0.0836
18.25	-1.9695	75.9239	0.0835
18.5	-1.9434	76.2808	0.0835
18.75	-1.9173	76.6312	0.0834
19	-1.8914	76.9757	0.0833
19.25	-1.8657	77.3153	0.0832
19.5	-1.8401	77.6507	0.0832
19.75	-1.8147	77.9824	0.0831
20	-1.7896	78.3108	0.083
20.25	-1.7646	78.6361	0.0829
20.5	-1.7399	78.9587	0.0829
20.75	-1.7154	79.2785	0.0828
21	-1.6911	79.5954	0.0827
