name = nl
year = 2009
yname = bmi
sex = female
sub = ma
distribution = LMS
citation = Schonbeck2013
publication = Schonbeck Y et. al. (2013) In preparation.
[data]
x	L	M	S
0.0767	-1.705	14.94	0.1029
0.0958	-1.706	15.08	0.1025
0.115	-1.708	15.22	0.1021
0.1342	-1.71	15.36	0.1018
0.1533	-1.711	15.49	0.1014
0.1725	-1.713	15.62	0.1011
0.1916	-1.714	15.74	0.1008
0.2108	-1.716	15.85	0.1005
0.23	-1.717	15.97	0.1002
0.2491	-1.719	16.07	0.0999
0.25	-1.719	16.08	0.0999
0.2917	-1.722	16.29	0.0994
0.3333	-1.724	16.48	0.0989
0.375	-1.726	16.65	0.0983
0.4167	-1.728	16.8	0.0979
0.4583	-1.73	16.92	0.0974
0.5	-1.732	17.03	0.097
0.5417	-1.733	17.12	0.0965
0.5833	-1.734	17.19	0.0961
0.625	-1.736	17.25	0.0958
0.6667	-1.737	17.3	0.0954
0.7083	-1.738	17.34	0.095
0.75	-1.739	17.37	0.0947
0.7917	-1.74	17.39	0.0943
0.8333	-1.741	17.41	0.0939
0.875	-1.742	17.42	0.0936
0.9167	-1.743	17.42	0.0932
0.9583	-1.744	17.41	0.0929
1	-1.745	17.4	0.0926
1.0833	-1.747	17.37	0.092
1.1667	-1.748	17.32	0.0914
1.25	-1.75	17.26	0.0908
1.3333	-1.752	17.21	0.0903
1.4167	-1.754	17.15	0.0898
1.5	-1.755	17.09	0.0894
1.5833	-1.757	17.04	0.089
1.6667	-1.759	16.99	0.0887
1.75	-1.761	16.95	0.0885
1.8333	-1.762	16.91	0.0883
1.9167	-1.764	16.87	0.0882
2	-1.766	16.83	0.0883
2.5	-1.776	16.55	0.09
3	-1.781	16.28	0.093
3.5	-1.781	16.12	0.0959
4	-1.773	16.05	0.0984
4.5	-1.757	16.03	0.1009
5	-1.733	16.02	0.104
5.5	-1.701	16.05	0.1081
6	-1.662	16.14	0.1131
6.5	-1.617	16.28	0.1189
7	-1.57	16.48	0.1252
7.5	-1.521	16.71	0.1318
8	-1.473	16.98	0.1387
8.5	-1.426	17.28	0.1454
9	-1.38	17.59	0.1518
9.5	-1.335	17.91	0.1578
10	-1.293	18.23	0.163
10.5	-1.253	18.56	0.1675
11	-1.215	18.89	0.1713
11.5	-1.179	19.22	0.1744
12	-1.144	19.56	0.1769
12.5	-1.112	19.89	0.1788
13	-1.08	20.21	0.1802
13.5	-1.05	20.53	0.1811
14	-1.02	20.84	0.1816
14.5	-0.992	21.13	0.1819
15	-0.964	21.42	0.1819
15.5	-0.937	21.69	0.1819
16	-0.911	21.95	0.1818
16.5	-0.885	22.2	0.1817
17	-0.859	22.44	0.1816
17.5	-0.835	22.67	0.1816
18	-0.811	22.89	0.1816
18.5	-0.787	23.11	0.1816
19	-0.764	23.31	0.1817
19.5	-0.741	23.51	0.1817
20	-0.719	23.71	0.1818
20.5	-0.698	23.9	0.1818
21	-0.677	24.08	0.1819
