name = nl
year = 2009
yname = bmi
sex = female
sub = nl
distribution = LMS
citation = Schonbeck2011
publication = Schonbeck Y, Talma H, van Dommelen P, Bakker B, Buitendijk SE, HiraSing RA, van Buuren S (2011). Increase in Prevalence of Overweight in Dutch Children and Adolescents: A Comparison of Nationwide Growth Studies in 1980, 1997 and 2009. PLoSone, 6(11), e27608.
[data]
x	L	M	S
0.0192	-0.264	14.08	0.0842
0.0383	-0.267	14.24	0.0841
0.0575	-0.269	14.39	0.084
0.0767	-0.271	14.55	0.0839
0.0958	-0.274	14.7	0.0838
0.115	-0.276	14.85	0.0836
0.1342	-0.278	14.99	0.0835
0.1533	-0.28	15.13	0.0834
0.1725	-0.282	15.26	0.0833
0.1916	-0.284	15.39	0.0832
0.23	-0.288	15.62	0.0831
0.2683	-0.291	15.83	0.0829
0.3066	-0.294	16.01	0.0828
0.345	-0.296	16.18	0.0826
0.3833	-0.298	16.32	0.0825
0.4216	-0.299	16.44	0.0824
0.46	-0.299	16.54	0.0823
0.4983	-0.299	16.62	0.0821
0.5366	-0.299	16.69	0.082
0.6133	-0.298	16.8	0.0818
0.6899	-0.297	16.86	0.0815
0.7666	-0.297	16.88	0.0813
0.8433	-0.297	16.86	0.0811
0.9199	-0.299	16.82	0.0809
0.9966	-0.302	16.76	0.0808
1.0732	-0.309	16.7	0.0806
1.1499	-0.317	16.63	0.0806
1.2266	-0.327	16.57	0.0805
1.5	-0.377	16.34	0.0806
2	-0.504	16.05	0.0813
2.5	-0.675	15.93	0.0825
3	-0.866	15.89	0.0843
3.5	-1.051	15.85	0.0866
4	-1.212	15.75	0.0893
4.5	-1.345	15.67	0.0925
5	-1.453	15.62	0.096
5.5	-1.54	15.61	0.1
6	-1.61	15.67	0.1043
6.5	-1.66	15.77	0.1087
7	-1.69	15.9	0.1133
7.5	-1.702	16.04	0.1178
8	-1.697	16.21	0.1221
8.5	-1.678	16.4	0.1261
9	-1.649	16.61	0.1297
9.5	-1.612	16.85	0.1329
10	-1.57	17.09	0.1357
10.5	-1.524	17.35	0.1379
11	-1.479	17.62	0.1395
11.5	-1.437	17.91	0.1404
12	-1.401	18.21	0.1408
12.5	-1.373	18.52	0.1407
13	-1.352	18.83	0.1402
13.5	-1.337	19.15	0.1394
14	-1.328	19.47	0.1383
14.5	-1.324	19.77	0.1371
15	-1.325	20.06	0.1359
15.5	-1.329	20.33	0.1346
16	-1.335	20.58	0.1333
16.5	-1.343	20.81	0.132
17	-1.352	21.01	0.1308
17.5	-1.362	21.2	0.1297
18	-1.372	21.36	0.1286
18.5	-1.383	21.5	0.1277
19	-1.394	21.63	0.1268
19.5	-1.404	21.75	0.126
20	-1.415	21.85	0.1253
20.5	-1.426	21.95	0.1247
21	-1.436	22.05	0.124
