name = nl
year = 2009
yname = bmi
sex = female
sub = tu
distribution = LMS
citation = Schonbeck2013
publication = Schonbeck Y et. al. (2013) In preparation.
[data]
x	L	M	S
0.0767	-0.104	15.13	0.0852
0.0958	-0.126	15.27	0.0853
0.115	-0.148	15.42	0.0853
0.1342	-0.17	15.56	0.0854
0.1533	-0.191	15.7	0.0855
0.1725	-0.211	15.83	0.0855
0.1916	-0.232	15.95	0.0856
0.2108	-0.251	16.07	0.0856
0.23	-0.271	16.19	0.0857
0.2491	-0.29	16.3	0.0858
0.25	-0.291	16.3	0.0858
0.2917	-0.331	16.52	0.0859
0.3333	-0.369	16.71	0.086
0.375	-0.406	16.87	0.0861
0.4167	-0.441	17.01	0.0862
0.4583	-0.475	17.12	0.0863
0.5	-0.507	17.22	0.0864
0.5417	-0.539	17.3	0.0865
0.5833	-0.568	17.37	0.0866
0.625	-0.597	17.43	0.0867
0.6667	-0.625	17.47	0.0867
0.7083	-0.652	17.5	0.0868
0.75	-0.679	17.52	0.0869
0.7917	-0.705	17.52	0.087
0.8333	-0.73	17.52	0.087
0.875	-0.754	17.52	0.0871
0.9167	-0.778	17.5	0.0871
0.9583	-0.802	17.48	0.0872
1	-0.826	17.46	0.0873
1.0833	-0.872	17.41	0.0874
1.1667	-0.918	17.35	0.0876
1.25	-0.962	17.27	0.0877
1.3333	-1.005	17.19	0.0879
1.4167	-1.048	17.11	0.0881
1.5	-1.089	17.02	0.0883
1.5833	-1.13	16.93	0.0886
1.6667	-1.169	16.84	0.0889
1.75	-1.207	16.76	0.0891
1.8333	-1.245	16.68	0.0895
1.9167	-1.281	16.61	0.0898
2	-1.316	16.54	0.0902
2.5	-1.503	16.24	0.0928
3	-1.648	16.14	0.0962
3.5	-1.756	16.1	0.1001
4	-1.83	16.04	0.1045
4.5	-1.873	15.98	0.1091
5	-1.884	15.96	0.114
5.5	-1.863	16	0.119
6	-1.816	16.12	0.1243
6.5	-1.749	16.31	0.1297
7	-1.672	16.56	0.135
7.5	-1.589	16.87	0.14
8	-1.506	17.23	0.1447
8.5	-1.426	17.63	0.1491
9	-1.352	18.06	0.153
9.5	-1.284	18.5	0.1565
10	-1.22	18.92	0.1595
10.5	-1.162	19.33	0.1621
11	-1.108	19.7	0.1643
11.5	-1.059	20.04	0.1661
12	-1.014	20.36	0.1675
12.5	-0.973	20.65	0.1685
13	-0.936	20.94	0.1693
13.5	-0.903	21.21	0.1699
14	-0.873	21.48	0.1702
14.5	-0.845	21.73	0.1704
15	-0.819	21.96	0.1705
15.5	-0.795	22.18	0.1705
16	-0.772	22.39	0.1705
16.5	-0.75	22.59	0.1704
17	-0.73	22.77	0.1703
17.5	-0.711	22.95	0.1701
18	-0.692	23.11	0.1699
18.5	-0.674	23.27	0.1697
19	-0.657	23.43	0.1696
19.5	-0.641	23.57	0.1694
20	-0.625	23.72	0.1692
20.5	-0.61	23.85	0.169
21	-0.595	23.99	0.1688
