name = nl
year = 2009
yname = bmi
sex = male
sub = ma
distribution = LMS
citation = Schonbeck2013
publication = Schonbeck Y et. al. (2013) In preparation.
[data]
x	L	M	S
0.0767	2.642	15.62	0.085
0.0958	2.565	15.75	0.0851
0.115	2.489	15.87	0.0853
0.1342	2.415	16	0.0854
0.1533	2.341	16.12	0.0856
0.1725	2.269	16.23	0.0857
0.1916	2.199	16.35	0.0858
0.2108	2.129	16.46	0.0859
0.23	2.06	16.56	0.086
0.2491	1.993	16.67	0.0861
0.25	1.99	16.67	0.0861
0.2917	1.847	16.88	0.0863
0.3333	1.71	17.06	0.0863
0.375	1.576	17.22	0.0863
0.4167	1.448	17.36	0.0863
0.4583	1.324	17.49	0.0862
0.5	1.203	17.59	0.0861
0.5417	1.087	17.68	0.0859
0.5833	0.976	17.75	0.0858
0.625	0.868	17.8	0.0855
0.6667	0.764	17.85	0.0853
0.7083	0.665	17.88	0.0851
0.75	0.568	17.9	0.0848
0.7917	0.476	17.92	0.0846
0.8333	0.387	17.92	0.0843
0.875	0.301	17.92	0.084
0.9167	0.217	17.92	0.0838
0.9583	0.138	17.91	0.0835
1	0.06	17.9	0.0833
1.0833	-0.086	17.87	0.0829
1.1667	-0.223	17.82	0.0825
1.25	-0.351	17.77	0.0822
1.3333	-0.47	17.71	0.082
1.4167	-0.581	17.65	0.0819
1.5	-0.685	17.59	0.0818
1.5833	-0.781	17.53	0.0819
1.6667	-0.871	17.47	0.082
1.75	-0.954	17.41	0.0822
1.8333	-1.031	17.35	0.0824
1.9167	-1.103	17.3	0.0827
2	-1.169	17.24	0.0831
2.5	-1.472	16.93	0.0851
3	-1.666	16.68	0.0871
3.5	-1.79	16.44	0.0894
4	-1.861	16.22	0.0922
4.5	-1.89	16.04	0.0951
5	-1.883	15.93	0.0983
5.5	-1.849	15.91	0.1021
6	-1.792	15.99	0.1065
6.5	-1.723	16.14	0.1113
7	-1.649	16.34	0.1165
7.5	-1.576	16.56	0.1221
8	-1.506	16.81	0.1279
8.5	-1.443	17.07	0.1337
9	-1.388	17.33	0.1393
9.5	-1.341	17.59	0.1447
10	-1.304	17.86	0.1496
10.5	-1.277	18.14	0.1539
11	-1.259	18.43	0.1575
11.5	-1.248	18.72	0.1605
12	-1.242	19.01	0.1629
12.5	-1.24	19.3	0.1648
13	-1.24	19.59	0.1663
13.5	-1.242	19.88	0.1674
14	-1.245	20.17	0.1682
14.5	-1.248	20.45	0.1687
15	-1.253	20.73	0.1691
15.5	-1.257	21	0.1693
16	-1.262	21.26	0.1695
16.5	-1.267	21.51	0.1697
17	-1.271	21.76	0.1698
17.5	-1.276	22	0.17
18	-1.279	22.24	0.1701
18.5	-1.283	22.46	0.1703
19	-1.286	22.69	0.1705
19.5	-1.289	22.9	0.1707
20	-1.291	23.11	0.1709
20.5	-1.293	23.32	0.171
21	-1.296	23.52	0.1712
