name = nl
year = 2009
yname = bmi
sex = male
sub = nl
distribution = LMS
citation = Schonbeck2011
publication = Schonbeck Y, Talma H, van Dommelen P, Bakker B, Buitendijk SE, HiraSing RA, van Buuren S (2011). Increase in Prevalence of Overweight in Dutch Children and Adolescents: A Comparison of Nationwide Growth Studies in 1980, 1997 and 2009. PLoSone, 6(11), e27608.
[data]
x	L	M	S
0.0383	1.131	14.32	0.0864
0.0575	1.095	14.54	0.0861
0.0767	1.06	14.75	0.0858
0.0958	1.025	14.96	0.0855
0.115	0.991	15.16	0.0852
0.1342	0.958	15.35	0.085
0.1533	0.925	15.54	0.0847
0.1725	0.893	15.71	0.0844
0.1916	0.862	15.86	0.0841
0.23	0.801	16.14	0.0836
0.2683	0.744	16.36	0.0832
0.3066	0.69	16.54	0.0827
0.345	0.639	16.69	0.0823
0.3833	0.591	16.81	0.0819
0.4216	0.546	16.91	0.0815
0.46	0.503	16.99	0.0812
0.4983	0.463	17.06	0.0809
0.5366	0.424	17.11	0.0806
0.6133	0.353	17.18	0.08
0.6899	0.289	17.22	0.0795
0.7666	0.231	17.22	0.0791
0.8433	0.178	17.22	0.0788
0.9199	0.13	17.2	0.0785
0.9966	0.086	17.18	0.0783
1.0732	0.044	17.15	0.0781
1.1499	0.004	17.11	0.078
1.2266	-0.035	17.06	0.0778
1.5	-0.164	16.85	0.0776
2	-0.393	16.47	0.0776
2.5	-0.602	16.21	0.0782
3	-0.788	15.9	0.0792
3.5	-0.97	15.67	0.0807
4	-1.153	15.6	0.0826
4.5	-1.327	15.63	0.0849
5	-1.484	15.64	0.0877
5.5	-1.618	15.64	0.0908
6	-1.727	15.67	0.0942
6.5	-1.815	15.75	0.0978
7	-1.881	15.88	0.1015
7.5	-1.926	16.03	0.1052
8	-1.95	16.2	0.1089
8.5	-1.954	16.36	0.1124
9	-1.942	16.52	0.1157
9.5	-1.917	16.68	0.1188
10	-1.884	16.86	0.1216
10.5	-1.845	17.06	0.1242
11	-1.803	17.27	0.1265
11.5	-1.758	17.5	0.1285
12	-1.713	17.75	0.1303
12.5	-1.667	18.02	0.1317
13	-1.623	18.31	0.1328
13.5	-1.58	18.62	0.1337
14	-1.541	18.94	0.1343
14.5	-1.503	19.26	0.1347
15	-1.469	19.59	0.135
15.5	-1.437	19.91	0.135
16	-1.407	20.21	0.1349
16.5	-1.379	20.5	0.1348
17	-1.352	20.78	0.1345
17.5	-1.326	21.03	0.1342
18	-1.3	21.26	0.1338
18.5	-1.274	21.48	0.1334
19	-1.249	21.68	0.133
19.5	-1.224	21.88	0.1325
20	-1.224	22.07	0.1321
20.5	-1.224	22.26	0.1317
21	-1.224	22.44	0.1313
