name = nl
year = 2009
yname = bmi
sex = male
sub = tu
distribution = LMS
citation = Schonbeck2013
publication = Schonbeck Y et. al. (2013) In preparation.
[data]
x	L	M	S
0.0575	-0.088	16.71	0.0954
0.0767	-0.115	16.78	0.0953
0.0958	-0.14	16.84	0.0952
0.115	-0.165	16.9	0.0951
0.1342	-0.19	16.96	0.095
0.1533	-0.215	17.02	0.0949
0.1725	-0.239	17.08	0.0948
0.1916	-0.262	17.13	0.0947
0.2108	-0.285	17.18	0.0946
0.23	-0.308	17.24	0.0945
0.2491	-0.331	17.29	0.0944
0.25	-0.332	17.29	0.0944
0.2917	-0.379	17.39	0.0942
0.3333	-0.425	17.48	0.094
0.375	-0.469	17.56	0.0938
0.4167	-0.511	17.63	0.0937
0.4583	-0.552	17.69	0.0935
0.5	-0.592	17.74	0.0934
0.5417	-0.63	17.79	0.0933
0.5833	-0.667	17.82	0.0932
0.625	-0.703	17.85	0.0932
0.6667	-0.737	17.88	0.0931
0.7083	-0.77	17.89	0.0931
0.75	-0.802	17.9	0.093
0.7917	-0.833	17.9	0.093
0.8333	-0.863	17.9	0.0929
0.875	-0.892	17.9	0.0929
0.9167	-0.92	17.88	0.0929
0.9583	-0.947	17.87	0.093
1	-0.973	17.85	0.093
1.0833	-1.022	17.81	0.0931
1.1667	-1.068	17.75	0.0932
1.25	-1.111	17.69	0.0934
1.3333	-1.152	17.62	0.0936
1.4167	-1.19	17.55	0.0938
1.5	-1.225	17.48	0.0941
1.5833	-1.259	17.42	0.0944
1.6667	-1.29	17.35	0.0946
1.75	-1.319	17.3	0.0949
1.8333	-1.346	17.24	0.0952
1.9167	-1.371	17.19	0.0954
2	-1.395	17.15	0.0957
2.5	-1.505	16.9	0.0977
3	-1.574	16.69	0.1004
3.5	-1.614	16.53	0.1039
4	-1.631	16.39	0.1082
4.5	-1.632	16.29	0.1132
5	-1.622	16.25	0.1186
5.5	-1.602	16.29	0.1241
6	-1.577	16.42	0.1297
6.5	-1.548	16.63	0.135
7	-1.516	16.89	0.1399
7.5	-1.483	17.19	0.1444
8	-1.448	17.5	0.1484
8.5	-1.414	17.83	0.1518
9	-1.379	18.16	0.1546
9.5	-1.345	18.49	0.1569
10	-1.311	18.82	0.1586
10.5	-1.279	19.14	0.1599
11	-1.247	19.45	0.1609
11.5	-1.216	19.75	0.1615
12	-1.187	20.03	0.1619
12.5	-1.159	20.31	0.162
13	-1.131	20.58	0.1618
13.5	-1.105	20.84	0.1615
14	-1.08	21.09	0.161
14.5	-1.056	21.34	0.1604
15	-1.032	21.57	0.1598
15.5	-1.009	21.8	0.1591
16	-0.987	22.03	0.1583
16.5	-0.966	22.24	0.1576
17	-0.945	22.45	0.1568
17.5	-0.924	22.66	0.156
18	-0.905	22.86	0.1553
18.5	-0.885	23.06	0.1545
19	-0.867	23.25	0.1537
19.5	-0.848	23.44	0.1529
20	-0.83	23.62	0.1522
20.5	-0.813	23.8	0.1515
21	-0.796	23.98	0.1507
