name = nl
year = 2009
yname = hdc
sex = female
sub = ds
distribution = LMS
citation = van Gameren 2012
publication = Gameren-Oosterom HBM, van Dommelen P, Oudesluijs-Murphy AM, Buitendijk SE, van Buuren S & van Wouwe JP (2012). Healthy growth in children with Down syndrome. PLoS ONE, 7(2), e31079.
remark = Down syndrome
[data]
x	L	M	S
0	1	32.9463	0.0267
0.0192	1	33.3847	0.027
0.0383	1	33.823	0.0272
0.0575	1	34.2573	0.0275
0.0767	1	34.6851	0.0277
0.0958	1	35.1088	0.0279
0.115	1	35.5343	0.028
0.1342	1	35.959	0.0281
0.1533	1	36.3723	0.0281
0.1725	1	36.7668	0.028
0.1916	1	37.1281	0.0279
0.23	1	37.7671	0.0276
0.2683	1	38.3257	0.0273
0.3066	1	38.8208	0.027
0.345	1	39.2658	0.0267
0.3833	1	39.6732	0.0265
0.4216	1	40.0401	0.0263
0.46	1	40.3748	0.0261
0.4983	1	40.6846	0.026
0.5366	1	40.9792	0.0259
0.6133	1	41.5122	0.0257
0.6899	1	41.9649	0.0255
0.7666	1	42.3461	0.0254
0.8433	1	42.6603	0.0252
0.9199	1	42.9265	0.0251
0.9966	1	43.1527	0.0249
1.0732	1	43.3447	0.0248
1.1499	1	43.5179	0.0247
1.2266	1	43.6905	0.0245
1.25	1	43.7443	0.0245
1.5	1	44.3127	0.024
