name = nl
year = 2009
yname = hdc
sex = male
sub = ds
distribution = LMS
citation = van Gameren 2012
publication = Gameren-Oosterom HBM, van Dommelen P, Oudesluijs-Murphy AM, Buitendijk SE, van Buuren S & van Wouwe JP (2012). Healthy growth in children with Down syndrome. PLoS ONE, 7(2), e31079.
remark = Down syndrome
[data]
x	L	M	S
0	2.9582	33.7896	0.0349
0.0192	2.803	34.1749	0.0346
0.0383	2.6486	34.5578	0.0343
0.0575	2.4935	34.9416	0.0339
0.0767	2.3385	35.3234	0.0336
0.0958	2.1847	35.7	0.0333
0.115	2.0305	36.0741	0.033
0.1342	1.8768	36.4426	0.0327
0.1533	1.7246	36.8024	0.0324
0.1725	1.5725	37.1565	0.0321
0.1916	1.4221	37.4999	0.0319
0.23	1.1232	38.1614	0.0313
0.2683	0.8305	38.7802	0.0308
0.3066	0.5442	39.3568	0.0302
0.345	0.2645	39.8922	0.0297
0.3833	-0.006	40.3834	0.0292
0.4216	-0.2671	40.8332	0.0288
0.46	-0.5187	41.2457	0.0283
0.4983	-0.7591	41.6227	0.0278
0.5366	-0.9885	41.9686	0.0274
0.6133	-1.4142	42.5794	0.0266
0.6899	-1.7963	43.0952	0.0258
0.7666	-2.1391	43.5278	0.025
0.8433	-2.445	43.8833	0.0243
0.9199	-2.718	44.1759	0.0237
0.9966	-2.9653	44.4239	0.0231
1.0732	-3.1908	44.6362	0.0225
1.1499	-3.3973	44.8098	0.0221
1.2266	-3.5863	44.9473	0.0217
1.25	-3.6407	44.9836	0.0216
1.5	-4.1496	45.2996	0.0211
