name = nl
year = 2009
yname = hgt
sex = female
sub = ds
distribution = LMS
citation = van Gameren 2012
publication = Gameren-Oosterom HBM, van Dommelen P, Oudesluijs-Murphy AM, Buitendijk SE, van Buuren S & van Wouwe JP (2012). Healthy growth in children with Down syndrome. PLoS ONE, 7(2), e31079.
remark = Down syndrome
[data]
x	L	M	S
0	1	48.372	0.0441
0.0192	1	49.106	0.0437
0.0383	1	49.831	0.0432
0.0575	1	50.547	0.0428
0.0767	1	51.253	0.0424
0.0958	1	51.95	0.042
0.115	1	52.636	0.0417
0.1342	1	53.311	0.0413
0.1533	1	53.972	0.041
0.1725	1	54.618	0.0407
0.1916	1	55.25	0.0404
0.23	1	56.468	0.0398
0.2683	1	57.627	0.0393
0.3066	1	58.726	0.0389
0.345	1	59.765	0.0385
0.3833	1	60.749	0.0382
0.4216	1	61.679	0.0379
0.46	1	62.56	0.0376
0.4983	1	63.396	0.0374
0.5366	1	64.188	0.0372
0.6133	1	65.65	0.0369
0.6899	1	66.967	0.0367
0.7666	1	68.166	0.0365
0.8433	1	69.267	0.0364
0.9199	1	70.289	0.0364
0.9966	1	71.238	0.0363
1.0732	1	72.116	0.0364
1.1499	1	72.937	0.0364
1.2266	1	73.721	0.0365
1.5	1	76.351	0.0367
2	1	80.778	0.0374
2.5	1	84.627	0.0383
3	1	88.055	0.0392
3.5	1	91.609	0.04
4	1	95.212	0.0406
4.5	1	98.6	0.0412
5	1	101.678	0.0418
5.5	1	104.47	0.0423
6	1	107.214	0.0428
6.5	1	110.062	0.0432
7	1	113.002	0.0436
7.5	1	115.924	0.0438
8	1	118.735	0.0441
8.5	1	121.426	0.0444
9	1	124.062	0.0446
9.5	1	126.689	0.0448
10	1	129.316	0.0449
10.5	1	131.904	0.045
11	1	134.427	0.045
11.5	1	136.852	0.045
12	1	139.108	0.045
12.5	1	141.146	0.045
13	1	142.936	0.0451
13.5	1	144.489	0.0452
14	1	145.822	0.0453
14.5	1	146.957	0.0455
15	1	147.918	0.0456
15.5	1	148.733	0.0458
16	1	149.425	0.046
16.5	1	150	0.0462
17	1	150.469	0.0465
17.5	1	150.859	0.0467
18	1	151.162	0.0469
18.5	1	151.396	0.0472
19	1	151.577	0.0475
19.5	1	151.813	0.048
20	1	151.813	0.048
20.5	1	151.813	0.048
21	1	151.813	0.048
