name = nl
year = 2009
yname = hgt
sex = female
sub = ma
distribution = LMS
citation = Schonbeck2013
publication = Schonbeck Y et. al. (2013) In preparation.
[data]
x	L	M	S
0.0767	1	52.92	0.0385
0.0958	1	53.61	0.0382
0.115	1	54.29	0.038
0.1342	1	54.97	0.0377
0.1533	1	55.64	0.0375
0.1725	1	56.31	0.0372
0.1916	1	56.97	0.037
0.2108	1	57.62	0.0368
0.23	1	58.26	0.0366
0.2491	1	58.88	0.0364
0.25	1	58.91	0.0364
0.2917	1	60.23	0.0361
0.3333	1	61.47	0.0358
0.375	1	62.65	0.0355
0.4167	1	63.77	0.0353
0.4583	1	64.83	0.0352
0.5	1	65.84	0.035
0.5417	1	66.8	0.0349
0.5833	1	67.72	0.0349
0.625	1	68.61	0.0348
0.6667	1	69.46	0.0348
0.7083	1	70.27	0.0347
0.75	1	71.06	0.0347
0.7917	1	71.8	0.0347
0.8333	1	72.5	0.0348
0.875	1	73.17	0.0348
0.9167	1	73.81	0.0348
0.9583	1	74.41	0.0349
1	1	74.99	0.0349
1.0833	1	76.06	0.0351
1.1667	1	77.11	0.0352
1.25	1	78.09	0.0354
1.3333	1	79.03	0.0355
1.4167	1	79.98	0.0356
1.5	1	80.92	0.0358
1.5833	1	81.84	0.0359
1.6667	1	82.76	0.036
1.75	1	83.69	0.0361
1.8333	1	84.62	0.0362
1.9167	1	85.54	0.0362
2	1	86.47	0.0363
2.5	1	91.63	0.0368
3	1	96	0.0372
3.5	1	99.83	0.0375
4	1	103.48	0.0377
4.5	1	106.91	0.0377
5	1	110.15	0.0379
5.5	1	113.47	0.0382
6	1	116.76	0.0386
6.5	1	119.91	0.0391
7	1	122.95	0.04
7.5	1	125.76	0.041
8	1	128.45	0.0424
8.5	1	131.23	0.0439
9	1	134.13	0.0457
9.5	1	137.09	0.0475
10	1	140.23	0.0491
10.5	1	143.59	0.0501
11	1	146.98	0.05
11.5	1	150.11	0.049
12	1	152.9	0.0475
12.5	1	155.34	0.0458
13	1	157.35	0.0442
13.5	1	159.01	0.0429
14	1	160.45	0.0417
14.5	1	161.63	0.0408
15	1	162.42	0.0402
15.5	1	162.78	0.0399
16	1	162.78	0.0399
16.5	1	162.78	0.0399
17	1	162.78	0.0399
17.5	1	162.78	0.0399
18	1	162.78	0.0399
18.5	1	162.78	0.0399
19	1	162.78	0.0399
19.5	1	162.78	0.0399
20	1	162.78	0.0399
20.5	1	162.78	0.0399
21	1	162.78	0.0399
