name = nl
year = 2009
yname = hgt
sex = female
sub = nl
distribution = LMS
citation = Schonbeck2011
publication = Schonbeck Y, Talma H, van Dommelen P, Bakker B, Buitendijk SE, HiraSing RA, van Buuren S (2011). Increase in Prevalence of Overweight in Dutch Children and Adolescents: A Comparison of Nationwide Growth Studies in 1980, 1997 and 2009. PLoSone, 6(11), e27608.
[data]
x	L	M	S
0.0192	1	51.55	0.0449
0.0383	1	52.28	0.0445
0.0575	1	53	0.0441
0.0767	1	53.71	0.0437
0.0958	1	54.41	0.0433
0.115	1	55.1	0.0429
0.1342	1	55.78	0.0426
0.1533	1	56.45	0.0422
0.1725	1	57.12	0.0419
0.1916	1	57.77	0.0416
0.23	1	59.03	0.041
0.2683	1	60.24	0.0405
0.3066	1	61.4	0.04
0.345	1	62.49	0.0396
0.3833	1	63.53	0.0392
0.4216	1	64.52	0.0389
0.46	1	65.46	0.0386
0.4983	1	66.35	0.0384
0.5366	1	67.19	0.0382
0.6133	1	68.75	0.0378
0.6899	1	70.17	0.0376
0.7666	1	71.48	0.0375
0.8433	1	72.71	0.0374
0.9199	1	73.87	0.0373
0.9966	1	74.98	0.0373
1.0732	1	76.06	0.0373
1.1499	1	77.1	0.0373
1.2266	1	78.11	0.0373
1.5	1	81.48	0.0375
2	1	87.08	0.0378
2.5	1	92.15	0.0382
3	1	96.97	0.0387
3.5	1	101.16	0.0393
4	1	104.94	0.0401
4.5	1	108.58	0.0409
5	1	112.12	0.0416
5.5	1	115.52	0.0421
6	1	118.81	0.0426
6.5	1	122.07	0.043
7	1	125.26	0.0433
7.5	1	128.34	0.0437
8	1	131.34	0.0441
8.5	1	134.33	0.0444
9	1	137.32	0.0447
9.5	1	140.36	0.0449
10	1	143.46	0.045
10.5	1	146.6	0.045
11	1	149.74	0.0449
11.5	1	152.8	0.0446
12	1	155.71	0.0442
12.5	1	158.39	0.0436
13	1	160.77	0.043
13.5	1	162.8	0.0423
14	1	164.47	0.0417
14.5	1	165.82	0.0411
15	1	166.88	0.0405
15.5	1	167.7	0.04
16	1	168.32	0.0396
16.5	1	168.8	0.0392
17	1	169.17	0.0388
17.5	1	169.46	0.0385
18	1	169.69	0.0382
18.5	1	169.9	0.0379
19	1	170.1	0.0377
19.5	1	170.28	0.0374
20	1	170.45	0.0372
20.5	1	170.61	0.0369
21	1	170.75	0.0367
