name = nl
year = 2009
yname = hgt
sex = female
sub = tu
distribution = LMS
citation = Schonbeck2013
publication = Schonbeck Y et. al. (2013) In preparation.
[data]
x	L	M	S
0.0767	1	53.49	0.0433
0.0958	1	54.13	0.0429
0.115	1	54.77	0.0424
0.1342	1	55.41	0.042
0.1533	1	56.05	0.0415
0.1725	1	56.68	0.0411
0.1916	1	57.31	0.0407
0.2108	1	57.93	0.0403
0.23	1	58.55	0.04
0.2491	1	59.15	0.0396
0.25	1	59.18	0.0396
0.2917	1	60.47	0.0388
0.3333	1	61.69	0.0382
0.375	1	62.87	0.0376
0.4167	1	63.99	0.0371
0.4583	1	65.07	0.0366
0.5	1	66.09	0.0361
0.5417	1	67.06	0.0358
0.5833	1	67.99	0.0354
0.625	1	68.87	0.0351
0.6667	1	69.72	0.0349
0.7083	1	70.54	0.0346
0.75	1	71.33	0.0344
0.7917	1	72.09	0.0343
0.8333	1	72.83	0.0341
0.875	1	73.55	0.0339
0.9167	1	74.26	0.0338
0.9583	1	74.95	0.0337
1	1	75.61	0.0336
1.0833	1	76.91	0.0334
1.1667	1	78.15	0.0333
1.25	1	79.33	0.0332
1.3333	1	80.45	0.0332
1.4167	1	81.53	0.0332
1.5	1	82.55	0.0332
1.5833	1	83.52	0.0332
1.6667	1	84.44	0.0333
1.75	1	85.33	0.0334
1.8333	1	86.18	0.0335
1.9167	1	87	0.0336
2	1	87.81	0.0337
2.5	1	92.24	0.0346
3	1	96.29	0.0355
3.5	1	100.21	0.0363
4	1	103.95	0.0371
4.5	1	107.58	0.0377
5	1	110.92	0.0384
5.5	1	113.99	0.039
6	1	116.96	0.0395
6.5	1	119.93	0.0401
7	1	122.79	0.0407
7.5	1	125.48	0.0413
8	1	128.14	0.0419
8.5	1	130.93	0.0425
9	1	133.89	0.0432
9.5	1	137.1	0.0437
10	1	140.54	0.0441
10.5	1	144.01	0.0441
11	1	147.47	0.0437
11.5	1	150.61	0.0429
12	1	153.18	0.0419
12.5	1	155.23	0.0409
13	1	156.88	0.0401
13.5	1	158.26	0.0393
14	1	159.41	0.0386
14.5	1	160.3	0.0381
15	1	160.94	0.0378
15.5	1	161.43	0.0375
16	1	161.88	0.0372
16.5	1	162.31	0.037
17	1	162.56	0.0369
17.5	1	162.59	0.0369
18	1	162.59	0.0369
18.5	1	162.59	0.0369
19	1	162.59	0.0369
19.5	1	162.59	0.0369
20	1	162.59	0.0369
20.5	1	162.59	0.0369
21	1	162.59	0.0369
